,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,Mainland China,2020-02-03T23:23:03,13522,414,386
1,Guangdong,Mainland China,2020-02-03T12:53:02,725,0,21
2,Zhejiang,Mainland China,2020-02-03T13:33:02,724,0,43
3,Henan,Mainland China,2020-02-03T17:11:34,566,2,16
4,Hunan,Mainland China,2020-02-03T11:03:10,521,0,22
5,Anhui,Mainland China,2020-02-03T17:11:34,408,0,14
6,Jiangxi,Mainland China,2020-02-03T01:33:02,391,0,18
7,Chongqing,Mainland China,2020-02-03T23:43:02,337,2,9
8,Jiangsu,Mainland China,2020-02-03T11:03:10,271,0,8
9,Shandong,Mainland China,2020-02-03T17:11:34,259,0,7
10,Sichuan,Mainland China,2020-02-03T11:23:23,254,1,14
11,Beijing,Mainland China,2020-02-03T09:23:05,212,1,12
12,Shanghai,Mainland China,2020-02-03T07:03:12,203,1,10
13,Fujian,Mainland China,2020-02-03T11:33:13,179,0,1
14,Shaanxi,Mainland China,2020-02-03T02:33:02,128,0,0
15,Guangxi,Mainland China,2020-02-03T12:33:02,127,0,7
16,Heilongjiang,Mainland China,2020-02-03T07:13:19,121,2,2
17,Yunnan,Mainland China,2020-02-03T23:23:03,117,0,5
18,Hebei,Mainland China,2020-02-03T00:23:14,113,1,3
19,Liaoning,Mainland China,2020-02-03T17:11:34,74,0,1
20,Shanxi,Mainland China,2020-02-03T23:13:11,74,0,2
21,Hainan,Mainland China,2020-02-03T17:11:34,72,1,4
22,Tianjin,Mainland China,2020-02-03T13:53:03,60,0,1
23,Gansu,Mainland China,2020-02-03T23:03:08,55,0,3
24,Guizhou,Mainland China,2020-02-03T01:03:22,46,0,2
25,Inner Mongolia,Mainland China,2020-02-03T03:03:09,34,0,1
26,Jilin,Mainland China,2020-02-03T00:53:03,31,0,1
27,Ningxia,Mainland China,2020-02-03T08:33:03,31,0,1
28,Xinjiang,Mainland China,2020-02-03T01:13:21,24,0,0
29,,Japan,2020-02-01T18:53:03,20,0,1
30,,Thailand,2020-01-31T10:37:00,19,0,5
31,,Singapore,2020-02-02T01:03:32,18,0,0
32,Hong Kong,Hong Kong,2020-02-02T23:53:02,15,0,0
33,,South Korea,2020-02-02T02:23:13,15,0,0
34,Qinghai,Mainland China,2020-02-03T02:43:01,13,0,0
35,,Germany,2020-02-03T20:53:02,12,0,0
36,Taiwan,Taiwan,2020-01-31T15:20:56,10,0,0
37,Macau,Macau,2020-02-02T04:23:14,8,0,0
38,,Malaysia,2020-01-31T08:15:53,8,0,0
39,,Vietnam,2020-02-03T21:43:02,8,0,1
40,,France,2020-02-01T01:52:40,6,0,0
41,,United Arab Emirates,2020-02-02T05:43:01,5,0,0
42,New South Wales,Australia,2020-02-01T18:12:49,4,0,2
43,Victoria,Australia,2020-02-01T18:12:49,4,0,0
44,Ontario,Canada,2020-02-01T18:12:49,3,0,0
45,,India,2020-02-03T21:43:02,3,0,0
46,Queensland,Australia,2020-02-02T22:33:07,2,0,0
47,South Australia,Australia,2020-02-02T22:33:07,2,0,0
48,,Italy,2020-01-31T08:15:53,2,0,0
49,,Philippines,2020-02-02T03:33:07,2,1,0
50,,Russia,2020-01-31T16:13:45,2,0,0
51,,UK,2020-02-01T01:52:40,2,0,0
52,"Chicago, IL",US,2020-02-01T19:43:03,2,0,0
53,"San Benito, CA",US,2020-02-03T03:53:02,2,0,0
54,"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0
55,,Cambodia,2020-01-31T08:15:53,1,0,0
56,British Columbia,Canada,2020-02-01T18:12:49,1,0,0
57,,Finland,2020-01-31T08:15:53,1,0,0
58,Tibet,Mainland China,2020-02-01T01:52:40,1,0,0
59,,Nepal,2020-01-31T08:15:53,1,0,0
60,,Spain,2020-02-01T23:43:02,1,0,0
61,,Sri Lanka,2020-01-31T08:15:53,1,0,0
62,,Sweden,2020-02-01T02:13:26,1,0,0
63,"Boston, MA",US,2020-02-01T19:43:03,1,0,0
64,"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0
65,"Orange, CA",US,2020-02-01T19:53:03,1,0,0
66,"Seattle, WA",US,2020-02-01T19:43:03,1,0,0
67,"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0
