,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-02-25,Austria,2.0,2.0,,0.0,1.0,57,,,1.0,
1,2020-02-26,Austria,2.0,0.0,,1.0,1.0,57,0.0,,1.0,
2,2020-02-27,Austria,3.0,1.0,,1.5,1.0,57,0.0,,1.0,
3,2020-02-28,Austria,6.0,3.0,,2.0,1.09,57,0.0,,1.0,
4,2020-02-29,Austria,9.0,3.0,,1.5,1.156,58,1.0,,1.018,
5,2020-03-01,Austria,14.0,5.0,,1.556,1.229,58,0.0,,1.0,
6,2020-03-02,Austria,18.0,4.0,3.0,1.286,1.263,59,1.0,,1.017,1.005
7,2020-03-03,Austria,21.0,3.0,3.0,1.167,1.43,60,1.0,3.0,1.017,1.007
8,2020-03-04,Austria,29.0,8.0,4.0,1.381,1.484,63,3.0,4.0,1.05,1.015
9,2020-03-05,Austria,41.0,12.0,5.0,1.4140000000000001,1.472,67,4.0,5.0,1.063,1.024
10,2020-03-06,Austria,55.0,14.0,7.0,1.341,1.3780000000000001,73,6.0,7.0,1.09,1.036
11,2020-03-07,Austria,79.0,24.0,10.0,1.436,1.369,84,11.0,10.0,1.151,1.055
12,2020-03-08,Austria,104.0,25.0,13.0,1.3159999999999998,1.334,101,17.0,13.0,1.202,1.084
13,2020-03-09,Austria,131.0,27.0,16.0,1.26,1.331,127,26.0,16.0,1.257,1.119
14,2020-03-10,Austria,182.0,51.0,23.0,1.389,1.3619999999999999,166,39.0,23.0,1.307,1.16
15,2020-03-11,Austria,246.0,64.0,31.0,1.3519999999999999,1.358,225,59.0,31.0,1.355,1.204
16,2020-03-12,Austria,302.0,56.0,37.0,1.228,1.3319999999999999,309,84.0,37.0,1.373,1.248
17,2020-03-13,Austria,504.0,202.0,64.0,1.669,1.379,426,117.0,64.0,1.379,1.289
18,2020-03-14,Austria,655.0,151.0,82.0,1.3,1.359,587,161.0,82.0,1.378,1.322
19,2020-03-15,Austria,860.0,205.0,108.0,1.3130000000000002,1.359,799,212.0,108.0,1.361,1.344
20,2020-03-16,Austria,1018.0,158.0,127.0,1.1840000000000002,1.348,1071,272.0,127.0,1.34,1.356
21,2020-03-17,Austria,1332.0,314.0,164.0,1.308,1.3359999999999999,1411,340.0,164.0,1.317,1.358
22,2020-03-18,Austria,1646.0,314.0,200.0,1.236,1.32,1822,411.0,200.0,1.291,1.348
23,2020-03-19,Austria,2013.0,367.0,244.0,1.2229999999999999,1.319,2305,483.0,244.0,1.265,1.333
24,2020-03-20,Austria,2388.0,375.0,269.0,1.186,1.25,2858,553.0,269.0,1.24,1.313
25,2020-03-21,Austria,2814.0,426.0,308.0,1.178,1.2329999999999999,3473,615.0,308.0,1.215,1.29
26,2020-03-22,Austria,3244.0,430.0,341.0,1.153,1.21,4139,666.0,341.0,1.192,1.266
27,2020-03-23,Austria,4474.0,1230.0,494.0,1.379,1.238,4844,705.0,494.0,1.17,1.241
28,2020-03-24,Austria,5283.0,809.0,564.0,1.181,1.219,5574,730.0,564.0,1.151,1.218
29,2020-03-25,Austria,6096.0,813.0,636.0,1.1540000000000001,1.208,6314,740.0,636.0,1.133,1.195
30,2020-03-26,Austria,6909.0,813.0,699.0,1.133,1.195,7048,734.0,699.0,1.116,1.174
31,2020-03-27,Austria,7590.0,681.0,743.0,1.099,1.182,7766,718.0,743.0,1.102,1.154
32,2020-03-28,Austria,8222.0,632.0,773.0,1.083,1.169,8457,691.0,773.0,1.089,1.136
33,2020-03-29,Austria,8944.0,722.0,814.0,1.088,1.16,9111,654.0,814.0,1.077,1.12
34,2020-03-30,Austria,9484.0,540.0,716.0,1.06,1.114,9724,613.0,716.0,1.067,1.105
35,2020-03-31,Austria,10164.0,680.0,697.0,1.072,1.0979999999999999,10292,568.0,697.0,1.058,1.092
36,2020-04-01,Austria,10654.0,490.0,651.0,1.048,1.083,10812,520.0,651.0,1.051,1.08
37,2020-04-02,Austria,11117.0,463.0,601.0,1.043,1.07,11285,473.0,601.0,1.044,1.07
38,2020-04-03,Austria,11455.0,338.0,552.0,1.03,1.061,11711,426.0,552.0,1.038,1.061
39,2020-04-04,Austria,11787.0,332.0,509.0,1.0290000000000001,1.053,12093,382.0,509.0,1.033,1.053
40,2020-04-05,Austria,12039.0,252.0,442.0,1.021,1.043,12434,341.0,442.0,1.028,1.046
41,2020-04-06,Austria,12345.0,306.0,409.0,1.025,1.038,12735,301.0,409.0,1.024,1.039
42,2020-04-07,Austria,12619.0,274.0,351.0,1.022,1.031,13001,266.0,351.0,1.021,1.034
43,2020-04-08,Austria,12941.0,322.0,327.0,1.026,1.028,13235,234.0,327.0,1.018,1.029
44,2020-04-09,Austria,13248.0,307.0,304.0,1.024,1.025,13440,205.0,304.0,1.015,1.025
45,2020-04-10,Austria,13525.0,277.0,296.0,1.021,1.024,13619,179.0,296.0,1.013,1.022
46,2020-04-11,Austria,13750.0,225.0,280.0,1.0170000000000001,1.022,13775,156.0,280.0,1.011,1.019
47,2020-04-12,Austria,13923.0,173.0,269.0,1.013,1.021,13910,135.0,269.0,1.01,1.016
48,2020-04-13,Austria,14085.0,162.0,249.0,1.012,1.0190000000000001,14028,118.0,249.0,1.008,1.014
49,2020-04-14,Austria,14188.0,103.0,224.0,1.0070000000000001,1.0170000000000001,14130,102.0,224.0,1.007,1.012
50,2020-04-15,Austria,14351.0,163.0,201.0,1.011,1.015,14218,88.0,201.0,1.006,1.01
51,2020-04-16,Austria,14476.0,125.0,175.0,1.0090000000000001,1.013,14294,76.0,175.0,1.005,1.009
52,2020-04-17,Austria,,,,,,14360,66.0,119.0,1.005,1.007
53,2020-04-18,Austria,,,,,,14416,56.0,95.0,1.004,1.006
54,2020-04-19,Austria,,,,,,14465,49.0,77.0,1.003,1.005
55,2020-04-20,Austria,,,,,,14507,42.0,60.0,1.003,1.005
56,2020-04-21,Austria,,,,,,14544,37.0,51.0,1.003,1.004
57,2020-04-22,Austria,,,,,,14575,31.0,32.0,1.002,1.004
58,2020-04-23,Austria,,,,,,14602,27.0,18.0,1.002,1.003
59,2020-04-24,Austria,,,,,,14625,23.0,38.0,1.002,1.003
60,2020-04-25,Austria,,,,,,14645,20.0,33.0,1.001,1.002
61,2020-04-26,Austria,,,,,,14662,17.0,28.0,1.001,1.002
62,2020-04-27,Austria,,,,,,14676,14.0,24.0,1.001,1.002
63,2020-04-28,Austria,,,,,,14689,13.0,21.0,1.001,1.001
64,2020-04-29,Austria,,,,,,14700,11.0,18.0,1.001,1.001
65,2020-04-30,Austria,,,,,,14709,9.0,15.0,1.001,1.001
66,2020-05-01,Austria,,,,,,14717,8.0,13.0,1.001,1.001
67,2020-05-02,Austria,,,,,,14724,7.0,11.0,1.0,1.001
68,2020-05-03,Austria,,,,,,14730,6.0,10.0,1.0,1.001
69,2020-05-04,Austria,,,,,,14735,5.0,8.0,1.0,1.001
70,2020-05-05,Austria,,,,,,14739,4.0,7.0,1.0,1.0
71,2020-05-06,Austria,,,,,,14743,4.0,6.0,1.0,1.0
72,2020-05-07,Austria,,,,,,14746,3.0,5.0,1.0,1.0
73,2020-05-08,Austria,,,,,,14749,3.0,5.0,1.0,1.0
74,2020-05-09,Austria,,,,,,14751,2.0,4.0,1.0,1.0
75,2020-05-10,Austria,,,,,,14753,2.0,3.0,1.0,1.0
76,2020-05-11,Austria,,,,,,14755,2.0,3.0,1.0,1.0
77,2020-05-12,Austria,,,,,,14756,1.0,2.0,1.0,1.0
78,2020-05-13,Austria,,,,,,14757,1.0,2.0,1.0,1.0
79,2020-05-14,Austria,,,,,,14759,2.0,2.0,1.0,1.0
80,2020-05-15,Austria,,,,,,14760,1.0,2.0,1.0,1.0
81,2020-05-16,Austria,,,,,,14760,0.0,1.0,1.0,1.0
82,2020-05-17,Austria,,,,,,14761,1.0,1.0,1.0,1.0
83,2020-05-18,Austria,,,,,,14762,1.0,1.0,1.0,1.0
84,2020-05-19,Austria,,,,,,14762,0.0,1.0,1.0,1.0
85,2020-05-20,Austria,,,,,,14763,1.0,1.0,1.0,1.0
86,2020-05-21,Austria,,,,,,14763,0.0,1.0,1.0,1.0
87,2020-05-22,Austria,,,,,,14763,0.0,0.0,1.0,1.0
88,2020-05-23,Austria,,,,,,14764,1.0,1.0,1.0,1.0
89,2020-05-24,Austria,,,,,,14764,0.0,0.0,1.0,1.0
90,2020-05-25,Austria,,,,,,14764,0.0,0.0,1.0,1.0
91,2020-05-26,Austria,,,,,,14764,0.0,0.0,1.0,1.0
92,2020-05-27,Austria,,,,,,14764,0.0,0.0,1.0,1.0
93,2020-05-28,Austria,,,,,,14764,0.0,0.0,1.0,1.0
94,2020-05-29,Austria,,,,,,14765,1.0,0.0,1.0,1.0
