,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-02-04,Belgium,1.0,1.0,,0.0,1.0,2,,,1.0,
1,2020-02-05,Belgium,1.0,0.0,,1.0,1.0,2,0.0,,1.0,
2,2020-02-06,Belgium,1.0,0.0,,1.0,1.0,2,0.0,,1.0,
3,2020-02-07,Belgium,1.0,0.0,,1.0,1.0,2,0.0,,1.0,
4,2020-02-08,Belgium,1.0,0.0,,1.0,1.0,2,0.0,,1.0,
5,2020-02-09,Belgium,1.0,0.0,,1.0,1.0,2,0.0,,1.0,
6,2020-02-10,Belgium,1.0,0.0,0.0,1.0,1.0,3,1.0,,1.5,1.071
7,2020-02-11,Belgium,1.0,0.0,0.0,1.0,1.0,3,0.0,0.0,1.0,1.071
8,2020-02-12,Belgium,1.0,0.0,0.0,1.0,1.0,3,0.0,0.0,1.0,1.071
9,2020-02-13,Belgium,1.0,0.0,0.0,1.0,1.0,3,0.0,0.0,1.0,1.071
10,2020-02-14,Belgium,1.0,0.0,0.0,1.0,1.0,3,0.0,0.0,1.0,1.071
11,2020-02-15,Belgium,1.0,0.0,0.0,1.0,1.0,3,0.0,0.0,1.0,1.071
12,2020-02-16,Belgium,1.0,0.0,0.0,1.0,1.0,4,1.0,0.0,1.333,1.119
13,2020-02-17,Belgium,1.0,0.0,0.0,1.0,1.0,4,0.0,0.0,1.0,1.048
14,2020-02-18,Belgium,1.0,0.0,0.0,1.0,1.0,4,0.0,0.0,1.0,1.048
15,2020-02-19,Belgium,1.0,0.0,0.0,1.0,1.0,5,1.0,0.0,1.25,1.083
16,2020-02-20,Belgium,1.0,0.0,0.0,1.0,1.0,6,1.0,0.0,1.2,1.112
17,2020-02-21,Belgium,1.0,0.0,0.0,1.0,1.0,7,1.0,0.0,1.167,1.136
18,2020-02-22,Belgium,1.0,0.0,0.0,1.0,1.0,8,1.0,0.0,1.143,1.156
19,2020-02-23,Belgium,1.0,0.0,0.0,1.0,1.0,9,1.0,0.0,1.125,1.126
20,2020-02-24,Belgium,1.0,0.0,0.0,1.0,1.0,11,2.0,0.0,1.222,1.158
21,2020-02-25,Belgium,1.0,0.0,0.0,1.0,1.0,13,2.0,0.0,1.182,1.184
22,2020-02-26,Belgium,1.0,0.0,0.0,1.0,1.0,16,3.0,0.0,1.231,1.181
23,2020-02-27,Belgium,1.0,0.0,0.0,1.0,1.0,19,3.0,0.0,1.188,1.18
24,2020-02-28,Belgium,1.0,0.0,0.0,1.0,1.0,24,5.0,0.0,1.263,1.193
25,2020-02-29,Belgium,1.0,0.0,0.0,1.0,1.0,29,5.0,0.0,1.208,1.203
26,2020-03-01,Belgium,2.0,1.0,0.0,2.0,1.143,36,7.0,0.0,1.241,1.219
27,2020-03-02,Belgium,8.0,6.0,1.0,4.0,1.571,45,9.0,1.0,1.25,1.223
28,2020-03-03,Belgium,13.0,5.0,2.0,1.625,1.661,56,11.0,2.0,1.244,1.232
29,2020-03-04,Belgium,23.0,10.0,3.0,1.7690000000000001,1.771,70,14.0,3.0,1.25,1.235
30,2020-03-05,Belgium,50.0,27.0,7.0,2.174,1.9380000000000002,87,17.0,7.0,1.243,1.243
31,2020-03-06,Belgium,109.0,59.0,15.0,2.18,2.1069999999999998,108,21.0,15.0,1.241,1.24
32,2020-03-07,Belgium,169.0,60.0,24.0,1.55,2.185,135,27.0,24.0,1.25,1.246
33,2020-03-08,Belgium,200.0,31.0,28.0,1.183,2.069,169,34.0,28.0,1.252,1.247
34,2020-03-09,Belgium,239.0,39.0,33.0,1.195,1.6680000000000001,211,42.0,33.0,1.249,1.247
35,2020-03-10,Belgium,267.0,28.0,36.0,1.117,1.595,263,52.0,36.0,1.246,1.247
36,2020-03-11,Belgium,314.0,47.0,42.0,1.176,1.511,328,65.0,42.0,1.247,1.247
37,2020-03-12,Belgium,436.0,122.0,55.0,1.389,1.399,409,81.0,55.0,1.247,1.247
38,2020-03-13,Belgium,559.0,123.0,64.0,1.2819999999999998,1.27,509,100.0,64.0,1.244,1.248
39,2020-03-14,Belgium,689.0,130.0,74.0,1.2329999999999999,1.225,632,123.0,74.0,1.242,1.247
40,2020-03-15,Belgium,886.0,197.0,98.0,1.286,1.24,785,153.0,98.0,1.242,1.245
41,2020-03-16,Belgium,1058.0,172.0,117.0,1.194,1.24,971,186.0,117.0,1.237,1.244
42,2020-03-17,Belgium,1243.0,185.0,139.0,1.175,1.248,1200,229.0,139.0,1.236,1.242
43,2020-03-18,Belgium,1486.0,243.0,167.0,1.195,1.251,1477,277.0,167.0,1.231,1.24
44,2020-03-19,Belgium,1795.0,309.0,194.0,1.208,1.225,1813,336.0,194.0,1.227,1.237
45,2020-03-20,Belgium,2257.0,462.0,243.0,1.2570000000000001,1.2209999999999999,2215,402.0,243.0,1.222,1.234
46,2020-03-21,Belgium,2815.0,558.0,304.0,1.247,1.2229999999999999,2694,479.0,304.0,1.216,1.23
