,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-23,Brazil,0.0,0.0,,0.0,1.0,,,,,
1,2020-02-26,Brazil,1.0,1.0,,0.0,1.0,,,,,
2,2020-02-27,Brazil,1.0,0.0,,1.0,1.0,,,,,
3,2020-02-28,Brazil,1.0,0.0,,1.0,1.0,,,,,
4,2020-02-29,Brazil,2.0,1.0,,2.0,1.0,,,,,
5,2020-03-01,Brazil,2.0,0.0,,1.0,1.0,,,,,
6,2020-03-02,Brazil,2.0,0.0,0.0,1.0,1.0,,,,,
7,2020-03-03,Brazil,3.0,1.0,0.0,1.5,1.071,,,0.0,,
8,2020-03-04,Brazil,4.0,1.0,0.0,1.3330000000000002,1.262,,,0.0,,
9,2020-03-05,Brazil,8.0,4.0,1.0,2.0,1.405,,,1.0,,
10,2020-03-06,Brazil,13.0,5.0,2.0,1.625,1.494,,,2.0,,
11,2020-03-07,Brazil,16.0,3.0,2.0,1.2309999999999999,1.3840000000000001,,,2.0,,
12,2020-03-08,Brazil,20.0,4.0,3.0,1.25,1.42,,,3.0,,
13,2020-03-09,Brazil,25.0,5.0,3.0,1.25,1.456,,,3.0,,
14,2020-03-10,Brazil,31.0,6.0,4.0,1.24,1.4180000000000001,,,4.0,,
15,2020-03-11,Brazil,38.0,7.0,5.0,1.226,1.403,,,5.0,,
16,2020-03-12,Brazil,52.0,14.0,6.0,1.368,1.3130000000000002,,,6.0,,
17,2020-03-13,Brazil,151.0,99.0,20.0,2.904,1.496,0.0,,20.0,,
18,2020-03-14,Brazil,156.0,5.0,20.0,1.033,1.4669999999999999,0.0,0.0,20.0,0.0,
19,2020-03-15,Brazil,162.0,6.0,20.0,1.038,1.4369999999999998,0.0,0.0,20.0,0.0,
20,2020-03-16,Brazil,200.0,38.0,25.0,1.235,1.435,0.0,0.0,25.0,0.0,
21,2020-03-17,Brazil,321.0,121.0,41.0,1.605,1.4869999999999999,0.0,0.0,41.0,0.0,
22,2020-03-18,Brazil,372.0,51.0,48.0,1.159,1.4769999999999999,131.0,131.0,48.0,0.0,
23,2020-03-19,Brazil,621.0,249.0,81.0,1.669,1.52,622.0,491.0,81.0,4.748,
24,2020-03-20,Brazil,793.0,172.0,92.0,1.2770000000000001,1.288,1143.0,521.0,92.0,1.838,1.0
25,2020-03-21,Brazil,1021.0,228.0,124.0,1.288,1.324,1696.0,553.0,124.0,1.484,1.153
26,2020-03-22,Brazil,1593.0,572.0,204.0,1.56,1.399,2282.0,586.0,204.0,1.346,1.345
27,2020-03-23,Brazil,1924.0,331.0,246.0,1.208,1.395,2903.0,621.0,246.0,1.272,1.527
28,2020-03-24,Brazil,2247.0,323.0,275.0,1.168,1.3330000000000002,3562.0,659.0,275.0,1.227,1.702
29,2020-03-25,Brazil,2554.0,307.0,312.0,1.137,1.33,4261.0,699.0,312.0,1.196,1.873
30,2020-03-26,Brazil,2985.0,431.0,338.0,1.169,1.258,5002.0,741.0,338.0,1.174,1.362
31,2020-03-27,Brazil,3417.0,432.0,375.0,1.145,1.239,5788.0,786.0,375.0,1.157,1.265
32,2020-03-28,Brazil,3904.0,487.0,412.0,1.143,1.219,6621.0,833.0,412.0,1.144,1.217
33,2020-03-29,Brazil,4256.0,352.0,380.0,1.09,1.151,7505.0,884.0,380.0,1.134,1.186
34,2020-03-30,Brazil,4579.0,323.0,379.0,1.0759999999999998,1.133,8442.0,937.0,379.0,1.125,1.165
35,2020-03-31,Brazil,5717.0,1138.0,496.0,1.249,1.1440000000000001,9436.0,994.0,496.0,1.118,1.15
36,2020-04-01,Brazil,6836.0,1119.0,612.0,1.196,1.153,10489.0,1053.0,612.0,1.112,1.138
37,2020-04-02,Brazil,8044.0,1208.0,723.0,1.177,1.1540000000000001,11606.0,1117.0,723.0,1.106,1.128
38,2020-04-03,Brazil,9056.0,1012.0,806.0,1.126,1.151,12791.0,1185.0,806.0,1.102,1.12
39,2020-04-04,Brazil,10360.0,1304.0,922.0,1.1440000000000001,1.151,14048.0,1257.0,922.0,1.098,1.114
40,2020-04-05,Brazil,11130.0,770.0,982.0,1.074,1.149,15380.0,1332.0,982.0,1.095,1.108
41,2020-04-06,Brazil,12161.0,1031.0,1083.0,1.093,1.151,16792.0,1412.0,1083.0,1.092,1.103
42,2020-04-07,Brazil,14034.0,1873.0,1188.0,1.1540000000000001,1.138,18290.0,1498.0,1188.0,1.089,1.099
43,2020-04-08,Brazil,16170.0,2136.0,1333.0,1.1520000000000001,1.131,19879.0,1589.0,1333.0,1.087,1.096
44,2020-04-09,Brazil,18092.0,1922.0,1435.0,1.119,1.123,21563.0,1684.0,1435.0,1.085,1.093
45,2020-04-10,Brazil,19638.0,1546.0,1512.0,1.085,1.117,23349.0,1786.0,1512.0,1.083,1.09
46,2020-04-11,Brazil,20727.0,1089.0,1481.0,1.055,1.105,25243.0,1894.0,1481.0,1.081,1.087
47,2020-04-12,Brazil,22192.0,1465.0,1580.0,1.071,1.104,27250.0,2007.0,1580.0,1.08,1.085
48,2020-04-13,Brazil,23430.0,1238.0,1610.0,1.056,1.099,29379.0,2129.0,1610.0,1.078,1.083
49,2020-04-14,Brazil,25262.0,1832.0,1604.0,1.078,1.088,31636.0,2257.0,1604.0,1.077,1.082
50,2020-04-15,Brazil,28320.0,3058.0,1736.0,1.121,1.084,34029.0,2393.0,1736.0,1.076,1.08
51,2020-04-16,Brazil,30425.0,2105.0,1762.0,1.074,1.077,36566.0,2537.0,1762.0,1.075,1.079
52,2020-04-17,Brazil,33682.0,3257.0,2006.0,1.107,1.08,39256.0,2690.0,2006.0,1.074,1.077
53,2020-04-18,Brazil,36658.0,2976.0,2276.0,1.088,1.085,42107.0,2851.0,2276.0,1.073,1.076
54,2020-04-19,Brazil,38654.0,1996.0,2352.0,1.054,1.083,45130.0,3023.0,2352.0,1.072,1.075
55,2020-04-20,Brazil,40743.0,2089.0,2473.0,1.054,1.082,48333.0,3203.0,2473.0,1.071,1.074
56,2020-04-21,Brazil,43079.0,2336.0,2545.0,1.057,1.079,51729.0,3396.0,2545.0,1.07,1.073
57,2020-04-22,Brazil,45757.0,2678.0,2491.0,1.062,1.071,55328.0,3599.0,2491.0,1.07,1.072
58,2020-04-23,Brazil,50036.0,4279.0,2802.0,1.094,1.074,59141.0,3813.0,2802.0,1.069,1.071
59,2020-04-24,Brazil,54043.0,4007.0,2909.0,1.08,1.07,63181.0,4040.0,2909.0,1.068,1.07
60,2020-04-25,Brazil,59324.0,5281.0,3238.0,1.0979999999999999,1.071,67462.0,4281.0,3238.0,1.068,1.07
61,2020-04-26,Brazil,63100.0,3776.0,3492.0,1.064,1.073,71996.0,4534.0,3492.0,1.067,1.069
62,2020-04-27,Brazil,67446.0,4346.0,3815.0,1.069,1.075,76798.0,4802.0,3815.0,1.067,1.068
63,2020-04-28,Brazil,73235.0,5789.0,4308.0,1.0859999999999999,1.079,81882.0,5084.0,4308.0,1.066,1.068
64,2020-04-29,Brazil,79685.0,6450.0,4847.0,1.088,1.083,87264.0,5382.0,4847.0,1.066,1.067
65,2020-04-30,Brazil,87187.0,7502.0,5307.0,1.094,1.083,92958.0,5694.0,5307.0,1.065,1.067
