,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-28,Germany,4.0,4.0,,0.0,1.0,78,,,1.0,
1,2020-01-29,Germany,4.0,0.0,,1.0,1.0,78,0.0,,1.0,
2,2020-01-30,Germany,4.0,0.0,,1.0,1.0,78,0.0,,1.0,
3,2020-01-31,Germany,5.0,1.0,,1.25,1.0,78,0.0,,1.0,
4,2020-02-01,Germany,8.0,8.0,,1.6,1.0,78,0.0,,1.0,
5,2020-02-02,Germany,10.0,2.0,,1.25,1.014,78,0.0,,1.0,
6,2020-02-03,Germany,12.0,2.0,2.0,1.2,1.043,78,0.0,,1.0,1.0
7,2020-02-04,Germany,12.0,0.0,2.0,1.0,1.186,78,0.0,1.0,1.0,1.0
8,2020-02-05,Germany,12.0,0.0,2.0,1.0,1.186,78,0.0,1.0,1.0,1.0
9,2020-02-06,Germany,12.0,0.0,2.0,1.0,1.186,78,0.0,1.0,1.0,1.0
10,2020-02-07,Germany,12.0,0.0,2.0,1.0,1.15,78,0.0,1.0,1.0,1.0
11,2020-02-08,Germany,13.0,1.0,1.0,1.083,1.0759999999999998,78,0.0,1.0,1.0,1.0
12,2020-02-09,Germany,13.0,0.0,0.0,1.0,1.04,78,0.0,0.0,1.0,1.0
13,2020-02-10,Germany,15.0,2.0,0.0,1.1540000000000001,1.034,78,0.0,0.0,1.0,1.0
14,2020-02-11,Germany,16.0,1.0,1.0,1.067,1.043,78,0.0,1.0,1.0,1.0
15,2020-02-12,Germany,16.0,0.0,1.0,1.0,1.043,78,0.0,1.0,1.0,1.0
16,2020-02-13,Germany,16.0,0.0,1.0,1.0,1.043,78,0.0,1.0,1.0,1.0
17,2020-02-14,Germany,16.0,0.0,1.0,1.0,1.043,78,0.0,1.0,1.0,1.0
18,2020-02-15,Germany,16.0,0.0,0.0,1.0,1.032,78,0.0,0.0,1.0,1.0
19,2020-02-16,Germany,16.0,0.0,0.0,1.0,1.032,78,0.0,0.0,1.0,1.0
20,2020-02-17,Germany,16.0,0.0,0.0,1.0,1.01,78,0.0,0.0,1.0,1.0
21,2020-02-18,Germany,16.0,0.0,0.0,1.0,1.0,78,0.0,0.0,1.0,1.0
22,2020-02-19,Germany,16.0,0.0,0.0,1.0,1.0,78,0.0,0.0,1.0,1.0
23,2020-02-20,Germany,16.0,0.0,0.0,1.0,1.0,78,0.0,0.0,1.0,1.0
24,2020-02-21,Germany,16.0,0.0,0.0,1.0,1.0,78,0.0,0.0,1.0,1.0
25,2020-02-22,Germany,16.0,0.0,0.0,1.0,1.0,78,0.0,0.0,1.0,1.0
26,2020-02-23,Germany,16.0,0.0,0.0,1.0,1.0,79,1.0,0.0,1.013,1.002
27,2020-02-24,Germany,16.0,0.0,0.0,1.0,1.0,80,1.0,0.0,1.013,1.004
28,2020-02-25,Germany,21.0,5.0,1.0,1.3119999999999998,1.045,81,1.0,1.0,1.012,1.005
29,2020-02-26,Germany,27.0,6.0,2.0,1.286,1.085,83,2.0,2.0,1.025,1.009
30,2020-02-27,Germany,46.0,19.0,4.0,1.704,1.186,87,4.0,4.0,1.048,1.016
31,2020-02-28,Germany,62.0,16.0,7.0,1.348,1.236,93,6.0,7.0,1.069,1.026
32,2020-02-29,Germany,79.0,17.0,9.0,1.274,1.275,103,10.0,9.0,1.108,1.041
33,2020-03-01,Germany,130.0,51.0,16.0,1.646,1.367,118,15.0,16.0,1.146,1.06
34,2020-03-02,Germany,159.0,29.0,20.0,1.2229999999999999,1.399,142,24.0,20.0,1.203,1.087
35,2020-03-03,Germany,196.0,37.0,25.0,1.2329999999999999,1.3880000000000001,178,36.0,25.0,1.254,1.122
36,2020-03-04,Germany,262.0,66.0,34.0,1.337,1.395,233,55.0,34.0,1.309,1.162
37,2020-03-05,Germany,482.0,220.0,62.0,1.84,1.4140000000000001,314,81.0,62.0,1.348,1.205
38,2020-03-06,Germany,670.0,188.0,87.0,1.39,1.42,431,117.0,87.0,1.373,1.249
39,2020-03-07,Germany,799.0,129.0,103.0,1.193,1.409,599,168.0,103.0,1.39,1.289
40,2020-03-08,Germany,1040.0,241.0,130.0,1.3019999999999998,1.36,836,237.0,130.0,1.396,1.325
41,2020-03-09,Germany,1176.0,136.0,145.0,1.131,1.347,1162,326.0,145.0,1.39,1.351
42,2020-03-10,Germany,1457.0,281.0,180.0,1.239,1.347,1604,442.0,180.0,1.38,1.369
43,2020-03-11,Germany,1908.0,451.0,235.0,1.31,1.344,2192,588.0,235.0,1.367,1.378
44,2020-03-12,Germany,2791.0,883.0,330.0,1.463,1.29,2960,768.0,330.0,1.35,1.378
45,2020-03-13,Germany,3675.0,884.0,429.0,1.317,1.2790000000000001,3946,986.0,429.0,1.333,1.372
46,2020-03-14,Germany,4585.0,910.0,541.0,1.248,1.287,5186,1240.0,541.0,1.314,1.361
47,2020-03-15,Germany,5795.0,1210.0,679.0,1.264,1.2819999999999998,6718,1532.0,679.0,1.295,1.347
48,2020-03-16,Germany,7272.0,1477.0,871.0,1.255,1.2990000000000002,8578,1860.0,871.0,1.277,1.331
49,2020-03-17,Germany,9257.0,1985.0,1114.0,1.273,1.304,10796,2218.0,1114.0,1.259,1.314
50,2020-03-18,Germany,12327.0,3070.0,1488.0,1.3319999999999999,1.307,13396,2600.0,1488.0,1.241,1.296
51,2020-03-19,Germany,15320.0,2993.0,1790.0,1.2429999999999999,1.276,16392,2996.0,1790.0,1.224,1.278
52,2020-03-20,Germany,19848.0,4528.0,2310.0,1.296,1.273,19790,3398.0,2310.0,1.207,1.26
53,2020-03-21,Germany,22213.0,2365.0,2518.0,1.119,1.255,23583,3793.0,2518.0,1.192,1.242
54,2020-03-22,Germany,24873.0,2660.0,2725.0,1.12,1.234,27756,4173.0,2725.0,1.177,1.225
55,2020-03-23,Germany,29056.0,4183.0,3112.0,1.168,1.222,32280,4524.0,3112.0,1.163,1.209
56,2020-03-24,Germany,32986.0,3930.0,3390.0,1.135,1.202,37120,4840.0,3390.0,1.15,1.193
57,2020-03-25,Germany,37323.0,4337.0,3571.0,1.131,1.173,42231,5111.0,3571.0,1.138,1.179
