,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-02-19,Iran,2.0,2.0,,0.0,1.0,,,,,
1,2020-02-20,Iran,5.0,3.0,,2.5,1.1079999999999999,,,,,
2,2020-02-21,Iran,18.0,13.0,,3.6,1.472,,,,,
3,2020-02-22,Iran,28.0,10.0,,1.556,1.544,,,,,
4,2020-02-23,Iran,43.0,15.0,,1.536,1.6130000000000002,,,,,
5,2020-02-24,Iran,61.0,18.0,,1.419,1.665,,,,,
6,2020-02-25,Iran,95.0,34.0,14.0,1.557,1.7380000000000002,,,,,
7,2020-02-26,Iran,139.0,44.0,20.0,1.463,1.9469999999999998,,,20.0,,
8,2020-02-27,Iran,245.0,106.0,34.0,1.7630000000000001,1.8419999999999999,,,34.0,,
9,2020-02-28,Iran,388.0,143.0,53.0,1.584,1.554,,,53.0,,
10,2020-02-29,Iran,593.0,205.0,81.0,1.528,1.55,,,81.0,,
11,2020-03-01,Iran,978.0,385.0,134.0,1.649,1.5659999999999998,,,134.0,,
12,2020-03-02,Iran,1501.0,523.0,206.0,1.535,1.5830000000000002,,,206.0,,
13,2020-03-03,Iran,2336.0,835.0,320.0,1.556,1.5830000000000002,,,320.0,,
14,2020-03-04,Iran,2922.0,586.0,398.0,1.251,1.5519999999999998,,,398.0,,
15,2020-03-05,Iran,3513.0,591.0,467.0,1.202,1.472,,,467.0,,
16,2020-03-06,Iran,4747.0,1234.0,623.0,1.351,1.439,,,623.0,,
17,2020-03-07,Iran,5823.0,1076.0,747.0,1.227,1.396,,,747.0,,
18,2020-03-08,Iran,6566.0,743.0,798.0,1.128,1.321,,,798.0,,
19,2020-03-09,Iran,7304.0,738.0,829.0,1.112,1.261,,,829.0,,
20,2020-03-10,Iran,8042.0,738.0,815.0,1.101,1.196,,,815.0,,
21,2020-03-11,Iran,9000.0,958.0,868.0,1.119,1.177,,,868.0,,
22,2020-03-12,Iran,10075.0,1075.0,937.0,1.119,1.165,,,937.0,,
23,2020-03-13,Iran,11364.0,1289.0,945.0,1.128,1.133,,,945.0,,
24,2020-03-14,Iran,12729.0,1365.0,987.0,1.12,1.1179999999999999,,,987.0,,
25,2020-03-15,Iran,13860.0,1131.0,1042.0,1.089,1.113,,,1042.0,,
26,2020-03-16,Iran,15053.0,1193.0,1107.0,1.0859999999999999,1.109,,,1107.0,,
27,2020-03-17,Iran,16176.0,1123.0,1162.0,1.075,1.105,,,1162.0,,
28,2020-03-18,Iran,17288.0,1112.0,1184.0,1.069,1.0979999999999999,19091.0,,1184.0,,
29,2020-03-19,Iran,18502.0,1214.0,1204.0,1.07,1.091,19709.0,618.0,1204.0,1.032,
30,2020-03-20,Iran,19508.0,1006.0,1163.0,1.054,1.08,20555.0,846.0,1163.0,1.043,
31,2020-03-21,Iran,20641.0,1133.0,1130.0,1.058,1.072,21687.0,1132.0,1130.0,1.055,
32,2020-03-22,Iran,21829.0,1188.0,1138.0,1.058,1.067,23153.0,1466.0,1138.0,1.068,
33,2020-03-23,Iran,23224.0,1395.0,1167.0,1.064,1.064,24983.0,1830.0,1167.0,1.079,
34,2020-03-24,Iran,25033.0,1809.0,1265.0,1.078,1.064,27175.0,2192.0,1265.0,1.088,
35,2020-03-25,Iran,27108.0,2075.0,1403.0,1.083,1.0659999999999998,29693.0,2518.0,1403.0,1.093,1.065
36,2020-03-26,Iran,29674.0,2566.0,1596.0,1.095,1.07,32469.0,2776.0,1596.0,1.093,1.074
37,2020-03-27,Iran,32407.0,2733.0,1843.0,1.092,1.075,35420.0,2951.0,1843.0,1.091,1.081
38,2020-03-28,Iran,35320.0,2913.0,2097.0,1.09,1.08,38462.0,3042.0,2097.0,1.086,1.085
39,2020-03-29,Iran,38451.0,3131.0,2375.0,1.089,1.084,41521.0,3059.0,2375.0,1.08,1.087
