,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-31,Italy,2.0,2.0,,0.0,1.0,50,,,1.0,
1,2020-02-01,Italy,2.0,0.0,,1.0,1.0,50,0.0,,1.0,
2,2020-02-02,Italy,2.0,0.0,,1.0,1.0,50,0.0,,1.0,
3,2020-02-03,Italy,2.0,0.0,,1.0,1.0,50,0.0,,1.0,
4,2020-02-04,Italy,2.0,0.0,,1.0,1.0,50,0.0,,1.0,
5,2020-02-05,Italy,2.0,0.0,,1.0,1.0,50,0.0,,1.0,
6,2020-02-06,Italy,2.0,0.0,0.0,1.0,1.0,50,0.0,,1.0,1.0
7,2020-02-07,Italy,3.0,1.0,0.0,1.5,1.071,50,0.0,0.0,1.0,1.0
8,2020-02-08,Italy,3.0,0.0,0.0,1.0,1.071,50,0.0,0.0,1.0,1.0
9,2020-02-09,Italy,3.0,0.0,0.0,1.0,1.071,50,0.0,0.0,1.0,1.0
10,2020-02-10,Italy,3.0,0.0,0.0,1.0,1.071,50,0.0,0.0,1.0,1.0
11,2020-02-11,Italy,3.0,0.0,0.0,1.0,1.071,50,0.0,0.0,1.0,1.0
12,2020-02-12,Italy,3.0,0.0,0.0,1.0,1.071,50,0.0,0.0,1.0,1.0
13,2020-02-13,Italy,3.0,0.0,0.0,1.0,1.071,50,0.0,0.0,1.0,1.0
14,2020-02-14,Italy,3.0,0.0,0.0,1.0,1.0,50,0.0,0.0,1.0,1.0
15,2020-02-15,Italy,3.0,0.0,0.0,1.0,1.0,50,0.0,0.0,1.0,1.0
16,2020-02-16,Italy,3.0,0.0,0.0,1.0,1.0,50,0.0,0.0,1.0,1.0
17,2020-02-17,Italy,3.0,0.0,0.0,1.0,1.0,50,0.0,0.0,1.0,1.0
18,2020-02-18,Italy,3.0,0.0,0.0,1.0,1.0,51,1.0,0.0,1.02,1.003
19,2020-02-19,Italy,3.0,0.0,0.0,1.0,1.0,52,1.0,0.0,1.02,1.006
20,2020-02-20,Italy,11.0,8.0,1.0,3.667,1.381,53,1.0,1.0,1.019,1.008
21,2020-02-21,Italy,20.0,9.0,2.0,1.818,1.4980000000000002,55,2.0,2.0,1.038,1.014
22,2020-02-22,Italy,62.0,42.0,8.0,3.1,1.798,59,4.0,8.0,1.073,1.024
23,2020-02-23,Italy,155.0,93.0,22.0,2.5,2.012,65,6.0,22.0,1.102,1.039
24,2020-02-24,Italy,229.0,74.0,32.0,1.4769999999999999,2.08,73,8.0,32.0,1.123,1.056
25,2020-02-25,Italy,322.0,93.0,46.0,1.406,2.138,86,13.0,46.0,1.178,1.079
26,2020-02-26,Italy,453.0,131.0,64.0,1.4069999999999998,2.1959999999999997,106,20.0,64.0,1.233,1.109
27,2020-02-27,Italy,655.0,202.0,92.0,1.446,1.879,135,29.0,92.0,1.274,1.146
28,2020-02-28,Italy,888.0,233.0,124.0,1.3559999999999999,1.8130000000000002,177,42.0,124.0,1.311,1.185
29,2020-02-29,Italy,1128.0,240.0,152.0,1.27,1.5519999999999998,236,59.0,152.0,1.333,1.222
30,2020-03-01,Italy,1694.0,566.0,220.0,1.5019999999999998,1.409,320,84.0,220.0,1.356,1.258
31,2020-03-02,Italy,2036.0,342.0,258.0,1.202,1.37,435,115.0,258.0,1.359,1.292
32,2020-03-03,Italy,2502.0,466.0,311.0,1.229,1.345,591,156.0,311.0,1.359,1.318
33,2020-03-04,Italy,3089.0,587.0,377.0,1.235,1.32,801,210.0,377.0,1.355,1.335
34,2020-03-05,Italy,3858.0,769.0,458.0,1.249,1.2919999999999998,1077,276.0,458.0,1.345,1.345
35,2020-03-06,Italy,4636.0,778.0,535.0,1.202,1.27,1436,359.0,535.0,1.333,1.349
36,2020-03-07,Italy,5883.0,1247.0,679.0,1.2690000000000001,1.27,1896,460.0,679.0,1.32,1.347
37,2020-03-08,Italy,7375.0,1492.0,812.0,1.254,1.234,2477,581.0,812.0,1.306,1.34
38,2020-03-09,Italy,9172.0,1797.0,1019.0,1.244,1.24,3200,723.0,1019.0,1.292,1.33
39,2020-03-10,Italy,10817.0,1645.0,1188.0,1.179,1.2329999999999999,4090,890.0,1188.0,1.278,1.318
40,2020-03-11,Italy,12462.0,1645.0,1339.0,1.1520000000000001,1.2209999999999999,5168,1078.0,1339.0,1.264,1.305
41,2020-03-12,Italy,15061.0,2599.0,1600.0,1.209,1.216,6459,1291.0,1600.0,1.25,1.292
42,2020-03-13,Italy,17660.0,2599.0,1861.0,1.173,1.2109999999999999,7985,1526.0,1861.0,1.236,1.278
43,2020-03-14,Italy,21157.0,3497.0,2182.0,1.198,1.2009999999999998,9769,1784.0,2182.0,1.223,1.264
44,2020-03-15,Italy,24747.0,3590.0,2482.0,1.17,1.189,11829,2060.0,2482.0,1.211,1.251
45,2020-03-16,Italy,27980.0,3233.0,2687.0,1.131,1.173,14181,2352.0,2687.0,1.199,1.237
46,2020-03-17,Italy,31506.0,3526.0,2956.0,1.126,1.166,16840,2659.0,2956.0,1.188,1.224
47,2020-03-18,Italy,35713.0,4207.0,3322.0,1.1340000000000001,1.163,19812,2972.0,3322.0,1.176,1.212
48,2020-03-19,Italy,41035.0,5322.0,3711.0,1.149,1.1540000000000001,23103,3291.0,3711.0,1.166,1.2
49,2020-03-20,Italy,47021.0,5986.0,4194.0,1.146,1.151,26713,3610.0,4194.0,1.156,1.188
50,2020-03-21,Italy,53578.0,6557.0,4632.0,1.139,1.1420000000000001,30636,3923.0,4632.0,1.147,1.178
51,2020-03-22,Italy,58752.0,5174.0,4858.0,1.097,1.1320000000000001,34862,4226.0,4858.0,1.138,1.167
52,2020-03-23,Italy,64157.0,5405.0,5168.0,1.092,1.126,39378,4516.0,5168.0,1.13,1.157
53,2020-03-24,Italy,69156.0,4999.0,5379.0,1.078,1.119,44166,4788.0,5379.0,1.122,1.148
54,2020-03-25,Italy,74882.0,5726.0,5596.0,1.083,1.112,49203,5037.0,5596.0,1.114,1.139
55,2020-03-26,Italy,80442.0,5560.0,5630.0,1.074,1.101,54466,5263.0,5630.0,1.107,1.131
56,2020-03-27,Italy,86530.0,6088.0,5644.0,1.0759999999999998,1.091,59927,5461.0,5644.0,1.1,1.123
