,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-02-29,Luxembourg,1.0,1.0,,0.0,1.0,,,,,
1,2020-03-01,Luxembourg,1.0,0.0,,1.0,1.0,,,,,
2,2020-03-02,Luxembourg,1.0,0.0,,1.0,1.0,,,,,
3,2020-03-03,Luxembourg,1.0,0.0,,1.0,1.0,,,,,
4,2020-03-04,Luxembourg,1.0,0.0,,1.0,1.0,,,,,
5,2020-03-05,Luxembourg,1.0,0.0,,1.0,1.0,,,,,
6,2020-03-06,Luxembourg,2.0,1.0,0.0,2.0,1.0,,,,,
7,2020-03-07,Luxembourg,2.0,0.0,0.0,1.0,1.143,,,0.0,,
8,2020-03-08,Luxembourg,3.0,1.0,0.0,1.5,1.214,,,0.0,,
9,2020-03-09,Luxembourg,4.0,1.0,0.0,1.3330000000000002,1.262,,,0.0,,
10,2020-03-10,Luxembourg,5.0,1.0,1.0,1.25,1.298,,,1.0,,
11,2020-03-11,Luxembourg,7.0,2.0,1.0,1.4,1.355,,,1.0,,
12,2020-03-12,Luxembourg,19.0,12.0,3.0,2.714,1.6,,,3.0,,
13,2020-03-13,Luxembourg,34.0,15.0,5.0,1.7890000000000001,1.569,,,5.0,,
14,2020-03-14,Luxembourg,51.0,17.0,7.0,1.5,1.641,,,7.0,,
15,2020-03-15,Luxembourg,59.0,8.0,8.0,1.157,1.5919999999999999,6.0,,8.0,,
16,2020-03-16,Luxembourg,77.0,18.0,10.0,1.305,1.588,110.0,104.0,10.0,18.333,
17,2020-03-17,Luxembourg,140.0,63.0,19.0,1.818,1.669,227.0,117.0,19.0,2.064,
18,2020-03-18,Luxembourg,203.0,63.0,28.0,1.45,1.676,355.0,128.0,28.0,1.564,
19,2020-03-19,Luxembourg,335.0,132.0,45.0,1.65,1.524,495.0,140.0,45.0,1.394,
20,2020-03-20,Luxembourg,484.0,149.0,64.0,1.445,1.475,643.0,148.0,64.0,1.299,
21,2020-03-21,Luxembourg,670.0,186.0,88.0,1.3840000000000001,1.4580000000000002,799.0,156.0,88.0,1.243,
22,2020-03-22,Luxembourg,798.0,128.0,106.0,1.1909999999999998,1.463,961.0,162.0,106.0,1.203,3.871
23,2020-03-23,Luxembourg,948.0,150.0,124.0,1.188,1.4469999999999998,1126.0,165.0,124.0,1.172,1.42
24,2020-03-24,Luxembourg,1099.0,151.0,137.0,1.159,1.3519999999999999,1292.0,166.0,137.0,1.147,1.289
25,2020-03-25,Luxembourg,1333.0,234.0,161.0,1.213,1.319,1458.0,166.0,161.0,1.128,1.227
26,2020-03-26,Luxembourg,1469.0,136.0,162.0,1.102,1.24,1621.0,163.0,162.0,1.112,1.186
27,2020-03-27,Luxembourg,1642.0,173.0,165.0,1.1179999999999999,1.194,1779.0,158.0,165.0,1.097,1.157
28,2020-03-28,Luxembourg,1831.0,189.0,166.0,1.115,1.155,1933.0,154.0,166.0,1.087,1.135
29,2020-03-29,Luxembourg,1909.0,78.0,159.0,1.043,1.1340000000000001,2079.0,146.0,159.0,1.076,1.117
30,2020-03-30,Luxembourg,2064.0,155.0,159.0,1.081,1.119,2219.0,140.0,159.0,1.067,1.102
31,2020-03-31,Luxembourg,2153.0,89.0,151.0,1.043,1.102,2350.0,131.0,151.0,1.059,1.089
