,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-31,Russia,2.0,2.0,,0.0,1.0,27,,,1.0,
1,2020-02-01,Russia,2.0,0.0,,1.0,1.0,27,0.0,,1.0,
2,2020-02-02,Russia,2.0,0.0,,1.0,1.0,27,0.0,,1.0,
3,2020-02-03,Russia,2.0,0.0,,1.0,1.0,27,0.0,,1.0,
4,2020-02-04,Russia,2.0,0.0,,1.0,1.0,27,0.0,,1.0,
5,2020-02-05,Russia,2.0,0.0,,1.0,1.0,27,0.0,,1.0,
6,2020-02-06,Russia,2.0,0.0,0.0,1.0,1.0,27,0.0,,1.0,1.0
7,2020-02-07,Russia,2.0,0.0,0.0,1.0,1.0,27,0.0,0.0,1.0,1.0
8,2020-02-08,Russia,2.0,0.0,0.0,1.0,1.0,27,0.0,0.0,1.0,1.0
9,2020-02-09,Russia,2.0,0.0,0.0,1.0,1.0,27,0.0,0.0,1.0,1.0
10,2020-02-10,Russia,2.0,0.0,0.0,1.0,1.0,27,0.0,0.0,1.0,1.0
11,2020-02-11,Russia,2.0,0.0,0.0,1.0,1.0,27,0.0,0.0,1.0,1.0
12,2020-02-12,Russia,2.0,0.0,0.0,1.0,1.0,27,0.0,0.0,1.0,1.0
13,2020-02-13,Russia,2.0,0.0,0.0,1.0,1.0,27,0.0,0.0,1.0,1.0
14,2020-02-14,Russia,2.0,0.0,0.0,1.0,1.0,27,0.0,0.0,1.0,1.0
15,2020-02-15,Russia,2.0,0.0,0.0,1.0,1.0,27,0.0,0.0,1.0,1.0
16,2020-02-16,Russia,2.0,0.0,0.0,1.0,1.0,27,0.0,0.0,1.0,1.0
17,2020-02-17,Russia,2.0,0.0,0.0,1.0,1.0,27,0.0,0.0,1.0,1.0
18,2020-02-18,Russia,2.0,0.0,0.0,1.0,1.0,28,1.0,0.0,1.037,1.005
19,2020-02-19,Russia,2.0,0.0,0.0,1.0,1.0,28,0.0,0.0,1.0,1.005
20,2020-02-20,Russia,2.0,0.0,0.0,1.0,1.0,28,0.0,0.0,1.0,1.005
21,2020-02-21,Russia,2.0,0.0,0.0,1.0,1.0,28,0.0,0.0,1.0,1.005
22,2020-02-22,Russia,2.0,0.0,0.0,1.0,1.0,28,0.0,0.0,1.0,1.005
23,2020-02-23,Russia,2.0,0.0,0.0,1.0,1.0,28,0.0,0.0,1.0,1.005
24,2020-02-24,Russia,2.0,0.0,0.0,1.0,1.0,29,1.0,0.0,1.036,1.01
25,2020-02-25,Russia,2.0,0.0,0.0,1.0,1.0,29,0.0,0.0,1.0,1.005
26,2020-02-26,Russia,2.0,0.0,0.0,1.0,1.0,29,0.0,0.0,1.0,1.005
27,2020-02-27,Russia,2.0,0.0,0.0,1.0,1.0,30,1.0,0.0,1.034,1.01
28,2020-02-28,Russia,2.0,0.0,0.0,1.0,1.0,30,0.0,0.0,1.0,1.01
29,2020-02-29,Russia,2.0,0.0,0.0,1.0,1.0,31,1.0,0.0,1.033,1.015
30,2020-03-01,Russia,2.0,0.0,0.0,1.0,1.0,32,1.0,0.0,1.032,1.019
31,2020-03-02,Russia,3.0,1.0,0.0,1.5,1.071,33,1.0,0.0,1.031,1.019
32,2020-03-03,Russia,3.0,0.0,0.0,1.0,1.071,35,2.0,0.0,1.061,1.027
33,2020-03-04,Russia,3.0,0.0,0.0,1.0,1.071,37,2.0,0.0,1.057,1.035
34,2020-03-05,Russia,4.0,1.0,0.0,1.3330000000000002,1.119,39,2.0,0.0,1.054,1.038
35,2020-03-06,Russia,13.0,9.0,2.0,3.25,1.44,42,3.0,2.0,1.077,1.049
36,2020-03-07,Russia,15.0,2.0,2.0,1.1540000000000001,1.462,45,3.0,2.0,1.071,1.055
37,2020-03-08,Russia,17.0,2.0,2.0,1.133,1.4809999999999999,49,4.0,2.0,1.089,1.063
38,2020-03-09,Russia,13.0,-4.0,1.0,0.765,1.376,55,6.0,1.0,1.122,1.076
39,2020-03-10,Russia,10.0,-3.0,1.0,0.769,1.3430000000000002,61,6.0,1.0,1.109,1.083
40,2020-03-11,Russia,20.0,10.0,2.0,2.0,1.486,69,8.0,2.0,1.131,1.093
41,2020-03-12,Russia,28.0,8.0,3.0,1.4,1.496,79,10.0,3.0,1.145,1.106
42,2020-03-13,Russia,45.0,17.0,5.0,1.607,1.261,92,13.0,5.0,1.165,1.119
43,2020-03-14,Russia,59.0,14.0,6.0,1.311,1.284,107,15.0,6.0,1.163,1.132
44,2020-03-15,Russia,63.0,4.0,7.0,1.068,1.274,125,18.0,7.0,1.168,1.143
45,2020-03-16,Russia,90.0,27.0,11.0,1.429,1.369,148,23.0,11.0,1.184,1.152
46,2020-03-17,Russia,114.0,24.0,15.0,1.2670000000000001,1.44,176,28.0,15.0,1.189,1.164
47,2020-03-18,Russia,147.0,33.0,18.0,1.2890000000000001,1.339,211,35.0,18.0,1.199,1.173
48,2020-03-19,Russia,199.0,52.0,24.0,1.354,1.3319999999999999,253,42.0,24.0,1.199,1.181
49,2020-03-20,Russia,253.0,54.0,30.0,1.271,1.284,304,51.0,30.0,1.202,1.186
50,2020-03-21,Russia,306.0,53.0,35.0,1.209,1.27,368,64.0,35.0,1.211,1.193
51,2020-03-22,Russia,367.0,61.0,43.0,1.199,1.288,445,77.0,43.0,1.209,1.199
52,2020-03-23,Russia,438.0,71.0,50.0,1.193,1.255,539,94.0,50.0,1.211,1.203
53,2020-03-24,Russia,495.0,57.0,54.0,1.13,1.235,654,115.0,54.0,1.213,1.206
54,2020-03-25,Russia,658.0,163.0,73.0,1.329,1.2409999999999999,793,139.0,73.0,1.213,1.208
55,2020-03-26,Russia,840.0,182.0,92.0,1.2770000000000001,1.23,962,169.0,92.0,1.213,1.21
56,2020-03-27,Russia,1036.0,196.0,112.0,1.2329999999999999,1.224,1167,205.0,112.0,1.213,1.212
57,2020-03-28,Russia,1264.0,228.0,137.0,1.22,1.226,1413,246.0,137.0,1.211,1.212
58,2020-03-29,Russia,1534.0,270.0,167.0,1.214,1.228,1710,297.0,167.0,1.21,1.212
59,2020-03-30,Russia,1836.0,302.0,200.0,1.197,1.229,2067,357.0,200.0,1.209,1.212
60,2020-03-31,Russia,2337.0,501.0,263.0,1.273,1.249,2493,426.0,263.0,1.206,1.211
61,2020-04-01,Russia,2777.0,440.0,303.0,1.188,1.229,3001,508.0,303.0,1.204,1.209
62,2020-04-02,Russia,3548.0,771.0,387.0,1.278,1.229,3605,604.0,387.0,1.201,1.208
63,2020-04-03,Russia,4149.0,601.0,445.0,1.169,1.22,4320,715.0,445.0,1.198,1.206
64,2020-04-04,Russia,4731.0,582.0,495.0,1.14,1.208,5163,843.0,495.0,1.195,1.203
65,2020-04-05,Russia,5389.0,658.0,551.0,1.139,1.198,6151,988.0,551.0,1.191,1.201
66,2020-04-06,Russia,6343.0,954.0,644.0,1.177,1.195,7305,1154.0,644.0,1.188,1.198
67,2020-04-07,Russia,7497.0,1154.0,737.0,1.182,1.182,8646,1341.0,737.0,1.184,1.194
68,2020-04-08,Russia,8672.0,1175.0,842.0,1.157,1.177,10195,1549.0,842.0,1.179,1.191
69,2020-04-09,Russia,10131.0,1459.0,940.0,1.168,1.162,11976,1781.0,940.0,1.175,1.187
70,2020-04-10,Russia,11917.0,1786.0,1110.0,1.176,1.163,14009,2033.0,1110.0,1.17,1.183
71,2020-04-11,Russia,13584.0,1667.0,1265.0,1.14,1.163,16316,2307.0,1265.0,1.165,1.179
72,2020-04-12,Russia,15770.0,2186.0,1483.0,1.161,1.166,18918,2602.0,1483.0,1.159,1.174
73,2020-04-13,Russia,18328.0,2558.0,1712.0,1.162,1.1640000000000001,21832,2914.0,1712.0,1.154,1.169
74,2020-04-14,Russia,21102.0,2774.0,1944.0,1.151,1.159,25072,3240.0,1944.0,1.148,1.164
75,2020-04-15,Russia,24490.0,3388.0,2260.0,1.161,1.16,28648,3576.0,2260.0,1.143,1.159
76,2020-04-16,Russia,27938.0,3448.0,2544.0,1.141,1.156,32567,3919.0,2544.0,1.137,1.154
77,2020-04-17,Russia,32008.0,4070.0,2870.0,1.146,1.1520000000000001,36828,4261.0,2870.0,1.131,1.148
78,2020-04-18,Russia,36793.0,4785.0,3316.0,1.149,1.153,41425,4597.0,3316.0,1.125,1.142
79,2020-04-19,Russia,42853.0,6060.0,3869.0,1.165,1.1540000000000001,46347,4922.0,3869.0,1.119,1.137
80,2020-04-20,Russia,47121.0,4268.0,4113.0,1.1,1.145,51573,5226.0,4113.0,1.113,1.131
81,2020-04-21,Russia,52763.0,5642.0,4523.0,1.12,1.14,57080,5507.0,4523.0,1.107,1.125
82,2020-04-22,Russia,57999.0,5236.0,4787.0,1.099,1.131,62837,5757.0,4787.0,1.101,1.119
83,2020-04-23,Russia,62773.0,4774.0,4976.0,1.082,1.123,68808,5971.0,4976.0,1.095,1.113
84,2020-04-24,Russia,68622.0,5849.0,5231.0,1.093,1.115,74954,6146.0,5231.0,1.089,1.107
85,2020-04-25,Russia,74588.0,5966.0,5399.0,1.087,1.107,81231,6277.0,5399.0,1.084,1.101
86,2020-04-26,Russia,80949.0,6361.0,5442.0,1.085,1.095,87596,6365.0,5442.0,1.078,1.095
87,2020-04-27,Russia,87147.0,6198.0,5718.0,1.077,1.092,94004,6408.0,5718.0,1.073,1.09
88,2020-04-28,Russia,93558.0,6411.0,5828.0,1.074,1.085,100408,6404.0,5828.0,1.068,1.084
89,2020-04-29,Russia,99399.0,5841.0,5914.0,1.062,1.08,106768,6360.0,5914.0,1.063,1.079
90,2020-04-30,Russia,106498.0,7099.0,6246.0,1.071,1.078,113042,6274.0,6246.0,1.059,1.073
91,2020-05-01,Russia,114431.0,7933.0,6544.0,1.074,1.0759999999999998,119193,6151.0,6544.0,1.054,1.068
92,2020-05-02,Russia,124054.0,9623.0,7067.0,1.084,1.075,125189,5996.0,7067.0,1.05,1.064
93,2020-05-03,Russia,134687.0,10633.0,7677.0,1.0859999999999999,1.075,131001,5812.0,7677.0,1.046,1.059
94,2020-05-04,Russia,145268.0,10581.0,8303.0,1.079,1.0759999999999998,136605,5604.0,8303.0,1.043,1.055
95,2020-05-05,Russia,155370.0,10102.0,8830.0,1.07,1.075,141982,5377.0,8830.0,1.039,1.051
96,2020-05-06,Russia,165929.0,10559.0,9504.0,1.068,1.0759999999999998,147116,5134.0,9504.0,1.036,1.047
97,2020-05-07,Russia,177160.0,11231.0,10095.0,1.068,1.0759999999999998,151998,4882.0,10095.0,1.033,1.043
98,2020-05-08,Russia,187859.0,10699.0,10490.0,1.06,1.074,156621,4623.0,10490.0,1.03,1.04
99,2020-05-09,Russia,198676.0,10817.0,10660.0,1.058,1.07,160983,4362.0,10660.0,1.028,1.036
100,2020-05-10,Russia,209688.0,11012.0,10714.0,1.055,1.065,165082,4099.0,10714.0,1.025,1.033
101,2020-05-11,Russia,221344.0,11656.0,10868.0,1.056,1.062,168924,3842.0,10868.0,1.023,1.031
102,2020-05-12,Russia,232243.0,10899.0,10982.0,1.0490000000000002,1.0590000000000002,172512,3588.0,10982.0,1.021,1.028
103,2020-05-13,Russia,242271.0,10028.0,10906.0,1.043,1.056,175855,3343.0,10906.0,1.019,1.026
104,2020-05-14,Russia,252245.0,9974.0,10726.0,1.041,1.052,178961,3106.0,10726.0,1.018,1.023
105,2020-05-15,Russia,262843.0,10598.0,10712.0,1.042,1.0490000000000002,181840,2879.0,10712.0,1.016,1.021
106,2020-05-16,Russia,272043.0,9200.0,10481.0,1.035,1.046,184503,2663.0,10481.0,1.015,1.02
107,2020-05-17,Russia,281752.0,9709.0,10295.0,1.036,1.043,186962,2459.0,10295.0,1.013,1.018
108,2020-05-18,Russia,290678.0,8926.0,9905.0,1.032,1.04,189227,2265.0,9905.0,1.012,1.016
109,2020-05-19,Russia,299941.0,9263.0,9671.0,1.032,1.037,191310,2083.0,9671.0,1.011,1.015
110,2020-05-20,Russia,308705.0,8764.0,9491.0,1.0290000000000001,1.035,193224,1914.0,9491.0,1.01,1.014
111,2020-05-21,Russia,317554.0,8849.0,9330.0,1.0290000000000001,1.034,194979,1755.0,9330.0,1.009,1.012
112,2020-05-22,Russia,326448.0,8894.0,9086.0,1.028,1.032,196587,1608.0,9086.0,1.008,1.011
113,2020-05-23,Russia,335882.0,9434.0,9120.0,1.0290000000000001,1.031,198058,1471.0,9120.0,1.007,1.01
114,2020-05-24,Russia,344481.0,8599.0,8961.0,1.026,1.0290000000000001,199402,1344.0,8961.0,1.007,1.009
115,2020-05-25,Russia,353427.0,8946.0,8964.0,1.026,1.028,200630,1228.0,8964.0,1.006,1.008
116,2020-05-26,Russia,362342.0,8915.0,8914.0,1.025,1.0270000000000001,201750,1120.0,8914.0,1.006,1.008
117,2020-05-27,Russia,,,,,,202771,1021.0,-15133.0,1.005,1.007
118,2020-05-28,Russia,,,,,,203701,930.0,-16265.0,1.005,1.006
119,2020-05-29,Russia,,,,,,204547,846.0,-17414.0,1.004,1.006
120,2020-05-30,Russia,,,,,,205317,770.0,-18652.0,1.004,1.005
121,2020-05-31,Russia,,,,,,206018,701.0,-19780.0,1.003,1.005
122,2020-06-01,Russia,,,,,,206654,636.0,-20968.0,1.003,1.004
123,2020-06-02,Russia,,,,,,207232,578.0,-22159.0,1.003,1.004
124,2020-06-03,Russia,,,,,,207757,525.0,712.0,1.003,1.004
125,2020-06-04,Russia,,,,,,208233,476.0,647.0,1.002,1.003
126,2020-06-05,Russia,,,,,,208666,433.0,588.0,1.002,1.003
127,2020-06-06,Russia,,,,,,209058,392.0,534.0,1.002,1.003
128,2020-06-07,Russia,,,,,,209414,356.0,485.0,1.002,1.002
129,2020-06-08,Russia,,,,,,209736,322.0,440.0,1.002,1.002
130,2020-06-09,Russia,,,,,,210029,293.0,400.0,1.001,1.002
131,2020-06-10,Russia,,,,,,210294,265.0,362.0,1.001,1.002
132,2020-06-11,Russia,,,,,,210534,240.0,329.0,1.001,1.002
133,2020-06-12,Russia,,,,,,210751,217.0,298.0,1.001,1.001
134,2020-06-13,Russia,,,,,,210948,197.0,270.0,1.001,1.001
135,2020-06-14,Russia,,,,,,211126,178.0,245.0,1.001,1.001
136,2020-06-15,Russia,,,,,,211288,162.0,222.0,1.001,1.001
137,2020-06-16,Russia,,,,,,211434,146.0,201.0,1.001,1.001
138,2020-06-17,Russia,,,,,,211567,133.0,182.0,1.001,1.001
139,2020-06-18,Russia,,,,,,211687,120.0,165.0,1.001,1.001
140,2020-06-19,Russia,,,,,,211795,108.0,149.0,1.001,1.001
141,2020-06-20,Russia,,,,,,211893,98.0,135.0,1.0,1.001
142,2020-06-21,Russia,,,,,,211982,89.0,122.0,1.0,1.001
143,2020-06-22,Russia,,,,,,212063,81.0,111.0,1.0,1.001
144,2020-06-23,Russia,,,,,,212136,73.0,100.0,1.0,1.0
145,2020-06-24,Russia,,,,,,212201,65.0,91.0,1.0,1.0
146,2020-06-25,Russia,,,,,,212261,60.0,82.0,1.0,1.0
147,2020-06-26,Russia,,,,,,212315,54.0,74.0,1.0,1.0
148,2020-06-27,Russia,,,,,,212364,49.0,67.0,1.0,1.0
149,2020-06-28,Russia,,,,,,212408,44.0,61.0,1.0,1.0
150,2020-06-29,Russia,,,,,,212448,40.0,55.0,1.0,1.0
151,2020-06-30,Russia,,,,,,212484,36.0,50.0,1.0,1.0
152,2020-07-01,Russia,,,,,,212517,33.0,45.0,1.0,1.0
153,2020-07-02,Russia,,,,,,212547,30.0,41.0,1.0,1.0
154,2020-07-03,Russia,,,,,,212573,26.0,37.0,1.0,1.0
155,2020-07-04,Russia,,,,,,212598,25.0,33.0,1.0,1.0
156,2020-07-05,Russia,,,,,,212619,21.0,30.0,1.0,1.0
157,2020-07-06,Russia,,,,,,212639,20.0,27.0,1.0,1.0
158,2020-07-07,Russia,,,,,,212657,18.0,25.0,1.0,1.0
159,2020-07-08,Russia,,,,,,212673,16.0,22.0,1.0,1.0
160,2020-07-09,Russia,,,,,,212688,15.0,20.0,1.0,1.0
161,2020-07-10,Russia,,,,,,212701,13.0,18.0,1.0,1.0
162,2020-07-11,Russia,,,,,,212713,12.0,16.0,1.0,1.0
163,2020-07-12,Russia,,,,,,212724,11.0,15.0,1.0,1.0
164,2020-07-13,Russia,,,,,,212734,10.0,14.0,1.0,1.0
165,2020-07-14,Russia,,,,,,212743,9.0,12.0,1.0,1.0
166,2020-07-15,Russia,,,,,,212751,8.0,11.0,1.0,1.0
167,2020-07-16,Russia,,,,,,212758,7.0,10.0,1.0,1.0
168,2020-07-17,Russia,,,,,,212765,7.0,9.0,1.0,1.0
169,2020-07-18,Russia,,,,,,212771,6.0,8.0,1.0,1.0
