,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-23,Singapore,1.0,1.0,,0.0,1.0,32,,,1.0,
1,2020-01-24,Singapore,3.0,2.0,,3.0,1.156,32,0.0,,1.0,
2,2020-01-25,Singapore,3.0,0.0,,1.0,1.151,32,0.0,,1.0,
3,2020-01-26,Singapore,4.0,1.0,,1.3330000000000002,1.196,32,0.0,,1.0,
4,2020-01-27,Singapore,5.0,1.0,,1.25,1.23,33,1.0,,1.031,
5,2020-01-28,Singapore,7.0,2.0,,1.4,1.286,33,0.0,,1.0,
6,2020-01-29,Singapore,8.0,1.0,1.0,1.143,1.304,33,0.0,,1.0,1.004
7,2020-01-30,Singapore,10.0,2.0,1.0,1.25,1.482,34,1.0,1.0,1.03,1.009
8,2020-01-31,Singapore,13.0,3.0,1.0,1.3,1.239,34,0.0,1.0,1.0,1.009
9,2020-02-01,Singapore,16.0,3.0,2.0,1.2309999999999999,1.272,35,1.0,2.0,1.029,1.013
10,2020-02-02,Singapore,18.0,2.0,2.0,1.125,1.2429999999999999,35,0.0,2.0,1.0,1.013
11,2020-02-03,Singapore,21.0,3.0,2.0,1.167,1.2309999999999999,36,1.0,2.0,1.029,1.013
12,2020-02-04,Singapore,24.0,3.0,2.0,1.143,1.194,36,0.0,2.0,1.0,1.013
13,2020-02-05,Singapore,28.0,4.0,3.0,1.167,1.198,37,1.0,3.0,1.028,1.017
14,2020-02-06,Singapore,29.0,1.0,3.0,1.036,1.167,38,1.0,3.0,1.027,1.016
15,2020-02-07,Singapore,30.0,1.0,2.0,1.034,1.129,38,0.0,2.0,1.0,1.016
16,2020-02-08,Singapore,35.0,5.0,3.0,1.167,1.12,39,1.0,3.0,1.026,1.016
17,2020-02-09,Singapore,40.0,5.0,3.0,1.143,1.122,40,1.0,3.0,1.026,1.019
18,2020-02-10,Singapore,45.0,5.0,3.0,1.125,1.1159999999999999,41,1.0,3.0,1.025,1.019
19,2020-02-11,Singapore,47.0,2.0,3.0,1.044,1.102,42,1.0,3.0,1.024,1.022
20,2020-02-12,Singapore,52.0,5.0,3.0,1.1059999999999999,1.094,44,2.0,3.0,1.048,1.025
21,2020-02-13,Singapore,58.0,6.0,4.0,1.115,1.105,45,1.0,4.0,1.023,1.025
22,2020-02-14,Singapore,67.0,9.0,5.0,1.155,1.122,46,1.0,5.0,1.022,1.028
23,2020-02-15,Singapore,71.0,4.0,5.0,1.06,1.107,48,2.0,5.0,1.043,1.03
24,2020-02-16,Singapore,74.0,3.0,5.0,1.042,1.092,50,2.0,5.0,1.042,1.032
25,2020-02-17,Singapore,78.0,4.0,5.0,1.054,1.082,52,2.0,5.0,1.04,1.035
26,2020-02-18,Singapore,80.0,2.0,5.0,1.026,1.08,54,2.0,5.0,1.038,1.037
27,2020-02-19,Singapore,82.0,2.0,4.0,1.025,1.068,56,2.0,4.0,1.037,1.035
28,2020-02-20,Singapore,84.0,2.0,4.0,1.024,1.055,58,2.0,4.0,1.036,1.037
29,2020-02-21,Singapore,84.0,0.0,2.0,1.0,1.033,61,3.0,2.0,1.052,1.041
