,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-22,South Korea,1.0,1.0,,0.0,1.0,,,,,
1,2020-01-23,South Korea,1.0,0.0,,1.0,1.0,,,,,
2,2020-01-24,South Korea,2.0,1.0,,2.0,1.0,,,,,
3,2020-01-25,South Korea,2.0,0.0,,1.0,1.0,,,,,
4,2020-01-26,South Korea,3.0,1.0,,1.5,1.071,,,,,
5,2020-01-27,South Korea,4.0,1.0,,1.3330000000000002,1.119,,,,,
6,2020-01-28,South Korea,4.0,0.0,1.0,1.0,1.119,,,,,
7,2020-01-29,South Korea,4.0,0.0,0.0,1.0,1.262,,,0.0,,
8,2020-01-30,South Korea,7.0,3.0,1.0,1.75,1.369,,,1.0,,
9,2020-01-31,South Korea,11.0,4.0,1.0,1.571,1.308,,,1.0,,
10,2020-02-01,South Korea,13.0,2.0,2.0,1.182,1.334,,,2.0,,
11,2020-02-02,South Korea,15.0,2.0,2.0,1.1540000000000001,1.284,,,2.0,,
12,2020-02-03,South Korea,15.0,0.0,2.0,1.0,1.237,,,2.0,,
13,2020-02-04,South Korea,17.0,2.0,2.0,1.133,1.256,,,2.0,,
14,2020-02-05,South Korea,19.0,2.0,2.0,1.1179999999999999,1.273,,,2.0,,
15,2020-02-06,South Korea,23.0,4.0,2.0,1.2109999999999999,1.196,,,2.0,,
16,2020-02-07,South Korea,23.0,0.0,2.0,1.0,1.114,,,2.0,,
17,2020-02-08,South Korea,24.0,1.0,2.0,1.043,1.094,,,2.0,,
18,2020-02-09,South Korea,25.0,1.0,1.0,1.042,1.078,,,1.0,,
19,2020-02-10,South Korea,26.0,1.0,2.0,1.04,1.084,,,2.0,,
20,2020-02-11,South Korea,27.0,1.0,1.0,1.038,1.07,,,1.0,,
21,2020-02-12,South Korea,28.0,1.0,1.0,1.037,1.0590000000000002,,,1.0,,
22,2020-02-13,South Korea,28.0,0.0,1.0,1.0,1.0290000000000001,,,1.0,,
23,2020-02-14,South Korea,28.0,0.0,1.0,1.0,1.0290000000000001,,,1.0,,
24,2020-02-15,South Korea,28.0,0.0,1.0,1.0,1.022,,,1.0,,
25,2020-02-16,South Korea,29.0,1.0,1.0,1.036,1.022,,,1.0,,
26,2020-02-17,South Korea,30.0,1.0,1.0,1.034,1.021,,,1.0,,
27,2020-02-18,South Korea,30.0,0.0,0.0,1.0,1.015,,,0.0,,
28,2020-02-19,South Korea,67.0,37.0,6.0,2.233,1.186,,,6.0,,
29,2020-02-20,South Korea,104.0,37.0,11.0,1.5519999999999998,1.265,,,11.0,,
30,2020-02-21,South Korea,204.0,100.0,25.0,1.962,1.402,,,25.0,,
31,2020-02-22,South Korea,433.0,229.0,58.0,2.123,1.5630000000000002,,,58.0,,
32,2020-02-23,South Korea,602.0,169.0,82.0,1.39,1.6130000000000002,,,82.0,,
33,2020-02-24,South Korea,833.0,231.0,115.0,1.3840000000000001,1.663,,,115.0,,
