,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-02-01,Spain,1.0,1.0,,0.0,1.0,179,,,1.0,
1,2020-02-02,Spain,1.0,0.0,,1.0,1.0,179,0.0,,1.0,
2,2020-02-03,Spain,1.0,0.0,,1.0,1.0,179,0.0,,1.0,
3,2020-02-04,Spain,1.0,0.0,,1.0,1.0,179,0.0,,1.0,
4,2020-02-05,Spain,1.0,0.0,,1.0,1.0,179,0.0,,1.0,
5,2020-02-06,Spain,1.0,0.0,,1.0,1.0,179,0.0,,1.0,
6,2020-02-07,Spain,1.0,0.0,0.0,1.0,1.0,179,0.0,,1.0,1.0
7,2020-02-08,Spain,1.0,0.0,0.0,1.0,1.0,179,0.0,0.0,1.0,1.0
8,2020-02-09,Spain,2.0,1.0,0.0,2.0,1.143,179,0.0,0.0,1.0,1.0
9,2020-02-10,Spain,2.0,0.0,0.0,1.0,1.143,179,0.0,0.0,1.0,1.0
10,2020-02-11,Spain,2.0,0.0,0.0,1.0,1.143,179,0.0,0.0,1.0,1.0
11,2020-02-12,Spain,2.0,0.0,0.0,1.0,1.143,179,0.0,0.0,1.0,1.0
12,2020-02-13,Spain,2.0,0.0,0.0,1.0,1.143,179,0.0,0.0,1.0,1.0
13,2020-02-14,Spain,2.0,0.0,0.0,1.0,1.143,179,0.0,0.0,1.0,1.0
14,2020-02-15,Spain,2.0,0.0,0.0,1.0,1.143,179,0.0,0.0,1.0,1.0
15,2020-02-16,Spain,2.0,0.0,0.0,1.0,1.0,179,0.0,0.0,1.0,1.0
16,2020-02-17,Spain,2.0,0.0,0.0,1.0,1.0,179,0.0,0.0,1.0,1.0
17,2020-02-18,Spain,2.0,0.0,0.0,1.0,1.0,179,0.0,0.0,1.0,1.0
18,2020-02-19,Spain,2.0,0.0,0.0,1.0,1.0,179,0.0,0.0,1.0,1.0
19,2020-02-20,Spain,2.0,0.0,0.0,1.0,1.0,179,0.0,0.0,1.0,1.0
20,2020-02-21,Spain,2.0,0.0,0.0,1.0,1.0,179,0.0,0.0,1.0,1.0
21,2020-02-22,Spain,2.0,0.0,0.0,1.0,1.0,179,0.0,0.0,1.0,1.0
22,2020-02-23,Spain,2.0,0.0,0.0,1.0,1.0,179,0.0,0.0,1.0,1.0
23,2020-02-24,Spain,4.0,2.0,0.0,2.0,1.143,179,0.0,0.0,1.0,1.0
24,2020-02-25,Spain,6.0,2.0,1.0,1.5,1.214,180,1.0,1.0,1.006,1.001
25,2020-02-26,Spain,13.0,7.0,2.0,2.167,1.381,180,0.0,2.0,1.0,1.001
26,2020-02-27,Spain,15.0,2.0,2.0,1.1540000000000001,1.403,181,1.0,2.0,1.006,1.002
27,2020-02-28,Spain,32.0,17.0,4.0,2.133,1.565,183,2.0,4.0,1.011,1.003
28,2020-02-29,Spain,45.0,13.0,6.0,1.406,1.6230000000000002,186,3.0,6.0,1.016,1.006
29,2020-03-01,Spain,84.0,39.0,12.0,1.867,1.7469999999999999,191,5.0,12.0,1.027,1.009
30,2020-03-02,Spain,120.0,36.0,17.0,1.429,1.665,200,9.0,17.0,1.047,1.016
31,2020-03-03,Spain,165.0,45.0,23.0,1.375,1.6469999999999998,217,17.0,23.0,1.085,1.027
32,2020-03-04,Spain,222.0,57.0,30.0,1.345,1.53,245,28.0,30.0,1.129,1.046
33,2020-03-05,Spain,259.0,37.0,35.0,1.167,1.5319999999999998,290,45.0,35.0,1.184,1.071
34,2020-03-06,Spain,400.0,141.0,53.0,1.544,1.4480000000000002,363,73.0,53.0,1.252,1.106
35,2020-03-07,Spain,500.0,100.0,65.0,1.25,1.425,477,114.0,65.0,1.314,1.148
36,2020-03-08,Spain,673.0,173.0,84.0,1.3459999999999999,1.351,651,174.0,84.0,1.365,1.197
37,2020-03-09,Spain,1073.0,400.0,136.0,1.594,1.374,909,258.0,136.0,1.396,1.246
38,2020-03-10,Spain,1695.0,622.0,219.0,1.58,1.4040000000000001,1283,374.0,219.0,1.411,1.293
39,2020-03-11,Spain,2277.0,582.0,294.0,1.3430000000000002,1.403,1811,528.0,294.0,1.412,1.333
40,2020-03-12,Spain,3754.0,1477.0,499.0,1.649,1.472,2538,727.0,499.0,1.401,1.364
41,2020-03-13,Spain,5232.0,1478.0,690.0,1.3940000000000001,1.4509999999999998,3517,979.0,690.0,1.386,1.384
42,2020-03-14,Spain,6391.0,1159.0,842.0,1.222,1.4469999999999998,4801,1284.0,842.0,1.365,1.391
43,2020-03-15,Spain,7798.0,1407.0,1018.0,1.22,1.429,6448,1647.0,1018.0,1.343,1.388
44,2020-03-16,Spain,9942.0,2144.0,1267.0,1.275,1.383,8514,2066.0,1267.0,1.32,1.377
45,2020-03-17,Spain,11748.0,1806.0,1436.0,1.182,1.3259999999999998,11049,2535.0,1436.0,1.298,1.361
46,2020-03-18,Spain,13910.0,2162.0,1662.0,1.1840000000000002,1.304,14095,3046.0,1662.0,1.276,1.341
47,2020-03-19,Spain,17963.0,4053.0,2030.0,1.291,1.253,17683,3588.0,2030.0,1.255,1.32
48,2020-03-20,Spain,20410.0,2447.0,2168.0,1.136,1.216,21830,4147.0,2168.0,1.235,1.299
49,2020-03-21,Spain,25374.0,4964.0,2712.0,1.2429999999999999,1.219,26535,4705.0,2712.0,1.216,1.278
50,2020-03-22,Spain,28768.0,3394.0,2996.0,1.1340000000000001,1.206,31785,5250.0,2996.0,1.198,1.257
51,2020-03-23,Spain,35136.0,6368.0,3599.0,1.2209999999999999,1.199,37548,5763.0,3599.0,1.181,1.237
52,2020-03-24,Spain,39885.0,4749.0,4020.0,1.135,1.192,43779,6231.0,4020.0,1.166,1.218
53,2020-03-25,Spain,49515.0,9630.0,5086.0,1.2409999999999999,1.2,50421,6642.0,5086.0,1.152,1.2
54,2020-03-26,Spain,57786.0,8271.0,5689.0,1.167,1.182,57407,6986.0,5689.0,1.139,1.184
55,2020-03-27,Spain,65719.0,7933.0,6473.0,1.137,1.183,64664,7257.0,6473.0,1.126,1.168
56,2020-03-28,Spain,73235.0,7516.0,6837.0,1.114,1.1640000000000001,72117,7453.0,6837.0,1.115,1.154
57,2020-03-29,Spain,80595.0,7360.0,7404.0,1.1,1.159,79689,7572.0,7404.0,1.105,1.141
