,date,country,confirmed,new_confirmed,growth,growth_avg,growth_avg_7,predict,new_predict,p_growth,p_gr_avg,p_gr_avg_7
0,2020-02-25,Switzerland,1.0,1.0,0.0,1.0,1.0,69,,1.0,,
1,2020-02-26,Switzerland,4.0,3.0,4.0,1.682,1.331,69,0.0,1.0,,
2,2020-02-27,Switzerland,8.0,4.0,2.0,2.0,1.463,70,1.0,1.014,1.005,
3,2020-02-28,Switzerland,13.0,5.0,1.625,2.542,1.55,70,0.0,1.0,1.005,
4,2020-02-29,Switzerland,18.0,5.0,1.385,1.67,1.588,72,2.0,1.029,1.014,
5,2020-03-01,Switzerland,27.0,9.0,1.5,1.5030000000000001,1.651,73,1.0,1.014,1.014,
6,2020-03-02,Switzerland,42.0,15.0,1.556,1.48,1.724,76,3.0,1.041,1.028,1.014
7,2020-03-03,Switzerland,56.0,14.0,1.3330000000000002,1.463,1.9140000000000001,81,5.0,1.066,1.04,1.023
8,2020-03-04,Switzerland,90.0,34.0,1.607,1.499,1.5719999999999998,88,7.0,1.086,1.064,1.036
9,2020-03-05,Switzerland,114.0,24.0,1.2670000000000001,1.402,1.4680000000000002,99,11.0,1.125,1.092,1.052
10,2020-03-06,Switzerland,214.0,100.0,1.8769999999999998,1.584,1.504,117,18.0,1.182,1.131,1.078
11,2020-03-07,Switzerland,268.0,54.0,1.252,1.465,1.485,143,26.0,1.222,1.176,1.105
12,2020-03-08,Switzerland,337.0,69.0,1.2570000000000001,1.462,1.45,181,38.0,1.266,1.223,1.141
13,2020-03-09,Switzerland,414.0,77.0,1.228,1.246,1.403,238,57.0,1.315,1.268,1.18
14,2020-03-10,Switzerland,491.0,77.0,1.186,1.224,1.382,318,80.0,1.336,1.306,1.219
15,2020-03-11,Switzerland,652.0,161.0,1.328,1.247,1.3419999999999999,431,113.0,1.355,1.335,1.257
16,2020-03-12,Switzerland,895.0,243.0,1.3730000000000002,1.296,1.357,584,153.0,1.355,1.349,1.29
17,2020-03-13,Switzerland,1139.0,244.0,1.273,1.325,1.271,790,206.0,1.353,1.354,1.315
18,2020-03-14,Switzerland,1359.0,220.0,1.193,1.28,1.263,1058,268.0,1.339,1.349,1.331
19,2020-03-15,Switzerland,2200.0,841.0,1.619,1.3619999999999999,1.314,1400,342.0,1.323,1.338,1.339
20,2020-03-16,Switzerland,2450.0,250.0,1.114,1.3090000000000002,1.298,1827,427.0,1.305,1.322,1.338
21,2020-03-17,Switzerland,2700.0,250.0,1.102,1.278,1.286,2345,518.0,1.284,1.304,1.331
22,2020-03-18,Switzerland,3028.0,328.0,1.121,1.112,1.256,2961,616.0,1.263,1.284,1.317
23,2020-03-19,Switzerland,4075.0,1047.0,1.3459999999999999,1.19,1.253,3675,714.0,1.241,1.263,1.301
24,2020-03-20,Switzerland,5294.0,1219.0,1.2990000000000002,1.255,1.256,4486,811.0,1.221,1.242,1.282
25,2020-03-21,Switzerland,6575.0,1281.0,1.242,1.296,1.263,5385,899.0,1.2,1.221,1.262
26,2020-03-22,Switzerland,7685.0,1110.0,1.169,1.237,1.199,6362,977.0,1.181,1.201,1.242
27,2020-03-23,Switzerland,8795.0,1110.0,1.1440000000000001,1.185,1.203,7404,1042.0,1.164,1.182,1.222
28,2020-03-24,Switzerland,9877.0,1082.0,1.123,1.145,1.206,8492,1088.0,1.147,1.164,1.202
29,2020-03-25,Switzerland,10844.0,967.0,1.0979999999999999,1.122,1.203,9611,1119.0,1.132,1.148,1.184
30,2020-03-26,Switzerland,11912.0,1068.0,1.0979999999999999,1.1059999999999999,1.168,10741,1130.0,1.118,1.132,1.166
31,2020-03-27,Switzerland,12943.0,1031.0,1.087,1.094,1.137,11867,1126.0,1.105,1.118,1.15
32,2020-03-28,Switzerland,13878.0,935.0,1.072,1.0859999999999999,1.113,12972,1105.0,1.093,1.105,1.134
33,2020-03-29,Switzerland,14999.0,1121.0,1.081,1.08,1.1,14044,1072.0,1.083,1.094,1.12
34,2020-03-30,Switzerland,15717.0,718.0,1.048,1.067,1.087,15071,1027.0,1.073,1.083,1.107
35,2020-03-31,Switzerland,16845.0,1128.0,1.072,1.067,1.079,16045,974.0,1.065,1.074,1.096
36,2020-04-01,Switzerland,17716.0,871.0,1.052,1.057,1.073,16960,915.0,1.057,1.065,1.085
37,2020-04-02,Switzerland,18687.0,971.0,1.055,1.06,1.067,17813,853.0,1.05,1.057,1.075
38,2020-04-03,Switzerland,19606.0,919.0,1.0490000000000002,1.052,1.061,18602,789.0,1.044,1.05,1.066
39,2020-04-04,Switzerland,,,,,,19327,725.0,1.039,1.044,1.059
40,2020-04-05,Switzerland,,,,,,19988,661.0,1.034,1.039,1.052
41,2020-04-06,Switzerland,,,,,,20589,601.0,1.03,1.034,1.046
42,2020-04-07,Switzerland,,,,,,21132,543.0,1.026,1.03,1.04
43,2020-04-08,Switzerland,,,,,,21621,489.0,1.023,1.026,1.035
44,2020-04-09,Switzerland,,,,,,22060,439.0,1.02,1.023,1.031
45,2020-04-10,Switzerland,,,,,,22452,392.0,1.018,1.02,1.027
46,2020-04-11,Switzerland,,,,,,22801,349.0,1.016,1.018,1.024
47,2020-04-12,Switzerland,,,,,,23111,310.0,1.014,1.016,1.021
48,2020-04-13,Switzerland,,,,,,23387,276.0,1.012,1.014,1.018
49,2020-04-14,Switzerland,,,,,,23631,244.0,1.01,1.012,1.016
50,2020-04-15,Switzerland,,,,,,23847,216.0,1.009,1.01,1.014
51,2020-04-16,Switzerland,,,,,,24037,190.0,1.008,1.009,1.012
52,2020-04-17,Switzerland,,,,,,24204,167.0,1.007,1.008,1.011
53,2020-04-18,Switzerland,,,,,,24352,148.0,1.006,1.007,1.009
54,2020-04-19,Switzerland,,,,,,24482,130.0,1.005,1.006,1.008
55,2020-04-20,Switzerland,,,,,,24596,114.0,1.005,1.005,1.007
56,2020-04-21,Switzerland,,,,,,24696,100.0,1.004,1.005,1.006
57,2020-04-22,Switzerland,,,,,,24784,88.0,1.004,1.004,1.006
58,2020-04-23,Switzerland,,,,,,24861,77.0,1.003,1.004,1.005
59,2020-04-24,Switzerland,,,,,,24929,68.0,1.003,1.003,1.004
60,2020-04-25,Switzerland,,,,,,24988,59.0,1.002,1.003,1.004
61,2020-04-26,Switzerland,,,,,,25040,52.0,1.002,1.002,1.003
62,2020-04-27,Switzerland,,,,,,25085,45.0,1.002,1.002,1.003
63,2020-04-28,Switzerland,,,,,,25125,40.0,1.002,1.002,1.003
64,2020-04-29,Switzerland,,,,,,25159,34.0,1.001,1.002,1.002
65,2020-04-30,Switzerland,,,,,,25190,31.0,1.001,1.001,1.002
66,2020-05-01,Switzerland,,,,,,25216,26.0,1.001,1.001,1.002
67,2020-05-02,Switzerland,,,,,,25239,23.0,1.001,1.001,1.001
68,2020-05-03,Switzerland,,,,,,25260,21.0,1.001,1.001,1.001
69,2020-05-04,Switzerland,,,,,,25277,17.0,1.001,1.001,1.001
70,2020-05-05,Switzerland,,,,,,25293,16.0,1.001,1.001,1.001
71,2020-05-06,Switzerland,,,,,,25306,13.0,1.001,1.001,1.001
72,2020-05-07,Switzerland,,,,,,25318,12.0,1.0,1.001,1.001
73,2020-05-08,Switzerland,,,,,,25329,11.0,1.0,1.0,1.001
74,2020-05-09,Switzerland,,,,,,25338,9.0,1.0,1.0,1.001
