,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-03-11,Turkey,1.0,1.0,,0.0,1.0,0,,,1.0,
1,2020-03-12,Turkey,3.0,2.0,,3.0,1.185,0,0.0,,0.0,
2,2020-03-13,Turkey,5.0,2.0,,1.6669999999999998,1.271,0,0.0,,0.0,
3,2020-03-14,Turkey,5.0,0.0,,1.0,1.265,0,0.0,,0.0,
4,2020-03-15,Turkey,6.0,1.0,,1.2,1.284,0,0.0,,0.0,
5,2020-03-16,Turkey,18.0,12.0,,3.0,1.5619999999999998,0,0.0,,0.0,
6,2020-03-17,Turkey,47.0,29.0,7.0,2.611,1.7830000000000001,0,0.0,,0.0,1.0
7,2020-03-18,Turkey,98.0,51.0,14.0,2.085,2.08,0,0.0,14.0,0.0,1.0
8,2020-03-19,Turkey,192.0,94.0,27.0,1.959,1.932,0,0.0,27.0,0.0,1.0
9,2020-03-20,Turkey,359.0,167.0,51.0,1.87,1.9609999999999999,0,0.0,51.0,0.0,1.0
10,2020-03-21,Turkey,670.0,311.0,95.0,1.8659999999999999,2.084,0,0.0,95.0,0.0,1.0
11,2020-03-22,Turkey,1236.0,566.0,176.0,1.845,2.177,236,236.0,176.0,0.0,1.0
12,2020-03-23,Turkey,1529.0,293.0,216.0,1.237,1.925,643,407.0,216.0,2.725,1.0
13,2020-03-24,Turkey,1872.0,343.0,261.0,1.224,1.7269999999999999,1204,561.0,261.0,1.872,1.0
14,2020-03-25,Turkey,2433.0,561.0,334.0,1.3,1.614,1954,750.0,334.0,1.623,1.0
15,2020-03-26,Turkey,3629.0,1196.0,491.0,1.492,1.548,2926,972.0,491.0,1.497,1.102
16,2020-03-27,Turkey,5698.0,2069.0,763.0,1.57,1.505,4153,1227.0,763.0,1.419,1.305
17,2020-03-28,Turkey,7402.0,1704.0,962.0,1.2990000000000002,1.4240000000000002,5657,1504.0,962.0,1.362,1.5
18,2020-03-29,Turkey,9217.0,1815.0,1140.0,1.245,1.338,7450,1793.0,1140.0,1.317,1.688
19,2020-03-30,Turkey,10827.0,1610.0,1328.0,1.175,1.329,9534,2084.0,1328.0,1.28,1.481
20,2020-03-31,Turkey,13531.0,2704.0,1666.0,1.25,1.3330000000000002,11894,2360.0,1666.0,1.248,1.392
21,2020-04-01,Turkey,15679.0,2148.0,1892.0,1.159,1.3130000000000002,14505,2611.0,1892.0,1.22,1.335
22,2020-04-02,Turkey,18135.0,2456.0,2072.0,1.157,1.265,17329,2824.0,2072.0,1.195,1.292
23,2020-04-03,Turkey,20921.0,2786.0,2175.0,1.1540000000000001,1.206,20319,2990.0,2175.0,1.173,1.256
24,2020-04-04,Turkey,23934.0,3013.0,2362.0,1.1440000000000001,1.183,23426,3107.0,2362.0,1.153,1.227
25,2020-04-05,Turkey,27069.0,3135.0,2550.0,1.131,1.167,26595,3169.0,2550.0,1.135,1.201
26,2020-04-06,Turkey,30217.0,3148.0,2770.0,1.1159999999999999,1.159,29776,3181.0,2770.0,1.12,1.178
27,2020-04-07,Turkey,,,,,,32921,3145.0,2770.0,1.106,1.157
28,2020-04-08,Turkey,,,,,,35988,3067.0,2901.0,1.093,1.139
29,2020-04-09,Turkey,,,,,,38943,2955.0,2973.0,1.082,1.123
30,2020-04-10,Turkey,,,,,,41758,2815.0,2977.0,1.072,1.109
31,2020-04-11,Turkey,,,,,,44414,2656.0,2926.0,1.064,1.096
32,2020-04-12,Turkey,,,,,,46897,2483.0,2833.0,1.056,1.085
33,2020-04-13,Turkey,,,,,,49199,2302.0,2712.0,1.049,1.075
34,2020-04-14,Turkey,,,,,,51320,2121.0,2628.0,1.043,1.066
35,2020-04-15,Turkey,,,,,,53261,1941.0,2468.0,1.038,1.058
36,2020-04-16,Turkey,,,,,,55028,1767.0,2298.0,1.033,1.051
37,2020-04-17,Turkey,,,,,,56628,1600.0,2124.0,1.029,1.045
38,2020-04-18,Turkey,,,,,,58070,1442.0,1951.0,1.025,1.039
39,2020-04-19,Turkey,,,,,,59366,1296.0,1781.0,1.022,1.034
40,2020-04-20,Turkey,,,,,,60525,1159.0,1618.0,1.02,1.03
41,2020-04-21,Turkey,,,,,,61561,1036.0,1463.0,1.017,1.026
42,2020-04-22,Turkey,,,,,,62482,921.0,1317.0,1.015,1.023
43,2020-04-23,Turkey,,,,,,63300,818.0,1182.0,1.013,1.02
44,2020-04-24,Turkey,,,,,,64025,725.0,1057.0,1.011,1.018
45,2020-04-25,Turkey,,,,,,64667,642.0,942.0,1.01,1.015
46,2020-04-26,Turkey,,,,,,65234,567.0,838.0,1.009,1.014
47,2020-04-27,Turkey,,,,,,65734,500.0,744.0,1.008,1.012
48,2020-04-28,Turkey,,,,,,66174,440.0,659.0,1.007,1.01
49,2020-04-29,Turkey,,,,,,66562,388.0,583.0,1.006,1.009
50,2020-04-30,Turkey,,,,,,66903,341.0,515.0,1.005,1.008
51,2020-05-01,Turkey,,,,,,67203,300.0,454.0,1.004,1.007
52,2020-05-02,Turkey,,,,,,67466,263.0,400.0,1.004,1.006
53,2020-05-03,Turkey,,,,,,67697,231.0,352.0,1.003,1.005
54,2020-05-04,Turkey,,,,,,67899,202.0,309.0,1.003,1.005
55,2020-05-05,Turkey,,,,,,68076,177.0,272.0,1.003,1.004
56,2020-05-06,Turkey,,,,,,68232,156.0,239.0,1.002,1.003
57,2020-05-07,Turkey,,,,,,68368,136.0,209.0,1.002,1.003
58,2020-05-08,Turkey,,,,,,68487,119.0,183.0,1.002,1.003
59,2020-05-09,Turkey,,,,,,68592,105.0,161.0,1.002,1.002
60,2020-05-10,Turkey,,,,,,68683,91.0,141.0,1.001,1.002
61,2020-05-11,Turkey,,,,,,68763,80.0,123.0,1.001,1.002
62,2020-05-12,Turkey,,,,,,68833,70.0,108.0,1.001,1.002
63,2020-05-13,Turkey,,,,,,68894,61.0,95.0,1.001,1.001
64,2020-05-14,Turkey,,,,,,68948,54.0,83.0,1.001,1.001
65,2020-05-15,Turkey,,,,,,68994,46.0,72.0,1.001,1.001
66,2020-05-16,Turkey,,,,,,69035,41.0,63.0,1.001,1.001
67,2020-05-17,Turkey,,,,,,69071,36.0,55.0,1.001,1.001
68,2020-05-18,Turkey,,,,,,69102,31.0,48.0,1.0,1.001
69,2020-05-19,Turkey,,,,,,69130,28.0,42.0,1.0,1.001
70,2020-05-20,Turkey,,,,,,69154,24.0,37.0,1.0,1.001
71,2020-05-21,Turkey,,,,,,69174,20.0,32.0,1.0,1.0
72,2020-05-22,Turkey,,,,,,69193,19.0,28.0,1.0,1.0
73,2020-05-23,Turkey,,,,,,69209,16.0,25.0,1.0,1.0
74,2020-05-24,Turkey,,,,,,69223,14.0,22.0,1.0,1.0
75,2020-05-25,Turkey,,,,,,69235,12.0,19.0,1.0,1.0
76,2020-05-26,Turkey,,,,,,69245,10.0,16.0,1.0,1.0
77,2020-05-27,Turkey,,,,,,69255,10.0,14.0,1.0,1.0
78,2020-05-28,Turkey,,,,,,69263,8.0,13.0,1.0,1.0
79,2020-05-29,Turkey,,,,,,69270,7.0,11.0,1.0,1.0
80,2020-05-30,Turkey,,,,,,69276,6.0,10.0,1.0,1.0
81,2020-05-31,Turkey,,,,,,69282,6.0,8.0,1.0,1.0
82,2020-06-01,Turkey,,,,,,69286,4.0,7.0,1.0,1.0
83,2020-06-02,Turkey,,,,,,69290,4.0,6.0,1.0,1.0
84,2020-06-03,Turkey,,,,,,69294,4.0,6.0,1.0,1.0
85,2020-06-04,Turkey,,,,,,69297,3.0,5.0,1.0,1.0
86,2020-06-05,Turkey,,,,,,69300,3.0,4.0,1.0,1.0
87,2020-06-06,Turkey,,,,,,69302,2.0,4.0,1.0,1.0
88,2020-06-07,Turkey,,,,,,69305,3.0,3.0,1.0,1.0
89,2020-06-08,Turkey,,,,,,69306,1.0,3.0,1.0,1.0
90,2020-06-09,Turkey,,,,,,69308,2.0,3.0,1.0,1.0
91,2020-06-10,Turkey,,,,,,69309,1.0,2.0,1.0,1.0
