,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-31,United Kingdom,2.0,2.0,,0.0,1.0,20,,,1.0,
1,2020-02-01,United Kingdom,2.0,0.0,,1.0,1.0,20,0.0,,1.0,
2,2020-02-02,United Kingdom,2.0,0.0,,1.0,1.0,20,0.0,,1.0,
3,2020-02-03,United Kingdom,2.0,0.0,,1.0,1.0,20,0.0,,1.0,
4,2020-02-04,United Kingdom,2.0,0.0,,1.0,1.0,20,0.0,,1.0,
5,2020-02-05,United Kingdom,2.0,0.0,,1.0,1.0,20,0.0,,1.0,
6,2020-02-06,United Kingdom,2.0,0.0,0.0,1.0,1.0,20,0.0,,1.0,1.0
7,2020-02-07,United Kingdom,3.0,1.0,0.0,1.5,1.071,20,0.0,0.0,1.0,1.0
8,2020-02-08,United Kingdom,3.0,0.0,0.0,1.0,1.071,20,0.0,0.0,1.0,1.0
9,2020-02-09,United Kingdom,5.0,2.0,0.0,1.6669999999999998,1.167,20,0.0,0.0,1.0,1.0
10,2020-02-10,United Kingdom,8.0,3.0,1.0,1.6,1.252,20,0.0,1.0,1.0,1.0
11,2020-02-11,United Kingdom,8.0,0.0,1.0,1.0,1.252,20,0.0,1.0,1.0,1.0
12,2020-02-12,United Kingdom,9.0,1.0,1.0,1.125,1.27,21,1.0,1.0,1.05,1.007
13,2020-02-13,United Kingdom,9.0,0.0,1.0,1.0,1.27,21,0.0,1.0,1.0,1.007
14,2020-02-14,United Kingdom,9.0,0.0,1.0,1.0,1.199,21,0.0,1.0,1.0,1.007
15,2020-02-15,United Kingdom,9.0,0.0,1.0,1.0,1.199,21,0.0,1.0,1.0,1.007
16,2020-02-16,United Kingdom,9.0,0.0,1.0,1.0,1.104,21,0.0,1.0,1.0,1.007
17,2020-02-17,United Kingdom,9.0,0.0,0.0,1.0,1.018,21,0.0,0.0,1.0,1.007
18,2020-02-18,United Kingdom,9.0,0.0,0.0,1.0,1.018,21,0.0,0.0,1.0,1.007
19,2020-02-19,United Kingdom,9.0,0.0,0.0,1.0,1.0,22,1.0,0.0,1.048,1.007
20,2020-02-20,United Kingdom,9.0,0.0,0.0,1.0,1.0,22,0.0,0.0,1.0,1.007
21,2020-02-21,United Kingdom,9.0,0.0,0.0,1.0,1.0,23,1.0,0.0,1.045,1.013
22,2020-02-22,United Kingdom,9.0,0.0,0.0,1.0,1.0,23,0.0,0.0,1.0,1.013
23,2020-02-23,United Kingdom,11.0,2.0,0.0,1.222,1.032,24,1.0,0.0,1.043,1.019
24,2020-02-24,United Kingdom,13.0,2.0,1.0,1.182,1.058,26,2.0,1.0,1.083,1.031
25,2020-02-25,United Kingdom,13.0,0.0,1.0,1.0,1.058,28,2.0,1.0,1.077,1.042
26,2020-02-26,United Kingdom,14.0,1.0,1.0,1.077,1.069,30,2.0,1.0,1.071,1.046
27,2020-02-27,United Kingdom,15.0,1.0,1.0,1.071,1.079,34,4.0,1.0,1.133,1.065
28,2020-02-28,United Kingdom,20.0,5.0,2.0,1.3330000000000002,1.126,38,4.0,2.0,1.118,1.075
29,2020-02-29,United Kingdom,23.0,3.0,2.0,1.15,1.148,45,7.0,2.0,1.184,1.101
30,2020-03-01,United Kingdom,36.0,13.0,4.0,1.565,1.197,53,8.0,4.0,1.178,1.121
31,2020-03-02,United Kingdom,40.0,4.0,4.0,1.111,1.187,64,11.0,4.0,1.208,1.138
32,2020-03-03,United Kingdom,51.0,11.0,5.0,1.275,1.226,78,14.0,5.0,1.219,1.159
33,2020-03-04,United Kingdom,85.0,34.0,10.0,1.6669999999999998,1.31,97,19.0,10.0,1.244,1.183
34,2020-03-05,United Kingdom,115.0,30.0,14.0,1.3530000000000002,1.351,122,25.0,14.0,1.258,1.201
35,2020-03-06,United Kingdom,163.0,48.0,20.0,1.4169999999999998,1.3630000000000002,154,32.0,20.0,1.262,1.222
36,2020-03-07,United Kingdom,206.0,43.0,26.0,1.264,1.379,197,43.0,26.0,1.279,1.235
37,2020-03-08,United Kingdom,273.0,67.0,34.0,1.325,1.345,252,55.0,34.0,1.279,1.25
38,2020-03-09,United Kingdom,321.0,48.0,40.0,1.176,1.354,323,71.0,40.0,1.282,1.26
39,2020-03-10,United Kingdom,382.0,61.0,47.0,1.19,1.3419999999999999,415,92.0,47.0,1.285,1.27
40,2020-03-11,United Kingdom,456.0,74.0,53.0,1.194,1.274,532,117.0,53.0,1.282,1.275
41,2020-03-12,United Kingdom,627.0,171.0,73.0,1.375,1.2770000000000001,681,149.0,73.0,1.28,1.278
42,2020-03-13,United Kingdom,798.0,171.0,91.0,1.273,1.2570000000000001,869,188.0,91.0,1.276,1.28
43,2020-03-14,United Kingdom,1140.0,342.0,133.0,1.429,1.28,1106,237.0,133.0,1.273,1.28
44,2020-03-15,United Kingdom,1341.0,201.0,153.0,1.176,1.2590000000000001,1402,296.0,153.0,1.268,1.278
45,2020-03-16,United Kingdom,1543.0,202.0,175.0,1.151,1.255,1769,367.0,175.0,1.262,1.275
46,2020-03-17,United Kingdom,1950.0,407.0,224.0,1.264,1.266,2221,452.0,224.0,1.256,1.271
47,2020-03-18,United Kingdom,2627.0,677.0,310.0,1.347,1.288,2774,553.0,310.0,1.249,1.266
48,2020-03-19,United Kingdom,3307.0,680.0,383.0,1.2590000000000001,1.271,3445,671.0,383.0,1.242,1.261
49,2020-03-20,United Kingdom,3987.0,680.0,456.0,1.206,1.262,4253,808.0,456.0,1.235,1.255
50,2020-03-21,United Kingdom,5024.0,1037.0,555.0,1.26,1.238,5219,966.0,555.0,1.227,1.248
51,2020-03-22,United Kingdom,5693.0,669.0,622.0,1.133,1.2309999999999999,6362,1143.0,622.0,1.219,1.241
52,2020-03-23,United Kingdom,6670.0,977.0,732.0,1.172,1.234,7705,1343.0,732.0,1.211,1.234
53,2020-03-24,United Kingdom,8107.0,1437.0,880.0,1.215,1.227,9269,1564.0,880.0,1.203,1.227
54,2020-03-25,United Kingdom,9563.0,1456.0,991.0,1.18,1.204,11073,1804.0,991.0,1.195,1.219
55,2020-03-26,United Kingdom,11704.0,2141.0,1200.0,1.224,1.199,13137,2064.0,1200.0,1.186,1.211
56,2020-03-27,United Kingdom,14594.0,2890.0,1515.0,1.247,1.204,15476,2339.0,1515.0,1.178,1.203
57,2020-03-28,United Kingdom,17156.0,2562.0,1733.0,1.176,1.192,18104,2628.0,1733.0,1.17,1.195
58,2020-03-29,United Kingdom,19599.0,2443.0,1987.0,1.1420000000000001,1.194,21028,2924.0,1987.0,1.162,1.186
59,2020-03-30,United Kingdom,22231.0,2632.0,2223.0,1.1340000000000001,1.188,24254,3226.0,2223.0,1.153,1.178
60,2020-03-31,United Kingdom,25257.0,3026.0,2450.0,1.136,1.177,27780,3526.0,2450.0,1.145,1.17
61,2020-04-01,United Kingdom,29591.0,4334.0,2861.0,1.172,1.176,31601,3821.0,2861.0,1.138,1.162
62,2020-04-02,United Kingdom,33862.0,4271.0,3165.0,1.1440000000000001,1.1640000000000001,35705,4104.0,3165.0,1.13,1.154
63,2020-04-03,United Kingdom,38334.0,4472.0,3391.0,1.1320000000000001,1.148,40075,4370.0,3391.0,1.122,1.146
64,2020-04-04,United Kingdom,43161.0,4827.0,3715.0,1.126,1.141,44689,4614.0,3715.0,1.115,1.138
65,2020-04-05,United Kingdom,47995.0,4834.0,4057.0,1.112,1.137,49522,4833.0,4057.0,1.108,1.13
66,2020-04-06,United Kingdom,51723.0,3728.0,4213.0,1.078,1.129,54544,5022.0,4213.0,1.101,1.123
67,2020-04-07,United Kingdom,56382.0,4661.0,4447.0,1.09,1.122,59723,5179.0,4446.0,1.095,1.116
68,2020-04-08,United Kingdom,60400.0,4018.0,4402.0,1.071,1.1079999999999999,65024,5301.0,4401.0,1.089,1.109
69,2020-04-09,United Kingdom,67511.0,7111.0,4807.0,1.1179999999999999,1.104,70411,5387.0,4807.0,1.083,1.102
70,2020-04-10,United Kingdom,74042.0,6531.0,5101.0,1.097,1.099,75849,5438.0,5101.0,1.077,1.095
71,2020-04-11,United Kingdom,79324.0,5282.0,5166.0,1.071,1.091,81303,5454.0,5166.0,1.072,1.089
72,2020-04-12,United Kingdom,84127.0,4803.0,5162.0,1.061,1.084,86739,5436.0,5162.0,1.067,1.083
73,2020-04-13,United Kingdom,89409.0,5282.0,5384.0,1.063,1.082,92125,5386.0,5384.0,1.062,1.078
74,2020-04-14,United Kingdom,94222.0,4813.0,5406.0,1.054,1.0759999999999998,97432,5307.0,5406.0,1.058,1.073
75,2020-04-15,United Kingdom,,,,,,102635,5203.0,6034.0,1.053,1.067
76,2020-04-16,United Kingdom,,,,,,107708,5073.0,5742.0,1.049,1.063
77,2020-04-17,United Kingdom,,,,,,112634,4926.0,5513.0,1.046,1.058
78,2020-04-18,United Kingdom,,,,,,117395,4761.0,5439.0,1.042,1.054
79,2020-04-19,United Kingdom,,,,,,121978,4583.0,5407.0,1.039,1.05
80,2020-04-20,United Kingdom,,,,,,126372,4394.0,5280.0,1.036,1.046
81,2020-04-21,United Kingdom,,,,,,130571,4199.0,5193.0,1.033,1.043
82,2020-04-22,United Kingdom,,,,,,134569,3998.0,4562.0,1.031,1.039
83,2020-04-23,United Kingdom,,,,,,138365,3796.0,4380.0,1.028,1.036
84,2020-04-24,United Kingdom,,,,,,141957,3592.0,4189.0,1.026,1.034
85,2020-04-25,United Kingdom,,,,,,145349,3392.0,3993.0,1.024,1.031
86,2020-04-26,United Kingdom,,,,,,148543,3194.0,3795.0,1.022,1.029
87,2020-04-27,United Kingdom,,,,,,151543,3000.0,3596.0,1.02,1.026
88,2020-04-28,United Kingdom,,,,,,154356,2813.0,3398.0,1.019,1.024
89,2020-04-29,United Kingdom,,,,,,156988,2632.0,3203.0,1.017,1.022
90,2020-04-30,United Kingdom,,,,,,159447,2459.0,3012.0,1.016,1.021
91,2020-05-01,United Kingdom,,,,,,161738,2291.0,2826.0,1.014,1.019
92,2020-05-02,United Kingdom,,,,,,163872,2134.0,2646.0,1.013,1.017
93,2020-05-03,United Kingdom,,,,,,165855,1983.0,2473.0,1.012,1.016
94,2020-05-04,United Kingdom,,,,,,167696,1841.0,2308.0,1.011,1.015
95,2020-05-05,United Kingdom,,,,,,169403,1707.0,2150.0,1.01,1.013
96,2020-05-06,United Kingdom,,,,,,170985,1582.0,2000.0,1.009,1.012
97,2020-05-07,United Kingdom,,,,,,172447,1462.0,1857.0,1.009,1.011
98,2020-05-08,United Kingdom,,,,,,173800,1353.0,1723.0,1.008,1.01
99,2020-05-09,United Kingdom,,,,,,175049,1249.0,1597.0,1.007,1.009
100,2020-05-10,United Kingdom,,,,,,176201,1152.0,1478.0,1.007,1.009
101,2020-05-11,United Kingdom,,,,,,177264,1063.0,1367.0,1.006,1.008
102,2020-05-12,United Kingdom,,,,,,178243,979.0,1263.0,1.006,1.007
103,2020-05-13,United Kingdom,,,,,,179145,902.0,1166.0,1.005,1.007
104,2020-05-14,United Kingdom,,,,,,179975,830.0,1075.0,1.005,1.006
105,2020-05-15,United Kingdom,,,,,,180739,764.0,991.0,1.004,1.006
106,2020-05-16,United Kingdom,,,,,,181441,702.0,913.0,1.004,1.005
107,2020-05-17,United Kingdom,,,,,,182087,646.0,841.0,1.004,1.005
108,2020-05-18,United Kingdom,,,,,,182680,593.0,774.0,1.003,1.004
109,2020-05-19,United Kingdom,,,,,,183224,544.0,712.0,1.003,1.004
110,2020-05-20,United Kingdom,,,,,,183724,500.0,654.0,1.003,1.004
111,2020-05-21,United Kingdom,,,,,,184183,459.0,601.0,1.002,1.003
112,2020-05-22,United Kingdom,,,,,,184604,421.0,552.0,1.002,1.003
113,2020-05-23,United Kingdom,,,,,,184990,386.0,507.0,1.002,1.003
114,2020-05-24,United Kingdom,,,,,,185345,355.0,465.0,1.002,1.002
115,2020-05-25,United Kingdom,,,,,,185669,324.0,427.0,1.002,1.002
116,2020-05-26,United Kingdom,,,,,,185967,298.0,392.0,1.002,1.002
117,2020-05-27,United Kingdom,,,,,,186240,273.0,359.0,1.001,1.002
118,2020-05-28,United Kingdom,,,,,,186490,250.0,330.0,1.001,1.002
119,2020-05-29,United Kingdom,,,,,,186719,229.0,302.0,1.001,1.002
120,2020-05-30,United Kingdom,,,,,,186929,210.0,277.0,1.001,1.001
121,2020-05-31,United Kingdom,,,,,,187122,193.0,254.0,1.001,1.001
122,2020-06-01,United Kingdom,,,,,,187298,176.0,233.0,1.001,1.001
123,2020-06-02,United Kingdom,,,,,,187459,161.0,213.0,1.001,1.001
124,2020-06-03,United Kingdom,,,,,,187607,148.0,195.0,1.001,1.001
125,2020-06-04,United Kingdom,,,,,,187742,135.0,179.0,1.001,1.001
126,2020-06-05,United Kingdom,,,,,,187866,124.0,164.0,1.001,1.001
127,2020-06-06,United Kingdom,,,,,,187979,113.0,150.0,1.001,1.001
128,2020-06-07,United Kingdom,,,,,,188083,104.0,137.0,1.001,1.001
129,2020-06-08,United Kingdom,,,,,,188178,95.0,126.0,1.001,1.001
130,2020-06-09,United Kingdom,,,,,,188265,87.0,115.0,1.0,1.001
131,2020-06-10,United Kingdom,,,,,,188344,79.0,105.0,1.0,1.001
132,2020-06-11,United Kingdom,,,,,,188417,73.0,96.0,1.0,1.001
133,2020-06-12,United Kingdom,,,,,,188484,67.0,88.0,1.0,1.0
134,2020-06-13,United Kingdom,,,,,,188545,61.0,81.0,1.0,1.0
135,2020-06-14,United Kingdom,,,,,,188601,56.0,74.0,1.0,1.0
136,2020-06-15,United Kingdom,,,,,,188652,51.0,68.0,1.0,1.0
137,2020-06-16,United Kingdom,,,,,,188698,46.0,62.0,1.0,1.0
138,2020-06-17,United Kingdom,,,,,,188741,43.0,57.0,1.0,1.0
139,2020-06-18,United Kingdom,,,,,,188780,39.0,52.0,1.0,1.0
140,2020-06-19,United Kingdom,,,,,,188816,36.0,47.0,1.0,1.0
141,2020-06-20,United Kingdom,,,,,,188849,33.0,43.0,1.0,1.0
142,2020-06-21,United Kingdom,,,,,,188879,30.0,40.0,1.0,1.0
143,2020-06-22,United Kingdom,,,,,,188906,27.0,36.0,1.0,1.0
144,2020-06-23,United Kingdom,,,,,,188931,25.0,33.0,1.0,1.0
145,2020-06-24,United Kingdom,,,,,,188954,23.0,30.0,1.0,1.0
