,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,,Recount,Spain,,,,,,,,
0,45001,Abbeville,South Carolina,US,23/05/2020 02:32,34.22333378,-82.46170658,36,0,0,36,"Abbeville, South Carolina, US"
1,22001,Acadia,Louisiana,US,23/05/2020 02:32,30.2950649,-92.41419698,289,15,0,274,"Acadia, Louisiana, US"
2,51001,Accomack,Virginia,US,23/05/2020 02:32,37.76707161,-75.63234615,711,11,0,700,"Accomack, Virginia, US"
3,16001,Ada,Idaho,US,23/05/2020 02:32,43.4526575,-116.2415516,794,23,0,771,"Ada, Idaho, US"
4,19001,Adair,Iowa,US,23/05/2020 02:32,41.33075609,-94.47105874,6,0,0,6,"Adair, Iowa, US"
5,21001,Adair,Kentucky,US,23/05/2020 02:32,37.10459774,-85.28129668,96,18,0,78,"Adair, Kentucky, US"
6,29001,Adair,Missouri,US,23/05/2020 02:32,40.19058551,-92.60078167,38,0,0,38,"Adair, Missouri, US"
7,40001,Adair,Oklahoma,US,23/05/2020 02:32,35.88494195,-94.65859267,79,3,0,76,"Adair, Oklahoma, US"
8,8001,Adams,Colorado,US,23/05/2020 02:32,39.87432092,-104.3362578,2802,111,0,2691,"Adams, Colorado, US"
9,16003,Adams,Idaho,US,23/05/2020 02:32,44.89333571,-116.4545247,3,0,0,3,"Adams, Idaho, US"
10,17001,Adams,Illinois,US,23/05/2020 02:32,39.98815591,-91.18786813,44,1,0,43,"Adams, Illinois, US"
11,18001,Adams,Indiana,US,23/05/2020 02:32,40.7457653,-84.93671406,11,1,0,10,"Adams, Indiana, US"
12,19003,Adams,Iowa,US,23/05/2020 02:32,41.02903567,-94.69932645,4,0,0,4,"Adams, Iowa, US"
13,28001,Adams,Mississippi,US,23/05/2020 02:32,31.47669768,-91.35326037,180,15,0,165,"Adams, Mississippi, US"
14,31001,Adams,Nebraska,US,23/05/2020 02:32,40.5244942,-98.50117804,258,11,0,247,"Adams, Nebraska, US"
15,39001,Adams,Ohio,US,23/05/2020 02:32,38.84541072,-83.4718964,8,1,0,7,"Adams, Ohio, US"
16,42001,Adams,Pennsylvania,US,23/05/2020 02:32,39.87140411,-77.21610347,214,5,0,209,"Adams, Pennsylvania, US"
17,53001,Adams,Washington,US,23/05/2020 02:32,46.98299757,-118.5601734,50,0,0,50,"Adams, Washington, US"
18,55001,Adams,Wisconsin,US,23/05/2020 02:32,43.96974651,-89.76782777,4,1,0,3,"Adams, Wisconsin, US"
19,50001,Addison,Vermont,US,23/05/2020 02:32,44.03217337,-73.14130877,62,2,0,60,"Addison, Vermont, US"
20,45003,Aiken,South Carolina,US,23/05/2020 02:32,33.54338026,-81.63645384,166,7,0,159,"Aiken, South Carolina, US"
21,27001,Aitkin,Minnesota,US,23/05/2020 02:32,46.60962049,-93.4116826,4,0,0,4,"Aitkin, Minnesota, US"
22,12001,Alachua,Florida,US,23/05/2020 02:32,29.67866525,-82.35928158,354,7,0,347,"Alachua, Florida, US"
23,37001,Alamance,North Carolina,US,23/05/2020 02:32,36.0434701,-79.39976137,268,20,0,248,"Alamance, North Carolina, US"
24,6001,Alameda,California,US,23/05/2020 02:32,37.64629437,-121.8929271,2708,90,0,2618,"Alameda, California, US"
25,8003,Alamosa,Colorado,US,23/05/2020 02:32,37.57250606,-105.7885451,51,2,0,49,"Alamosa, Colorado, US"
26,36001,Albany,New York,US,23/05/2020 02:32,42.60060306,-73.97723916,1756,69,0,1687,"Albany, New York, US"
27,56001,Albany,Wyoming,US,23/05/2020 02:32,41.65498705,-105.7235415,10,0,0,10,"Albany, Wyoming, US"
28,51003,Albemarle,Virginia,US,23/05/2020 02:32,38.02080697,-78.55481085,142,4,0,138,"Albemarle, Virginia, US"
29,26001,Alcona,Michigan,US,23/05/2020 02:32,44.6846864,-83.59507875,9,1,0,8,"Alcona, Michigan, US"
30,28003,Alcorn,Mississippi,US,23/05/2020 02:32,34.88084463,-88.57996173,15,1,0,14,"Alcorn, Mississippi, US"
31,17003,Alexander,Illinois,US,23/05/2020 02:32,37.18049267,-89.32910838,8,0,0,8,"Alexander, Illinois, US"
32,37003,Alexander,North Carolina,US,23/05/2020 02:32,35.9223796,-81.17751948,23,0,0,23,"Alexander, North Carolina, US"
33,51510,Alexandria,Virginia,US,23/05/2020 02:32,38.814003,-77.08183073,1657,37,0,1620,"Alexandria, Virginia, US"
34,40003,Alfalfa,Oklahoma,US,23/05/2020 02:32,36.73090616,-98.32408495,1,0,0,1,"Alfalfa, Oklahoma, US"
35,19005,Allamakee,Iowa,US,23/05/2020 02:32,43.28383218,-91.37860922,118,4,0,114,"Allamakee, Iowa, US"
36,26005,Allegan,Michigan,US,23/05/2020 02:32,42.59147037,-85.89102866,197,6,0,191,"Allegan, Michigan, US"
37,24001,Allegany,Maryland,US,23/05/2020 02:32,39.62357628,-78.69280486,168,14,0,154,"Allegany, Maryland, US"
38,36003,Allegany,New York,US,23/05/2020 02:32,42.25748406,-78.02750466,44,0,0,44,"Allegany, New York, US"
39,37005,Alleghany,North Carolina,US,23/05/2020 02:32,36.49360862,-81.12857041,13,0,0,13,"Alleghany, North Carolina, US"
40,51005,Alleghany,Virginia,US,23/05/2020 02:32,37.78636074,-80.00222498,10,2,0,8,"Alleghany, Virginia, US"
41,42003,Allegheny,Pennsylvania,US,23/05/2020 02:32,40.46809875,-79.98167747,1739,154,0,1585,"Allegheny, Pennsylvania, US"
42,18003,Allen,Indiana,US,23/05/2020 02:32,41.09194313,-85.06800636,1191,65,0,1126,"Allen, Indiana, US"
43,20001,Allen,Kansas,US,23/05/2020 02:32,37.88582951,-95.30030847,1,0,0,1,"Allen, Kansas, US"
44,21003,Allen,Kentucky,US,23/05/2020 02:32,36.75197631,-86.19457544,44,2,0,42,"Allen, Kentucky, US"
45,22003,Allen,Louisiana,US,23/05/2020 02:32,30.65385745,-92.82442028,182,10,0,172,"Allen, Louisiana, US"
46,39003,Allen,Ohio,US,23/05/2020 02:32,40.77285242,-84.10802343,178,31,0,147,"Allen, Ohio, US"
47,45005,Allendale,South Carolina,US,23/05/2020 02:32,32.98837386,-81.35321066,34,3,0,31,"Allendale, South Carolina, US"
48,26007,Alpena,Michigan,US,23/05/2020 02:32,45.03477666,-83.62212411,93,9,0,84,"Alpena, Michigan, US"
49,6003,Alpine,California,US,23/05/2020 02:32,38.59678594,-119.8223594,2,0,0,2,"Alpine, California, US"
50,6005,Amador,California,US,23/05/2020 02:32,38.44583082,-120.65696,10,0,0,10,"Amador, California, US"
51,51007,Amelia,Virginia,US,23/05/2020 02:32,37.34081025,-77.98584649,22,1,0,21,"Amelia, Virginia, US"
52,51009,Amherst,Virginia,US,23/05/2020 02:32,37.60308293,-79.14548696,25,0,0,25,"Amherst, Virginia, US"
53,28005,Amite,Mississippi,US,23/05/2020 02:32,31.17467303,-90.80501621,49,1,0,48,"Amite, Mississippi, US"
54,2020,Anchorage,Alaska,US,23/05/2020 02:32,61.14998174,-149.1426986,206,4,0,202,"Anchorage, Alaska, US"
55,20003,Anderson,Kansas,US,23/05/2020 02:32,38.21413251,-95.29272815,1,0,0,1,"Anderson, Kansas, US"
56,21005,Anderson,Kentucky,US,23/05/2020 02:32,38.00671029,-84.99171713,15,1,0,14,"Anderson, Kentucky, US"
57,45007,Anderson,South Carolina,US,23/05/2020 02:32,34.51828081,-82.63959517,219,8,0,211,"Anderson, South Carolina, US"
58,47001,Anderson,Tennessee,US,23/05/2020 02:32,36.12684348,-84.19965764,37,1,0,36,"Anderson, Tennessee, US"
59,48001,Anderson,Texas,US,23/05/2020 02:32,31.81534745,-95.65354823,63,0,0,63,"Anderson, Texas, US"
60,29003,Andrew,Missouri,US,23/05/2020 02:32,39.98492163,-94.80163024,20,0,0,20,"Andrew, Missouri, US"
61,48003,Andrews,Texas,US,23/05/2020 02:32,32.30468633,-102.6376548,22,0,0,22,"Andrews, Texas, US"
62,23001,Androscoggin,Maine,US,23/05/2020 02:32,44.1664747,-70.20380627,209,2,0,207,"Androscoggin, Maine, US"
63,48005,Angelina,Texas,US,23/05/2020 02:32,31.25457347,-94.60901487,168,2,0,166,"Angelina, Texas, US"
