date,country,confirmed_raw,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered,new_growth,growth,growth_avg,growth_avg_7
2020-05-13,United States,1387837,1387837,83991,243430,1065418,20802,1742,208253,0.961,1.015,1.015,1.018
2020-05-13,Russia,242271,242271,2212,48003,192056,10028,96,4491,0.92,1.043,1.049,1.056
2020-05-13,United Kingdom,229705,229705,33186,0,196519,3242,494,0,0.953,1.014,1.016,1.019
2020-05-13,Spain,228691,228691,27104,140823,60764,661,184,1843,1.113,1.003,1.007,1.005
2020-05-13,Italy,222104,222104,31106,112541,78457,888,195,3502,0.633,1.004,1.004,1.005
2020-05-13,Brazil,190137,190137,13240,78424,98473,11923,779,5827,1.383,1.067,1.053,1.06
2020-05-13,France,178060,178060,27074,58673,92313,-166,83,888,-0.218,0.999,1.002,1.003
2020-05-13,Germany,174098,174098,7861,148700,17537,927,123,1500,1.558,1.005,1.004,1.005
2020-05-13,Turkey,143114,143114,3952,101715,37447,1639,58,2826,0.962,1.012,1.011,1.012
2020-05-13,Iran,112725,112725,6783,89428,16514,1958,50,1071,1.322,1.018,1.016,1.015
2020-05-13,China,82929,82929,4633,78195,101,2,0,6,0.4,1.0,1.0,1.0
2020-05-13,India,78055,78055,2551,26400,49104,3763,136,1980,1.068,1.051,1.052,1.057
2020-05-13,Peru,76306,76306,2169,24324,49813,4247,112,1000,1.312,1.059,1.043,1.049
2020-05-13,Canada,73568,73568,5425,35177,32966,1149,125,-195110,0.995,1.016,1.016,1.018
2020-05-13,Belgium,53981,53981,8843,13937,31201,202,82,205,0.612,1.004,1.006,1.009
2020-05-13,Saudi Arabia,44830,44830,273,17622,26935,1905,9,2365,0.997,1.044,1.047,1.049
2020-05-13,Netherlands,43217,43217,5562,6,37649,227,52,6,1.158,1.005,1.005,1.007
2020-05-13,Mexico,40186,40186,4220,26990,8976,1862,294,1055,0.932,1.049,1.047,1.055
2020-05-13,Pakistan,35298,35298,761,8899,25638,962,24,87,0.427,1.028,1.052,1.057
2020-05-13,Chile,34381,34381,346,14865,19170,2660,11,740,1.604,1.084,1.06,1.059
2020-05-13,Ecuador,30486,30486,2334,3433,24719,67,7,0,0.156,1.002,1.01,1.0
2020-05-13,Switzerland,30413,30413,1870,27100,1443,33,3,300,0.917,1.001,1.001,1.002
