,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-02-25,Austria,2.0,2.0,,0.0,1.0,84,,,1.0,
1,2020-02-26,Austria,2.0,0.0,,1.0,1.0,84,0.0,,1.0,
2,2020-02-27,Austria,3.0,1.0,,1.5,1.0,84,0.0,,1.0,
3,2020-02-28,Austria,6.0,3.0,,2.0,1.084,84,0.0,,1.0,
4,2020-02-29,Austria,9.0,3.0,,1.5,1.151,84,0.0,,1.0,
5,2020-03-01,Austria,14.0,5.0,,1.556,1.226,84,0.0,,1.0,
6,2020-03-02,Austria,18.0,4.0,3.0,1.286,1.263,84,0.0,,1.0,1.0
7,2020-03-03,Austria,21.0,3.0,3.0,1.167,1.43,84,0.0,3.0,1.0,1.0
8,2020-03-04,Austria,29.0,8.0,4.0,1.381,1.484,84,0.0,4.0,1.0,1.0
9,2020-03-05,Austria,41.0,12.0,5.0,1.4140000000000001,1.472,85,1.0,5.0,1.012,1.002
10,2020-03-06,Austria,55.0,14.0,7.0,1.341,1.3780000000000001,86,1.0,7.0,1.012,1.003
11,2020-03-07,Austria,79.0,24.0,10.0,1.436,1.369,89,3.0,10.0,1.035,1.008
12,2020-03-08,Austria,104.0,25.0,13.0,1.3159999999999998,1.334,96,7.0,13.0,1.079,1.02
13,2020-03-09,Austria,131.0,27.0,16.0,1.26,1.331,110,14.0,16.0,1.146,1.041
14,2020-03-10,Austria,182.0,51.0,23.0,1.389,1.3619999999999999,136,26.0,23.0,1.236,1.074
15,2020-03-11,Austria,246.0,64.0,31.0,1.3519999999999999,1.358,181,45.0,31.0,1.331,1.122
16,2020-03-12,Austria,302.0,56.0,37.0,1.228,1.3319999999999999,253,72.0,37.0,1.398,1.177
17,2020-03-13,Austria,504.0,202.0,64.0,1.669,1.379,364,111.0,64.0,1.439,1.238
18,2020-03-14,Austria,655.0,151.0,82.0,1.3,1.359,523,159.0,82.0,1.437,1.295
19,2020-03-15,Austria,860.0,205.0,108.0,1.3130000000000002,1.359,741,218.0,108.0,1.417,1.343
20,2020-03-16,Austria,1018.0,158.0,127.0,1.1840000000000002,1.348,1027,286.0,127.0,1.386,1.378
21,2020-03-17,Austria,1332.0,314.0,164.0,1.308,1.3359999999999999,1385,358.0,164.0,1.349,1.394
22,2020-03-18,Austria,1646.0,314.0,200.0,1.236,1.32,1818,433.0,200.0,1.313,1.391
23,2020-03-19,Austria,2013.0,367.0,244.0,1.2229999999999999,1.319,2321,503.0,244.0,1.277,1.374
24,2020-03-20,Austria,2388.0,375.0,269.0,1.186,1.25,2889,568.0,269.0,1.245,1.346
25,2020-03-21,Austria,2814.0,426.0,308.0,1.178,1.2329999999999999,3512,623.0,308.0,1.216,1.315
26,2020-03-22,Austria,3244.0,430.0,341.0,1.153,1.21,4178,666.0,341.0,1.19,1.282
27,2020-03-23,Austria,4474.0,1230.0,494.0,1.379,1.238,4874,696.0,494.0,1.167,1.251
28,2020-03-24,Austria,5283.0,809.0,564.0,1.181,1.219,5587,713.0,564.0,1.146,1.222
29,2020-03-25,Austria,5588.0,305.0,563.0,1.058,1.194,6305,718.0,563.0,1.129,1.196
30,2020-03-26,Austria,6909.0,1321.0,699.0,1.236,1.196,7015,710.0,699.0,1.113,1.172
31,2020-03-27,Austria,7657.0,748.0,753.0,1.1079999999999999,1.185,7708,693.0,753.0,1.099,1.151
32,2020-03-28,Austria,8271.0,614.0,780.0,1.08,1.171,8377,669.0,780.0,1.087,1.133
33,2020-03-29,Austria,8788.0,517.0,792.0,1.063,1.158,9013,636.0,792.0,1.076,1.117
34,2020-03-30,Austria,9618.0,830.0,735.0,1.094,1.117,9614,601.0,735.0,1.067,1.102
35,2020-03-31,Austria,10180.0,562.0,700.0,1.058,1.1,10176,562.0,700.0,1.058,1.09
36,2020-04-01,Austria,10711.0,531.0,732.0,1.052,1.099,10698,522.0,732.0,1.051,1.079
37,2020-04-02,Austria,11129.0,418.0,603.0,1.0390000000000001,1.071,11179,481.0,603.0,1.045,1.069
38,2020-04-03,Austria,11524.0,395.0,552.0,1.035,1.06,11620,441.0,552.0,1.039,1.06
