,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-24,France,2.0,2.0,,0.0,1.0,0,,,1.0,
1,2020-01-25,France,3.0,1.0,,1.5,1.0,0,0.0,,0.0,
2,2020-01-26,France,3.0,0.0,,1.0,1.0,0,0.0,,0.0,
3,2020-01-27,France,3.0,0.0,,1.0,1.0,0,0.0,,0.0,
4,2020-01-28,France,4.0,1.0,,1.3330000000000002,1.0,0,0.0,,0.0,
5,2020-01-29,France,5.0,1.0,,1.25,1.013,0,0.0,,0.0,
6,2020-01-30,France,5.0,0.0,1.0,1.0,1.012,0,0.0,,0.0,1.0
7,2020-01-31,France,5.0,0.0,0.0,1.0,1.155,0,0.0,0.0,0.0,1.0
8,2020-02-01,France,6.0,1.0,0.0,1.2,1.112,0,0.0,0.0,0.0,1.0
9,2020-02-02,France,6.0,0.0,0.0,1.0,1.112,0,0.0,0.0,0.0,1.0
10,2020-02-03,France,6.0,0.0,0.0,1.0,1.112,0,0.0,0.0,0.0,1.0
11,2020-02-04,France,6.0,0.0,0.0,1.0,1.064,0,0.0,0.0,0.0,1.0
12,2020-02-05,France,6.0,0.0,0.0,1.0,1.0290000000000001,0,0.0,0.0,0.0,1.0
13,2020-02-06,France,6.0,0.0,0.0,1.0,1.0290000000000001,0,0.0,0.0,0.0,1.0
14,2020-02-07,France,8.0,2.0,0.0,1.3330000000000002,1.0759999999999998,0,0.0,0.0,0.0,1.0
15,2020-02-08,France,11.0,3.0,1.0,1.375,1.101,0,0.0,1.0,0.0,1.0
16,2020-02-09,France,11.0,0.0,1.0,1.0,1.101,0,0.0,1.0,0.0,1.0
17,2020-02-10,France,11.0,0.0,1.0,1.0,1.101,0,0.0,1.0,0.0,1.0
18,2020-02-11,France,11.0,0.0,1.0,1.0,1.101,0,0.0,1.0,0.0,1.0
19,2020-02-12,France,11.0,0.0,1.0,1.0,1.101,0,0.0,1.0,0.0,1.0
20,2020-02-13,France,11.0,0.0,1.0,1.0,1.101,0,0.0,1.0,0.0,1.0
21,2020-02-14,France,11.0,0.0,0.0,1.0,1.054,0,0.0,0.0,0.0,1.0
22,2020-02-15,France,12.0,1.0,0.0,1.091,1.013,0,0.0,0.0,0.0,1.0
23,2020-02-16,France,12.0,0.0,0.0,1.0,1.013,0,0.0,0.0,0.0,1.0
24,2020-02-17,France,12.0,0.0,0.0,1.0,1.013,0,0.0,0.0,0.0,1.0
25,2020-02-18,France,12.0,0.0,0.0,1.0,1.013,5,5.0,0.0,0.0,1.0
26,2020-02-19,France,12.0,0.0,0.0,1.0,1.013,14,9.0,0.0,2.8,1.0
27,2020-02-20,France,12.0,0.0,0.0,1.0,1.013,25,11.0,0.0,1.786,1.0
28,2020-02-21,France,12.0,0.0,0.0,1.0,1.013,38,13.0,0.0,1.52,1.0
29,2020-02-22,France,12.0,0.0,0.0,1.0,1.0,53,15.0,0.0,1.395,1.072
30,2020-02-23,France,12.0,0.0,0.0,1.0,1.0,71,18.0,0.0,1.34,1.263
31,2020-02-24,France,13.0,1.0,0.0,1.083,1.012,94,23.0,0.0,1.324,1.452
32,2020-02-25,France,14.0,1.0,0.0,1.077,1.023,121,27.0,0.0,1.287,1.636
33,2020-02-26,France,18.0,4.0,1.0,1.286,1.064,153,32.0,1.0,1.264,1.417
34,2020-02-27,France,38.0,20.0,4.0,2.1109999999999998,1.222,192,39.0,4.0,1.255,1.341
35,2020-02-28,France,57.0,19.0,6.0,1.5,1.294,239,47.0,6.0,1.245,1.301
36,2020-02-29,France,100.0,43.0,13.0,1.754,1.402,295,56.0,13.0,1.234,1.278
37,2020-03-01,France,130.0,30.0,17.0,1.3,1.444,363,68.0,17.0,1.231,1.263
38,2020-03-02,France,191.0,61.0,25.0,1.469,1.5,445,82.0,25.0,1.226,1.249
39,2020-03-03,France,204.0,13.0,27.0,1.068,1.4980000000000002,543,98.0,27.0,1.22,1.239
40,2020-03-04,France,285.0,81.0,38.0,1.3969999999999998,1.514,661,118.0,38.0,1.217,1.233
41,2020-03-05,France,377.0,92.0,48.0,1.3230000000000002,1.402,802,141.0,48.0,1.213,1.227
42,2020-03-06,France,653.0,276.0,85.0,1.732,1.435,971,169.0,85.0,1.211,1.222
43,2020-03-07,France,949.0,296.0,121.0,1.453,1.392,1174,203.0,121.0,1.209,1.218
44,2020-03-08,France,1126.0,177.0,142.0,1.187,1.376,1417,243.0,142.0,1.207,1.215
45,2020-03-09,France,1209.0,83.0,145.0,1.074,1.319,1708,291.0,145.0,1.205,1.212
46,2020-03-10,France,1784.0,575.0,226.0,1.476,1.3769999999999998,2054,346.0,226.0,1.203,1.209
47,2020-03-11,France,2281.0,497.0,285.0,1.2790000000000001,1.361,2468,414.0,285.0,1.202,1.207
48,2020-03-12,France,2971.0,690.0,371.0,1.3019999999999998,1.358,2959,491.0,371.0,1.199,1.205
49,2020-03-13,France,3661.0,690.0,430.0,1.232,1.286,3543,584.0,430.0,1.197,1.203
50,2020-03-14,France,4474.0,808.0,503.0,1.222,1.253,4235,692.0,504.0,1.195,1.201
51,2020-03-15,France,5559.0,1084.0,632.0,1.2429999999999999,1.261,5052,817.0,633.0,1.193,1.199
52,2020-03-16,France,6643.0,1081.0,775.0,1.195,1.278,6015,963.0,776.0,1.191,1.197
53,2020-03-17,France,7681.0,1021.0,839.0,1.156,1.2329999999999999,7145,1130.0,842.0,1.188,1.195
