,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-28,Germany,4.0,4.0,,0.0,1.0,140,,,1.0,
1,2020-01-29,Germany,4.0,0.0,,1.0,1.0,140,0.0,,1.0,
2,2020-01-30,Germany,4.0,0.0,,1.0,1.0,140,0.0,,1.0,
3,2020-01-31,Germany,5.0,1.0,,1.25,1.0,140,0.0,,1.0,
4,2020-02-01,Germany,8.0,8.0,,1.6,1.0,140,0.0,,1.0,
5,2020-02-02,Germany,10.0,2.0,,1.25,1.018,140,0.0,,1.0,
6,2020-02-03,Germany,12.0,2.0,2.0,1.2,1.043,140,0.0,,1.0,1.0
7,2020-02-04,Germany,12.0,0.0,2.0,1.0,1.186,140,0.0,1.0,1.0,1.0
8,2020-02-05,Germany,12.0,0.0,2.0,1.0,1.186,140,0.0,1.0,1.0,1.0
9,2020-02-06,Germany,12.0,0.0,2.0,1.0,1.186,140,0.0,1.0,1.0,1.0
10,2020-02-07,Germany,13.0,1.0,2.0,1.083,1.162,140,0.0,1.0,1.0,1.0
11,2020-02-08,Germany,13.0,0.0,1.0,1.0,1.0759999999999998,140,0.0,1.0,1.0,1.0
12,2020-02-09,Germany,14.0,1.0,1.0,1.077,1.051,140,0.0,1.0,1.0,1.0
13,2020-02-10,Germany,15.0,1.0,0.0,1.071,1.033,140,0.0,0.0,1.0,1.0
14,2020-02-11,Germany,16.0,1.0,1.0,1.067,1.043,140,0.0,1.0,1.0,1.0
15,2020-02-12,Germany,16.0,0.0,1.0,1.0,1.043,140,0.0,1.0,1.0,1.0
16,2020-02-13,Germany,16.0,0.0,1.0,1.0,1.043,140,0.0,1.0,1.0,1.0
17,2020-02-14,Germany,16.0,0.0,0.0,1.0,1.031,140,0.0,0.0,1.0,1.0
18,2020-02-15,Germany,16.0,0.0,0.0,1.0,1.031,140,0.0,0.0,1.0,1.0
19,2020-02-16,Germany,16.0,0.0,0.0,1.0,1.02,140,0.0,0.0,1.0,1.0
20,2020-02-17,Germany,16.0,0.0,0.0,1.0,1.01,140,0.0,0.0,1.0,1.0
21,2020-02-18,Germany,16.0,0.0,0.0,1.0,1.0,140,0.0,0.0,1.0,1.0
22,2020-02-19,Germany,16.0,0.0,0.0,1.0,1.0,140,0.0,0.0,1.0,1.0
23,2020-02-20,Germany,16.0,0.0,0.0,1.0,1.0,140,0.0,0.0,1.0,1.0
24,2020-02-21,Germany,16.0,0.0,0.0,1.0,1.0,140,0.0,0.0,1.0,1.0
25,2020-02-22,Germany,16.0,0.0,0.0,1.0,1.0,140,0.0,0.0,1.0,1.0
26,2020-02-23,Germany,16.0,0.0,0.0,1.0,1.0,140,0.0,0.0,1.0,1.0
27,2020-02-24,Germany,16.0,0.0,0.0,1.0,1.0,140,0.0,0.0,1.0,1.0
28,2020-02-25,Germany,17.0,1.0,0.0,1.062,1.0090000000000001,140,0.0,0.0,1.0,1.0
29,2020-02-26,Germany,27.0,10.0,2.0,1.588,1.093,141,1.0,2.0,1.007,1.001
30,2020-02-27,Germany,46.0,19.0,4.0,1.704,1.193,141,0.0,4.0,1.0,1.001
31,2020-02-28,Germany,62.0,16.0,7.0,1.348,1.2429999999999999,142,1.0,7.0,1.007,1.002
32,2020-02-29,Germany,79.0,17.0,9.0,1.274,1.2819999999999998,143,1.0,9.0,1.007,1.003
33,2020-03-01,Germany,130.0,51.0,16.0,1.646,1.375,147,4.0,16.0,1.028,1.007
34,2020-03-02,Germany,159.0,29.0,20.0,1.2229999999999999,1.406,154,7.0,20.0,1.048,1.014
35,2020-03-03,Germany,196.0,37.0,26.0,1.2329999999999999,1.431,167,13.0,26.0,1.084,1.026
36,2020-03-04,Germany,262.0,66.0,34.0,1.337,1.395,191,24.0,34.0,1.144,1.045
37,2020-03-05,Germany,482.0,220.0,62.0,1.84,1.4140000000000001,233,42.0,62.0,1.22,1.077
38,2020-03-06,Germany,670.0,188.0,87.0,1.39,1.42,304,71.0,87.0,1.305,1.119
39,2020-03-07,Germany,799.0,129.0,103.0,1.193,1.409,419,115.0,103.0,1.378,1.172
40,2020-03-08,Germany,1040.0,241.0,130.0,1.3019999999999998,1.36,598,179.0,130.0,1.427,1.229
41,2020-03-09,Germany,1176.0,136.0,145.0,1.131,1.347,865,267.0,145.0,1.446,1.286
42,2020-03-10,Germany,1457.0,281.0,180.0,1.239,1.347,1253,388.0,180.0,1.449,1.338
43,2020-03-11,Germany,1908.0,451.0,235.0,1.31,1.344,1798,545.0,235.0,1.435,1.38
44,2020-03-12,Germany,2078.0,170.0,228.0,1.089,1.236,2538,740.0,228.0,1.412,1.407
45,2020-03-13,Germany,3675.0,1597.0,429.0,1.7690000000000001,1.29,3516,978.0,429.0,1.385,1.419
46,2020-03-14,Germany,4585.0,910.0,541.0,1.248,1.298,4774,1258.0,541.0,1.358,1.416
47,2020-03-15,Germany,5795.0,1210.0,679.0,1.264,1.2930000000000001,6350,1576.0,679.0,1.33,1.402
48,2020-03-16,Germany,7272.0,1477.0,871.0,1.255,1.311,8280,1930.0,871.0,1.304,1.382
49,2020-03-17,Germany,9257.0,1985.0,1114.0,1.273,1.315,10588,2308.0,1114.0,1.279,1.358
50,2020-03-18,Germany,12327.0,3070.0,1488.0,1.3319999999999999,1.319,13293,2705.0,1488.0,1.255,1.332
51,2020-03-19,Germany,15320.0,2993.0,1892.0,1.2429999999999999,1.341,16402,3109.0,1892.0,1.234,1.306
52,2020-03-20,Germany,19848.0,4528.0,2310.0,1.296,1.273,19910,3508.0,2310.0,1.214,1.282
53,2020-03-21,Germany,22213.0,2365.0,2518.0,1.119,1.255,23804,3894.0,2518.0,1.196,1.259
54,2020-03-22,Germany,24873.0,2660.0,2725.0,1.12,1.234,28058,4254.0,2725.0,1.179,1.237
55,2020-03-23,Germany,29056.0,4183.0,3112.0,1.168,1.222,32638,4580.0,3112.0,1.163,1.217
56,2020-03-24,Germany,32986.0,3930.0,3390.0,1.135,1.202,37505,4867.0,3390.0,1.149,1.199
57,2020-03-25,Germany,37323.0,4337.0,3571.0,1.131,1.173,42613,5108.0,3571.0,1.136,1.182
58,2020-03-26,Germany,43938.0,6615.0,4088.0,1.177,1.1640000000000001,47913,5300.0,4088.0,1.124,1.166
59,2020-03-27,Germany,50871.0,6933.0,4432.0,1.158,1.1440000000000001,53354,5441.0,4432.0,1.114,1.152
60,2020-03-28,Germany,57695.0,6824.0,5069.0,1.1340000000000001,1.146,58886,5532.0,5069.0,1.104,1.138
61,2020-03-29,Germany,62095.0,4400.0,5317.0,1.0759999999999998,1.14,64460,5574.0,5317.0,1.095,1.126
62,2020-03-30,Germany,66885.0,4790.0,5404.0,1.077,1.127,70031,5571.0,5404.0,1.086,1.115
63,2020-03-31,Germany,71808.0,4923.0,5546.0,1.074,1.1179999999999999,75557,5526.0,5546.0,1.079,1.105
64,2020-04-01,Germany,77872.0,6064.0,5793.0,1.084,1.111,81000,5443.0,5793.0,1.072,1.096
65,2020-04-02,Germany,84794.0,6922.0,5837.0,1.089,1.099,86327,5327.0,5837.0,1.066,1.088
66,2020-04-03,Germany,91159.0,6365.0,5755.0,1.075,1.087,91510,5183.0,5755.0,1.06,1.08
67,2020-04-04,Germany,96092.0,4933.0,5485.0,1.054,1.0759999999999998,96526,5016.0,5485.0,1.055,1.073
68,2020-04-05,Germany,100123.0,4031.0,5433.0,1.042,1.071,101357,4831.0,5433.0,1.05,1.067
69,2020-04-06,Germany,103374.0,3251.0,5213.0,1.032,1.064,105987,4630.0,5213.0,1.046,1.061
70,2020-04-07,Germany,107663.0,4289.0,5122.0,1.041,1.06,110408,4421.0,5122.0,1.042,1.056
71,2020-04-08,Germany,113296.0,5633.0,5061.0,1.052,1.055,114612,4204.0,5061.0,1.038,1.051
72,2020-04-09,Germany,118181.0,4885.0,4770.0,1.043,1.048,118596,3984.0,4770.0,1.035,1.047
73,2020-04-10,Germany,122171.0,3990.0,4430.0,1.034,1.043,122360,3764.0,4430.0,1.032,1.043
74,2020-04-11,Germany,124908.0,2737.0,4117.0,1.022,1.038,125905,3545.0,4117.0,1.029,1.039
75,2020-04-12,Germany,127854.0,2946.0,3962.0,1.024,1.035,129235,3330.0,3962.0,1.026,1.035
76,2020-04-13,Germany,130072.0,2218.0,3814.0,1.0170000000000001,1.033,132356,3121.0,3814.0,1.024,1.032
77,2020-04-14,Germany,131359.0,1287.0,3385.0,1.01,1.0290000000000001,135275,2919.0,3385.0,1.022,1.029
78,2020-04-15,Germany,134753.0,3394.0,3065.0,1.026,1.025,137998,2723.0,3065.0,1.02,1.027
79,2020-04-16,Germany,137698.0,2945.0,2788.0,1.022,1.022,140534,2536.0,2788.0,1.018,1.024
80,2020-04-17,Germany,141397.0,3699.0,2747.0,1.0270000000000001,1.021,142891,2357.0,2747.0,1.017,1.022
81,2020-04-18,Germany,143342.0,1945.0,2633.0,1.014,1.02,145080,2189.0,2633.0,1.015,1.02
