,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-31,Italy,2.0,2.0,,0.0,1.0,198,,,1.0,
1,2020-02-01,Italy,2.0,0.0,,1.0,1.0,198,0.0,,1.0,
2,2020-02-02,Italy,2.0,0.0,,1.0,1.0,198,0.0,,1.0,
3,2020-02-03,Italy,2.0,0.0,,1.0,1.0,198,0.0,,1.0,
4,2020-02-04,Italy,2.0,0.0,,1.0,1.0,198,0.0,,1.0,
5,2020-02-05,Italy,2.0,0.0,,1.0,1.0,198,0.0,,1.0,
6,2020-02-06,Italy,2.0,0.0,0.0,1.0,1.0,198,0.0,,1.0,1.0
7,2020-02-07,Italy,3.0,1.0,0.0,1.5,1.071,198,0.0,0.0,1.0,1.0
8,2020-02-08,Italy,3.0,0.0,0.0,1.0,1.071,198,0.0,0.0,1.0,1.0
9,2020-02-09,Italy,3.0,0.0,0.0,1.0,1.071,198,0.0,0.0,1.0,1.0
10,2020-02-10,Italy,3.0,0.0,0.0,1.0,1.071,198,0.0,0.0,1.0,1.0
11,2020-02-11,Italy,3.0,0.0,0.0,1.0,1.071,198,0.0,0.0,1.0,1.0
12,2020-02-12,Italy,3.0,0.0,0.0,1.0,1.071,198,0.0,0.0,1.0,1.0
13,2020-02-13,Italy,3.0,0.0,0.0,1.0,1.071,198,0.0,0.0,1.0,1.0
14,2020-02-14,Italy,3.0,0.0,0.0,1.0,1.0,198,0.0,0.0,1.0,1.0
15,2020-02-15,Italy,3.0,0.0,0.0,1.0,1.0,198,0.0,0.0,1.0,1.0
16,2020-02-16,Italy,3.0,0.0,0.0,1.0,1.0,198,0.0,0.0,1.0,1.0
17,2020-02-17,Italy,3.0,0.0,0.0,1.0,1.0,198,0.0,0.0,1.0,1.0
18,2020-02-18,Italy,3.0,0.0,0.0,1.0,1.0,198,0.0,0.0,1.0,1.0
19,2020-02-19,Italy,3.0,0.0,0.0,1.0,1.0,199,1.0,0.0,1.005,1.001
20,2020-02-20,Italy,11.0,8.0,1.0,3.667,1.381,200,1.0,1.0,1.005,1.001
21,2020-02-21,Italy,20.0,9.0,2.0,1.818,1.4980000000000002,201,1.0,2.0,1.005,1.002
22,2020-02-22,Italy,62.0,42.0,8.0,3.1,1.798,204,3.0,8.0,1.015,1.004
23,2020-02-23,Italy,155.0,93.0,22.0,2.5,2.012,210,6.0,22.0,1.029,1.008
24,2020-02-24,Italy,229.0,74.0,32.0,1.4769999999999999,2.08,218,8.0,32.0,1.038,1.014
25,2020-02-25,Italy,322.0,93.0,46.0,1.406,2.138,233,15.0,46.0,1.069,1.024
26,2020-02-26,Italy,453.0,131.0,64.0,1.4069999999999998,2.1959999999999997,255,22.0,64.0,1.094,1.036
27,2020-02-27,Italy,655.0,202.0,92.0,1.446,1.879,290,35.0,92.0,1.137,1.055
28,2020-02-28,Italy,888.0,233.0,124.0,1.3559999999999999,1.8130000000000002,342,52.0,124.0,1.179,1.08
29,2020-02-29,Italy,1128.0,240.0,152.0,1.27,1.5519999999999998,420,78.0,152.0,1.228,1.111
30,2020-03-01,Italy,1694.0,566.0,220.0,1.5019999999999998,1.409,531,111.0,220.0,1.264,1.144
31,2020-03-02,Italy,2036.0,342.0,258.0,1.202,1.37,688,157.0,258.0,1.296,1.181
32,2020-03-03,Italy,2502.0,466.0,311.0,1.229,1.345,905,217.0,311.0,1.315,1.216
33,2020-03-04,Italy,3089.0,587.0,377.0,1.235,1.32,1199,294.0,377.0,1.325,1.249
34,2020-03-05,Italy,3858.0,769.0,458.0,1.249,1.2919999999999998,1589,390.0,458.0,1.325,1.276
35,2020-03-06,Italy,4636.0,778.0,535.0,1.202,1.27,2096,507.0,535.0,1.319,1.296
36,2020-03-07,Italy,5883.0,1247.0,679.0,1.2690000000000001,1.27,2745,649.0,679.0,1.31,1.308
37,2020-03-08,Italy,7375.0,1492.0,812.0,1.254,1.234,3560,815.0,812.0,1.297,1.312
38,2020-03-09,Italy,9172.0,1797.0,1019.0,1.244,1.24,4567,1007.0,1019.0,1.283,1.311
39,2020-03-10,Italy,10149.0,977.0,1092.0,1.107,1.2229999999999999,5792,1225.0,1092.0,1.268,1.304
40,2020-03-11,Italy,12462.0,2313.0,1339.0,1.228,1.222,7260,1468.0,1339.0,1.253,1.294
41,2020-03-12,Italy,15061.0,2599.0,1600.0,1.209,1.216,8994,1734.0,1600.0,1.239,1.281
42,2020-03-13,Italy,17660.0,2599.0,1861.0,1.173,1.212,11013,2019.0,1861.0,1.224,1.268
43,2020-03-14,Italy,21157.0,3497.0,2182.0,1.198,1.202,13335,2322.0,2182.0,1.211,1.254
44,2020-03-15,Italy,24747.0,3590.0,2482.0,1.17,1.19,15971,2636.0,2482.0,1.198,1.239
45,2020-03-16,Italy,27980.0,3233.0,2687.0,1.131,1.1740000000000002,18929,2958.0,2687.0,1.185,1.225
46,2020-03-17,Italy,31506.0,3526.0,3051.0,1.126,1.176,22212,3283.0,3051.0,1.173,1.212
47,2020-03-18,Italy,35713.0,4207.0,3322.0,1.1340000000000001,1.163,25816,3604.0,3322.0,1.162,1.199
48,2020-03-19,Italy,41035.0,5322.0,3711.0,1.149,1.1540000000000001,29735,3919.0,3711.0,1.152,1.186
49,2020-03-20,Italy,47021.0,5986.0,4194.0,1.146,1.151,33956,4221.0,4194.0,1.142,1.175
50,2020-03-21,Italy,53578.0,6557.0,4632.0,1.139,1.1420000000000001,38461,4505.0,4632.0,1.133,1.164
51,2020-03-22,Italy,59138.0,5560.0,4913.0,1.104,1.133,43229,4768.0,4913.0,1.124,1.153
52,2020-03-23,Italy,63927.0,4789.0,5135.0,1.081,1.126,48236,5007.0,5135.0,1.116,1.143
53,2020-03-24,Italy,69176.0,5249.0,5381.0,1.082,1.119,53454,5218.0,5381.0,1.108,1.134
54,2020-03-25,Italy,74386.0,5210.0,5525.0,1.075,1.111,58855,5401.0,5525.0,1.101,1.125
55,2020-03-26,Italy,80589.0,6203.0,5651.0,1.083,1.101,64408,5553.0,5651.0,1.094,1.117
56,2020-03-27,Italy,86498.0,5909.0,5640.0,1.073,1.091,70082,5674.0,5640.0,1.088,1.109
57,2020-03-28,Italy,92472.0,5974.0,5556.0,1.069,1.081,75845,5763.0,5556.0,1.082,1.102
58,2020-03-29,Italy,97689.0,5217.0,5507.0,1.056,1.074,81667,5822.0,5507.0,1.077,1.095
59,2020-03-30,Italy,101739.0,4050.0,5402.0,1.041,1.068,87518,5851.0,5402.0,1.072,1.089
60,2020-03-31,Italy,105792.0,4053.0,5231.0,1.04,1.062,93370,5852.0,5231.0,1.067,1.083
61,2020-04-01,Italy,110574.0,4782.0,5170.0,1.045,1.058,99196,5826.0,5170.0,1.062,1.077
62,2020-04-02,Italy,115242.0,4668.0,4950.0,1.042,1.052,104972,5776.0,4950.0,1.058,1.072
63,2020-04-03,Italy,119827.0,4585.0,4761.0,1.04,1.048,110675,5703.0,4761.0,1.054,1.067
64,2020-04-04,Italy,124632.0,4805.0,4594.0,1.04,1.043,116285,5610.0,4594.0,1.051,1.063
65,2020-04-05,Italy,128948.0,4316.0,4466.0,1.035,1.04,121785,5500.0,4466.0,1.047,1.059
66,2020-04-06,Italy,132547.0,3599.0,4401.0,1.028,1.0390000000000001,127158,5373.0,4401.0,1.044,1.055
67,2020-04-07,Italy,135586.0,3039.0,4256.0,1.023,1.036,132392,5234.0,4256.0,1.041,1.051
68,2020-04-08,Italy,139422.0,3836.0,4121.0,1.028,1.034,137476,5084.0,4121.0,1.038,1.048
69,2020-04-09,Italy,143626.0,4204.0,4055.0,1.03,1.032,142400,4924.0,4055.0,1.036,1.044
70,2020-04-10,Italy,147577.0,3951.0,3964.0,1.028,1.03,147158,4758.0,3964.0,1.033,1.041
71,2020-04-11,Italy,152271.0,4694.0,3948.0,1.032,1.0290000000000001,151744,4586.0,3948.0,1.031,1.039
72,2020-04-12,Italy,156363.0,4092.0,3916.0,1.0270000000000001,1.028,156155,4411.0,3916.0,1.029,1.036
73,2020-04-13,Italy,159516.0,3153.0,3853.0,1.02,1.0270000000000001,160389,4234.0,3853.0,1.027,1.034
74,2020-04-14,Italy,162488.0,2972.0,3843.0,1.0190000000000001,1.026,164445,4056.0,3843.0,1.025,1.031
75,2020-04-15,Italy,165155.0,2667.0,3676.0,1.016,1.025,168324,3879.0,3676.0,1.024,1.029
76,2020-04-16,Italy,168941.0,3786.0,3616.0,1.023,1.024,172026,3702.0,3616.0,1.022,1.027
77,2020-04-17,Italy,172434.0,3493.0,3551.0,1.021,1.023,175556,3530.0,3551.0,1.021,1.026
78,2020-04-18,Italy,175925.0,3491.0,3379.0,1.02,1.021,178914,3358.0,3379.0,1.019,1.024
79,2020-04-19,Italy,178972.0,3047.0,3230.0,1.0170000000000001,1.0190000000000001,182107,3193.0,3230.0,1.018,1.022
80,2020-04-20,Italy,181228.0,2256.0,3102.0,1.013,1.018,185137,3030.0,3102.0,1.017,1.021
81,2020-04-21,Italy,183957.0,2729.0,3067.0,1.015,1.018,188010,2873.0,3067.0,1.016,1.02
82,2020-04-22,Italy,187327.0,3370.0,3167.0,1.018,1.018,190731,2721.0,3167.0,1.014,1.018
83,2020-04-23,Italy,189973.0,2646.0,3005.0,1.014,1.0170000000000001,193305,2574.0,3005.0,1.013,1.017
84,2020-04-24,Italy,192994.0,3021.0,2937.0,1.016,1.016,195738,2433.0,2937.0,1.013,1.016
85,2020-04-25,Italy,195351.0,2357.0,2775.0,1.012,1.015,198035,2297.0,2775.0,1.012,1.015
86,2020-04-26,Italy,197675.0,2324.0,2672.0,1.012,1.014,200202,2167.0,2672.0,1.011,1.014
87,2020-04-27,Italy,199414.0,1739.0,2598.0,1.0090000000000001,1.014,202245,2043.0,2598.0,1.01,1.013
88,2020-04-28,Italy,201505.0,2091.0,2507.0,1.01,1.013,204170,1925.0,2507.0,1.01,1.012
89,2020-04-29,Italy,203591.0,2086.0,2323.0,1.01,1.012,205982,1812.0,2323.0,1.009,1.011
90,2020-04-30,Italy,205463.0,1872.0,2213.0,1.0090000000000001,1.011,207686,1704.0,2213.0,1.008,1.01
91,2020-05-01,Italy,207428.0,1965.0,2062.0,1.01,1.01,209289,1603.0,2062.0,1.008,1.01
92,2020-05-02,Italy,209328.0,1900.0,1997.0,1.0090000000000001,1.01,210795,1506.0,1997.0,1.007,1.009
93,2020-05-03,Italy,210717.0,1389.0,1863.0,1.0070000000000001,1.0090000000000001,212209,1414.0,1863.0,1.007,1.008
