,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-02-25,Switzerland,1.0,1.0,,0.0,1.0,65,,,1.0,
1,2020-02-26,Switzerland,4.0,3.0,,4.0,1.31,65,0.0,,1.0,
2,2020-02-27,Switzerland,8.0,4.0,,2.0,1.4469999999999998,65,0.0,,1.0,
3,2020-02-28,Switzerland,13.0,5.0,,1.625,1.531,65,0.0,,1.0,
4,2020-02-29,Switzerland,18.0,5.0,,1.385,1.5819999999999999,65,0.0,,1.0,
5,2020-03-01,Switzerland,27.0,9.0,,1.5,1.6469999999999998,66,1.0,,1.015,
6,2020-03-02,Switzerland,42.0,15.0,6.0,1.556,1.724,67,1.0,,1.015,1.004
7,2020-03-03,Switzerland,56.0,14.0,8.0,1.3330000000000002,1.9140000000000001,70,3.0,8.0,1.045,1.011
8,2020-03-04,Switzerland,90.0,34.0,12.0,1.607,1.5719999999999998,76,6.0,12.0,1.086,1.023
9,2020-03-05,Switzerland,114.0,24.0,15.0,1.2670000000000001,1.4680000000000002,85,9.0,15.0,1.118,1.04
10,2020-03-06,Switzerland,214.0,100.0,29.0,1.8769999999999998,1.504,100,15.0,29.0,1.176,1.065
11,2020-03-07,Switzerland,268.0,54.0,36.0,1.252,1.485,124,24.0,36.0,1.24,1.099
12,2020-03-08,Switzerland,337.0,69.0,44.0,1.2570000000000001,1.45,163,39.0,44.0,1.315,1.142
13,2020-03-09,Switzerland,374.0,37.0,47.0,1.11,1.386,222,59.0,47.0,1.362,1.192
14,2020-03-10,Switzerland,491.0,117.0,62.0,1.3130000000000002,1.383,308,86.0,62.0,1.387,1.241
15,2020-03-11,Switzerland,652.0,161.0,80.0,1.328,1.3430000000000002,430,122.0,80.0,1.396,1.285
16,2020-03-12,Switzerland,895.0,243.0,112.0,1.3730000000000002,1.359,598,168.0,112.0,1.391,1.324
17,2020-03-13,Switzerland,1139.0,244.0,132.0,1.273,1.272,821,223.0,132.0,1.373,1.352
18,2020-03-14,Switzerland,1359.0,220.0,156.0,1.193,1.264,1110,289.0,156.0,1.352,1.368
19,2020-03-15,Switzerland,2200.0,841.0,266.0,1.619,1.3159999999999998,1474,364.0,266.0,1.328,1.37
20,2020-03-16,Switzerland,2450.0,250.0,297.0,1.114,1.3159999999999998,1920,446.0,297.0,1.303,1.361
21,2020-03-17,Switzerland,2700.0,250.0,316.0,1.102,1.286,2454,534.0,316.0,1.278,1.346
22,2020-03-18,Switzerland,3028.0,328.0,339.0,1.121,1.256,3078,624.0,339.0,1.254,1.326
23,2020-03-19,Switzerland,4075.0,1047.0,454.0,1.3459999999999999,1.253,3793,715.0,454.0,1.232,1.303
24,2020-03-20,Switzerland,5294.0,1219.0,594.0,1.2990000000000002,1.256,4595,802.0,594.0,1.211,1.28
25,2020-03-21,Switzerland,6575.0,1281.0,745.0,1.242,1.263,5477,882.0,745.0,1.192,1.257
26,2020-03-22,Switzerland,7245.0,670.0,721.0,1.102,1.189,6432,955.0,721.0,1.174,1.235
27,2020-03-23,Switzerland,8795.0,1550.0,906.0,1.214,1.204,7449,1017.0,906.0,1.158,1.214
28,2020-03-24,Switzerland,9877.0,1082.0,1025.0,1.123,1.207,8515,1066.0,1025.0,1.143,1.195
29,2020-03-25,Switzerland,10897.0,1020.0,1124.0,1.103,1.204,9617,1102.0,1124.0,1.129,1.177
30,2020-03-26,Switzerland,11811.0,914.0,1105.0,1.084,1.167,10744,1127.0,1105.0,1.117,1.161
31,2020-03-27,Switzerland,12928.0,1117.0,1091.0,1.095,1.138,11882,1138.0,1091.0,1.106,1.146
32,2020-03-28,Switzerland,14076.0,1148.0,1072.0,1.089,1.1159999999999999,13019,1137.0,1072.0,1.096,1.132
33,2020-03-29,Switzerland,14829.0,753.0,1083.0,1.053,1.109,14144,1125.0,1083.0,1.086,1.119
34,2020-03-30,Switzerland,15922.0,1093.0,1018.0,1.074,1.089,15247,1103.0,1018.0,1.078,1.108
35,2020-03-31,Switzerland,16605.0,683.0,961.0,1.043,1.077,16321,1074.0,961.0,1.07,1.097
36,2020-04-01,Switzerland,17768.0,1163.0,982.0,1.07,1.073,17358,1037.0,982.0,1.064,1.088
