date,country,state,confirmed,deaths,recovered
20200110,Mainland China,Hubei,,1,
20200111,Mainland China,Hubei,,1,
20200112,Mainland China,Hubei,,1,
20200113,Mainland China,Hubei,,1,
20200114,Mainland China,Hubei,,1,
20200115,Mainland China,Hubei,,1,
20200116,Mainland China,Hubei,,2,
20200117,Mainland China,Hubei,,2,
20200118,Mainland China,Hubei,,3,
20200119,Mainland China,Hubei,,3,
20200120,Mainland China,Hubei,,7,
20200121,Mainland China,Hubei,,11,
20200122,Mainland China,Hubei,,22,
20200123,Mainland China,Hubei,,22,
20200124,Mainland China,Hubei,,32,
20200125,Mainland China,Hubei,,54,
20200126,Mainland China,Hubei,,71,
20200127,Mainland China,Hubei,,105,
20200128,Mainland China,Hubei,,174,
20200129,Mainland China,Hubei,,174,
20200130,Mainland China,Hubei,,226,
20200131,Mainland China,Hubei,,285,
20200201,Mainland China,Hubei,,348,
20200202,Mainland China,Hubei,,489,
20200203,Mainland China,Hubei,,579,
20200204,Mainland China,Hubei,,670,
20200205,Mainland China,Hubei,,768,
20200206,Mainland China,Hubei,,865,
20200207,Mainland China,Hubei,,978,
20200208,Mainland China,Hubei,,1091,
20200209,Mainland China,Hubei,,1218,
20200210,Mainland China,Hubei,,1362,
20200211,Mainland China,Hubei,,1494,
20200212,Mainland China,Hubei,,1494,
20200213,Mainland China,Hubei,,1833,
20200214,Mainland China,Hubei,,2039,
20200215,Mainland China,Hubei,,2234,
20200216,Mainland China,Hubei,,2374,
20200217,Mainland China,Hubei,,2504,
20200218,Mainland China,Hubei,,2689,
20200219,Mainland China,Hubei,,2840,
20200220,Mainland China,Hubei,,3001,
20200221,Mainland China,Hubei,,3001,
20200222,Mainland China,Hubei,,3284,
20200223,Mainland China,Hubei,,3284,
20200224,Mainland China,Hubei,,3493,
20200225,Mainland China,Hubei,,3588,
20200226,Mainland China,Hubei,,3661,
20200227,Mainland China,Hubei,,3697,
20200228,Mainland China,Hubei,,3754,
20200229,Mainland China,Hubei,,3817,
20200301,Mainland China,Hubei,,3865,
