date,country,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered,new_growth,growth,growth_avg,growth_avg_7
2020-04-24,United States,903848,51862,99079,752907,31800,2863,83798,0.99,1.037,1.037,1.037
2020-04-24,Spain,219764,22524,92355,104885,5688,367,3105,1.039,1.027,1.025,1.022
2020-04-24,Italy,192994,25969,60498,106527,2834,420,2922,0.887,1.015,1.016,1.016
2020-04-24,France,159832,22276,44183,93373,1414,389,1499,-1.683,1.009,1.007,1.011
2020-04-24,Germany,154999,5760,109800,39439,2176,185,6500,1.03,1.014,1.013,1.014
2020-04-24,United Kingdom,143464,19506,0,123958,4985,768,0,1.014,1.036,1.036,1.041
2020-04-24,Turkey,104912,2600,21737,80575,3119,109,3246,1.005,1.031,1.034,1.043
2020-04-24,Iran,88194,5574,66599,16021,1099,93,1756,0.931,1.013,1.014,1.015
2020-04-24,China,82819,4632,77357,830,18,0,100,1.636,1.0,1.0,1.0
2020-04-24,Russia,68622,615,5568,62439,5312,60,677,0.958,1.084,1.092,1.116
2020-04-24,Brazil,54043,3704,27655,22684,4143,373,1082,1.239,1.083,1.077,1.07
2020-04-24,Belgium,44293,6679,10122,27492,1202,189,322,0.989,1.028,1.027,1.03
2020-04-24,Canada,44056,2386,15149,26521,1584,161,-65054,0.809,1.017,1.036,1.044
2020-04-24,Netherlands,36540,4289,0,32251,847,112,0,1.119,1.024,1.023,1.027
2020-04-24,Switzerland,28677,1589,21000,6088,205,40,400,1.062,1.007,1.007,1.008
2020-04-24,India,24530,780,5498,18252,1580,59,486,1.152,1.069,1.071,1.077
2020-04-24,Portugal,22797,854,1228,20715,408,34,27,0.78,1.018,1.021,1.024
2020-04-24,Ecuador,22719,576,1366,20777,5935,16,38,0.99,1.354,1.313,1.163
2020-04-24,Georgia,22187,5,132,307,304,-876,132,0.91,1.03,1.042,1.044
2020-04-24,Peru,21648,634,7496,13518,1199,62,74,1.116,1.059,1.068,1.07
2020-04-24,Ireland,18184,1014,9233,7937,757,220,0,1.253,1.043,1.04,1.038
2020-04-24,Sweden,17567,2152,1005,14410,782,131,455,1.047,1.047,1.045,1.042
2020-04-24,Saudi Arabia,15102,127,2049,12926,1165,6,124,1.007,1.084,1.091,1.113
2020-04-24,Austria,15071,530,11872,2669,73,8,178,1.197,1.005,1.005,1.005
2020-04-24,Israel,15058,194,6003,8861,280,2,392,0.69,1.019,1.022,1.021
2020-04-24,Mexico,12872,1221,7149,4502,1239,152,4522,0.866,1.107,1.132,1.106
2020-04-24,Japan,12829,345,1530,10954,659,17,36,1.573,1.054,1.048,1.04
2020-04-24,Chile,12306,174,6327,5805,505,6,523,1.054,1.043,1.041,1.041
2020-04-24,Singapore,12075,12,956,11107,967,0,32,1.0,1.087,1.098,1.133
2020-04-24,Pakistan,11940,253,2755,8932,932,16,228,1.438,1.085,1.077,1.074
2020-04-24,Poland,10892,494,1944,8454,362,40,204,1.043,1.034,1.033,1.039
2020-04-24,South Korea,10718,240,8635,1843,12,0,134,1.091,1.001,1.001,1.001
2020-04-24,Romania,10417,567,2817,7033,354,22,339,0.898,1.035,1.038,1.037
2020-04-24,United Arab Emirates,9281,64,1760,7457,522,8,123,1.036,1.06,1.062,1.063
2020-04-24,Belarus,8773,63,1120,7590,746,3,182,1.139,1.093,1.09,1.092
2020-04-24,Qatar,8525,10,809,7706,692,0,59,1.01,1.088,1.09,1.09
2020-04-24,Indonesia,8211,689,1002,6520,397,42,42,1.106,1.051,1.05,1.049
2020-04-24,Denmark,8210,403,5526,2281,149,9,142,0.842,1.018,1.021,1.022
2020-04-24,Ukraine,8125,201,782,7142,767,14,278,1.079,1.104,1.097,1.083
2020-04-24,Norway,7463,199,32,7232,63,5,0,0.606,1.009,1.01,1.01
2020-04-24,Czech Republic,7273,214,2371,4688,71,4,219,0.772,1.01,1.012,1.016
2020-04-24,Philippines,7192,477,762,5953,241,15,40,1.497,1.035,1.03,1.029
2020-04-24,Australia,6677,79,4124,2474,53,4,0,2.304,1.008,1.006,1.004
2020-04-24,Serbia,6630,125,870,5635,0,0,0,0.0,1.0,1.0,1.023
2020-04-24,Dominican Republic,5749,267,763,4719,225,2,182,0.974,1.041,1.039,1.052
2020-04-24,Malaysia,5691,96,3663,1932,80,1,121,1.159,1.014,1.013,1.012
2020-04-24,Panama,5338,154,319,4865,259,8,48,1.551,1.051,1.048,1.043
2020-04-24,Colombia,4881,225,1003,3653,263,10,76,1.0,1.057,1.054,1.056
2020-04-24,Bangladesh,4689,131,112,4446,459,4,4,1.002,1.109,1.115,1.143
2020-04-24,Finland,4395,177,2500,1718,133,5,500,1.177,1.031,1.032,1.032
2020-04-24,South Africa,4220,79,1473,2668,293,4,0,1.344,1.075,1.068,1.059
2020-04-24,Egypt,4092,294,1075,2723,217,7,71,1.173,1.056,1.054,1.053
2020-04-24,Morocco,3758,158,486,3114,156,3,30,0.729,1.043,1.05,1.056
2020-04-24,Luxembourg,3695,85,3007,603,21,2,2279,0.636,1.006,1.008,1.008
2020-04-24,Argentina,3607,176,976,2455,232,11,57,1.634,1.069,1.059,1.044
2020-04-24,Algeria,3127,415,1408,1304,109,8,53,1.0,1.036,1.036,1.039
2020-04-24,Moldova,3110,84,755,2271,166,4,94,0.954,1.056,1.053,1.046
2020-04-24,Thailand,2907,51,2547,309,41,1,117,1.0,1.014,1.012,1.011
2020-04-24,Kuwait,2614,15,613,1986,183,1,115,0.953,1.075,1.072,1.069
2020-04-24,Bahrain,2518,8,1113,1397,246,0,31,1.39,1.108,1.086,1.055
2020-04-24,Greece,2490,130,577,1783,41,5,0,2.412,1.017,1.023,1.017
2020-04-24,Kazakhstan,2482,25,604,1853,174,5,44,1.048,1.075,1.076,1.074
2020-04-24,Hungary,2443,262,458,1723,138,23,68,1.211,1.06,1.056,1.049
2020-04-24,Croatia,2009,51,982,976,30,1,99,0.857,1.015,1.016,1.015
2020-04-24,Uzbekistan,1804,8,621,1175,44,1,60,1.048,1.025,1.026,1.035
2020-04-24,Oman,1790,10,325,1455,88,1,18,0.978,1.052,1.058,1.072
2020-04-24,Iceland,1789,10,1542,237,2,0,33,0.5,1.001,1.002,1.003
2020-04-24,Iraq,1708,86,1204,418,39,3,33,1.3,1.023,1.021,1.021
2020-04-24,Estonia,1605,46,206,1353,23,1,14,2.3,1.015,1.012,1.012
2020-04-24,Armenia,1596,27,728,841,62,3,69,0.861,1.04,1.043,1.041
2020-04-24,Azerbaijan,1592,21,1013,558,37,1,65,0.902,1.024,1.025,1.026
2020-04-24,New Zealand,1461,18,1118,325,5,1,23,0.833,1.003,1.003,1.005
2020-04-24,Cameroon,1430,43,668,719,96,0,0,1.116,1.072,1.071,1.052
2020-04-24,Bosnia and Herzegovina,1421,55,538,828,27,1,53,1.588,1.019,1.02,1.022
2020-04-24,Lithuania,1410,40,430,940,20,0,31,1.25,1.014,1.015,1.025
2020-04-24,Slovenia,1373,80,211,1082,10,1,0,1.25,1.007,1.007,1.009
2020-04-24,Slovakia,1360,17,355,988,58,2,67,1.45,1.045,1.041,1.04
2020-04-24,Afghanistan,1351,43,188,1120,88,1,9,1.128,1.07,1.071,1.062
