,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-02-25,Austria,2.0,2.0,,0.0,1.0,35,,,1.0,
1,2020-02-26,Austria,2.0,0.0,,1.0,1.0,36,1.0,,1.029,
2,2020-02-27,Austria,3.0,1.0,,1.5,1.0,36,0.0,,1.0,
3,2020-02-28,Austria,6.0,3.0,,2.0,1.094,37,1.0,,1.028,
4,2020-02-29,Austria,9.0,3.0,,1.5,1.156,38,1.0,,1.027,
5,2020-03-01,Austria,14.0,5.0,,1.556,1.229,40,2.0,,1.053,
6,2020-03-02,Austria,18.0,4.0,3.0,1.286,1.263,43,3.0,,1.075,1.03
7,2020-03-03,Austria,21.0,3.0,3.0,1.167,1.43,47,4.0,3.0,1.093,1.044
8,2020-03-04,Austria,29.0,8.0,4.0,1.381,1.484,52,5.0,4.0,1.106,1.055
9,2020-03-05,Austria,41.0,12.0,5.0,1.4140000000000001,1.472,61,9.0,5.0,1.173,1.079
10,2020-03-06,Austria,55.0,14.0,7.0,1.341,1.3780000000000001,72,11.0,7.0,1.18,1.101
11,2020-03-07,Austria,79.0,24.0,10.0,1.436,1.369,89,17.0,10.0,1.236,1.131
12,2020-03-08,Austria,104.0,25.0,13.0,1.3159999999999998,1.334,113,24.0,13.0,1.27,1.162
13,2020-03-09,Austria,131.0,27.0,16.0,1.26,1.331,147,34.0,16.0,1.301,1.194
14,2020-03-10,Austria,182.0,51.0,23.0,1.389,1.3619999999999999,195,48.0,23.0,1.327,1.228
15,2020-03-11,Austria,246.0,64.0,31.0,1.3519999999999999,1.358,260,65.0,31.0,1.333,1.26
16,2020-03-12,Austria,302.0,56.0,37.0,1.228,1.3319999999999999,349,89.0,37.0,1.342,1.284
17,2020-03-13,Austria,504.0,202.0,64.0,1.669,1.379,468,119.0,64.0,1.341,1.307
18,2020-03-14,Austria,655.0,151.0,82.0,1.3,1.359,625,157.0,82.0,1.335,1.321
19,2020-03-15,Austria,860.0,205.0,108.0,1.3130000000000002,1.359,829,204.0,108.0,1.326,1.329
20,2020-03-16,Austria,1018.0,158.0,127.0,1.1840000000000002,1.348,1089,260.0,127.0,1.314,1.331
21,2020-03-17,Austria,1332.0,314.0,164.0,1.308,1.3359999999999999,1411,322.0,164.0,1.296,1.327
22,2020-03-18,Austria,1646.0,314.0,200.0,1.236,1.32,1804,393.0,200.0,1.279,1.319
23,2020-03-19,Austria,2013.0,367.0,244.0,1.2229999999999999,1.319,2270,466.0,244.0,1.258,1.307
24,2020-03-20,Austria,2388.0,375.0,269.0,1.186,1.25,2809,539.0,269.0,1.237,1.292
25,2020-03-21,Austria,2814.0,426.0,308.0,1.178,1.2329999999999999,3417,608.0,308.0,1.216,1.275
26,2020-03-22,Austria,3244.0,430.0,341.0,1.153,1.21,4086,669.0,341.0,1.196,1.257
27,2020-03-23,Austria,4474.0,1230.0,494.0,1.379,1.238,4802,716.0,494.0,1.175,1.237
28,2020-03-24,Austria,5283.0,809.0,564.0,1.181,1.219,5549,747.0,564.0,1.156,1.217
29,2020-03-25,Austria,6096.0,813.0,636.0,1.1540000000000001,1.208,6312,763.0,636.0,1.138,1.197
30,2020-03-26,Austria,6909.0,813.0,699.0,1.133,1.195,7073,761.0,699.0,1.121,1.177
31,2020-03-27,Austria,7590.0,681.0,743.0,1.099,1.182,7815,742.0,743.0,1.105,1.158
32,2020-03-28,Austria,8222.0,632.0,773.0,1.083,1.169,8525,710.0,773.0,1.091,1.14
33,2020-03-29,Austria,8944.0,722.0,814.0,1.088,1.16,9192,667.0,814.0,1.078,1.123
34,2020-03-30,Austria,9484.0,540.0,716.0,1.06,1.114,9810,618.0,716.0,1.067,1.108
35,2020-03-31,Austria,10164.0,680.0,697.0,1.072,1.0979999999999999,10373,563.0,697.0,1.057,1.094
36,2020-04-01,Austria,10654.0,490.0,651.0,1.048,1.083,10881,508.0,651.0,1.049,1.081
37,2020-04-02,Austria,11117.0,463.0,601.0,1.043,1.07,11333,452.0,601.0,1.042,1.07
38,2020-04-03,Austria,11455.0,338.0,552.0,1.03,1.061,11732,399.0,552.0,1.035,1.06
39,2020-04-04,Austria,11787.0,332.0,509.0,1.0290000000000001,1.053,12081,349.0,509.0,1.03,1.051
40,2020-04-05,Austria,12039.0,252.0,442.0,1.021,1.043,12384,303.0,442.0,1.025,1.044
41,2020-04-06,Austria,12345.0,306.0,409.0,1.025,1.038,12646,262.0,409.0,1.021,1.037
42,2020-04-07,Austria,12619.0,274.0,351.0,1.022,1.031,12871,225.0,351.0,1.018,1.031
43,2020-04-08,Austria,12941.0,322.0,327.0,1.026,1.028,13063,192.0,327.0,1.015,1.027
44,2020-04-09,Austria,13248.0,307.0,304.0,1.024,1.025,13227,164.0,304.0,1.013,1.022
45,2020-04-10,Austria,13525.0,277.0,296.0,1.021,1.024,13366,139.0,296.0,1.011,1.019
46,2020-04-11,Austria,13806.0,281.0,288.0,1.021,1.023,13484,118.0,288.0,1.009,1.016
47,2020-04-12,Austria,,,,,,13584,100.0,221.0,1.007,1.013
48,2020-04-13,Austria,,,,,,13668,84.0,189.0,1.006,1.011
49,2020-04-14,Austria,,,,,,13739,71.0,160.0,1.005,1.009
50,2020-04-15,Austria,,,,,,13798,59.0,122.0,1.004,1.008
51,2020-04-16,Austria,,,,,,13848,50.0,86.0,1.004,1.007
52,2020-04-17,Austria,,,,,,13890,42.0,52.0,1.003,1.005
53,2020-04-18,Austria,,,,,,13926,36.0,17.0,1.003,1.005
54,2020-04-19,Austria,,,,,,13955,29.0,53.0,1.002,1.004
55,2020-04-20,Austria,,,,,,13980,25.0,45.0,1.002,1.003
56,2020-04-21,Austria,,,,,,14001,21.0,37.0,1.002,1.003
57,2020-04-22,Austria,,,,,,14018,17.0,31.0,1.001,1.002
58,2020-04-23,Austria,,,,,,14032,14.0,26.0,1.001,1.002
59,2020-04-24,Austria,,,,,,14045,13.0,22.0,1.001,1.002
60,2020-04-25,Austria,,,,,,14055,10.0,18.0,1.001,1.001
61,2020-04-26,Austria,,,,,,14063,8.0,15.0,1.001,1.001
62,2020-04-27,Austria,,,,,,14070,7.0,13.0,1.0,1.001
63,2020-04-28,Austria,,,,,,14076,6.0,11.0,1.0,1.001
64,2020-04-29,Austria,,,,,,14081,5.0,9.0,1.0,1.001
65,2020-04-30,Austria,,,,,,14085,4.0,8.0,1.0,1.0
66,2020-05-01,Austria,,,,,,14089,4.0,6.0,1.0,1.0
67,2020-05-02,Austria,,,,,,14092,3.0,5.0,1.0,1.0
68,2020-05-03,Austria,,,,,,14094,2.0,4.0,1.0,1.0
69,2020-05-04,Austria,,,,,,14096,2.0,4.0,1.0,1.0
70,2020-05-05,Austria,,,,,,14098,2.0,3.0,1.0,1.0
71,2020-05-06,Austria,,,,,,14099,1.0,3.0,1.0,1.0
72,2020-05-07,Austria,,,,,,14100,1.0,2.0,1.0,1.0
73,2020-05-08,Austria,,,,,,14101,1.0,2.0,1.0,1.0
74,2020-05-09,Austria,,,,,,14102,1.0,1.0,1.0,1.0
75,2020-05-10,Austria,,,,,,14103,1.0,1.0,1.0,1.0
76,2020-05-11,Austria,,,,,,14103,0.0,1.0,1.0,1.0
77,2020-05-12,Austria,,,,,,14104,1.0,1.0,1.0,1.0
78,2020-05-13,Austria,,,,,,14104,0.0,1.0,1.0,1.0
79,2020-05-14,Austria,,,,,,14105,1.0,1.0,1.0,1.0
80,2020-05-15,Austria,,,,,,14105,0.0,1.0,1.0,1.0
81,2020-05-16,Austria,,,,,,14105,0.0,0.0,1.0,1.0
82,2020-05-17,Austria,,,,,,14105,0.0,0.0,1.0,1.0
83,2020-05-18,Austria,,,,,,14106,1.0,0.0,1.0,1.0
84,2020-05-19,Austria,,,,,,14106,0.0,0.0,1.0,1.0
85,2020-05-20,Austria,,,,,,14106,0.0,0.0,1.0,1.0
86,2020-05-21,Austria,,,,,,14106,0.0,0.0,1.0,1.0
87,2020-05-22,Austria,,,,,,14106,0.0,0.0,1.0,1.0
