,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-02-04,Belgium,1.0,1.0,,0.0,1.0,38,,,1.0,
1,2020-02-05,Belgium,1.0,0.0,,1.0,1.0,38,0.0,,1.0,
2,2020-02-06,Belgium,1.0,0.0,,1.0,1.0,38,0.0,,1.0,
3,2020-02-07,Belgium,1.0,0.0,,1.0,1.0,38,0.0,,1.0,
4,2020-02-08,Belgium,1.0,0.0,,1.0,1.0,38,0.0,,1.0,
5,2020-02-09,Belgium,1.0,0.0,,1.0,1.0,38,0.0,,1.0,
6,2020-02-10,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,,1.0,1.0
7,2020-02-11,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,0.0,1.0,1.0
8,2020-02-12,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,0.0,1.0,1.0
9,2020-02-13,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,0.0,1.0,1.0
10,2020-02-14,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,0.0,1.0,1.0
11,2020-02-15,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,0.0,1.0,1.0
12,2020-02-16,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,0.0,1.0,1.0
13,2020-02-17,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,0.0,1.0,1.0
14,2020-02-18,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,0.0,1.0,1.0
15,2020-02-19,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,0.0,1.0,1.0
16,2020-02-20,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,0.0,1.0,1.0
17,2020-02-21,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,0.0,1.0,1.0
18,2020-02-22,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,0.0,1.0,1.0
19,2020-02-23,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,0.0,1.0,1.0
20,2020-02-24,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,0.0,1.0,1.0
21,2020-02-25,Belgium,1.0,0.0,0.0,1.0,1.0,38,0.0,0.0,1.0,1.0
22,2020-02-26,Belgium,1.0,0.0,0.0,1.0,1.0,39,1.0,0.0,1.026,1.004
23,2020-02-27,Belgium,1.0,0.0,0.0,1.0,1.0,39,0.0,0.0,1.0,1.004
24,2020-02-28,Belgium,1.0,0.0,0.0,1.0,1.0,39,0.0,0.0,1.0,1.004
25,2020-02-29,Belgium,1.0,0.0,0.0,1.0,1.0,40,1.0,0.0,1.026,1.007
26,2020-03-01,Belgium,2.0,1.0,0.0,2.0,1.143,41,1.0,0.0,1.025,1.011
27,2020-03-02,Belgium,8.0,6.0,1.0,4.0,1.571,42,1.0,1.0,1.024,1.014
28,2020-03-03,Belgium,13.0,5.0,2.0,1.625,1.661,45,3.0,2.0,1.071,1.025
29,2020-03-04,Belgium,23.0,10.0,3.0,1.7690000000000001,1.771,49,4.0,3.0,1.089,1.034
30,2020-03-05,Belgium,50.0,27.0,7.0,2.174,1.9380000000000002,55,6.0,7.0,1.122,1.051
31,2020-03-06,Belgium,109.0,59.0,15.0,2.18,2.1069999999999998,64,9.0,15.0,1.164,1.074
32,2020-03-07,Belgium,169.0,60.0,24.0,1.55,2.185,77,13.0,24.0,1.203,1.1
33,2020-03-08,Belgium,200.0,31.0,28.0,1.183,2.069,96,19.0,28.0,1.247,1.131
34,2020-03-09,Belgium,239.0,39.0,33.0,1.195,1.6680000000000001,124,28.0,33.0,1.292,1.17
35,2020-03-10,Belgium,267.0,28.0,36.0,1.117,1.595,162,38.0,36.0,1.306,1.203
36,2020-03-11,Belgium,314.0,47.0,42.0,1.176,1.511,215,53.0,42.0,1.327,1.237
37,2020-03-12,Belgium,436.0,122.0,55.0,1.389,1.399,287,72.0,55.0,1.335,1.268
38,2020-03-13,Belgium,559.0,123.0,64.0,1.2819999999999998,1.27,383,96.0,64.0,1.334,1.292
39,2020-03-14,Belgium,689.0,130.0,74.0,1.2329999999999999,1.225,509,126.0,74.0,1.329,1.31
40,2020-03-15,Belgium,886.0,197.0,98.0,1.286,1.24,670,161.0,98.0,1.316,1.32
41,2020-03-16,Belgium,1058.0,172.0,117.0,1.194,1.24,875,205.0,117.0,1.306,1.322
42,2020-03-17,Belgium,1243.0,185.0,139.0,1.175,1.248,1130,255.0,139.0,1.291,1.32
43,2020-03-18,Belgium,1486.0,243.0,167.0,1.195,1.251,1442,312.0,167.0,1.276,1.312
44,2020-03-19,Belgium,1795.0,309.0,194.0,1.208,1.225,1819,377.0,194.0,1.261,1.302
45,2020-03-20,Belgium,2257.0,462.0,243.0,1.2570000000000001,1.2209999999999999,2267,448.0,243.0,1.246,1.289
46,2020-03-21,Belgium,2815.0,558.0,304.0,1.247,1.2229999999999999,2793,526.0,304.0,1.232,1.275
47,2020-03-22,Belgium,3401.0,586.0,359.0,1.208,1.212,3400,607.0,359.0,1.217,1.261
48,2020-03-23,Belgium,3835.0,434.0,397.0,1.128,1.203,4093,693.0,397.0,1.204,1.247
49,2020-03-24,Belgium,4269.0,434.0,432.0,1.113,1.194,4873,780.0,432.0,1.191,1.232
50,2020-03-25,Belgium,4937.0,668.0,493.0,1.156,1.188,5740,867.0,493.0,1.178,1.218
51,2020-03-26,Belgium,6235.0,1298.0,634.0,1.263,1.196,6693,953.0,634.0,1.166,1.205
52,2020-03-27,Belgium,7284.0,1049.0,718.0,1.168,1.183,7729,1036.0,718.0,1.155,1.192
53,2020-03-28,Belgium,9134.0,1850.0,903.0,1.254,1.1840000000000002,8843,1114.0,903.0,1.144,1.179
54,2020-03-29,Belgium,10836.0,1702.0,1062.0,1.186,1.181,10029,1186.0,1062.0,1.134,1.167
55,2020-03-30,Belgium,11805.0,969.0,1139.0,1.089,1.176,11278,1249.0,1139.0,1.125,1.156
56,2020-03-31,Belgium,12931.0,1126.0,1237.0,1.095,1.173,12584,1306.0,1237.0,1.116,1.145
57,2020-04-01,Belgium,14061.0,1130.0,1303.0,1.087,1.163,13936,1352.0,1303.0,1.107,1.135
58,2020-04-02,Belgium,15367.0,1306.0,1305.0,1.093,1.139,15325,1389.0,1305.0,1.1,1.126
59,2020-04-03,Belgium,16889.0,1522.0,1372.0,1.099,1.129,16742,1417.0,1372.0,1.092,1.117
60,2020-04-04,Belgium,18230.0,1341.0,1299.0,1.079,1.104,18176,1434.0,1299.0,1.086,1.109
61,2020-04-05,Belgium,19622.0,1392.0,1255.0,1.0759999999999998,1.088,19618,1442.0,1255.0,1.079,1.101
62,2020-04-06,Belgium,20942.0,1320.0,1305.0,1.067,1.085,21059,1441.0,1305.0,1.073,1.093
63,2020-04-07,Belgium,22108.0,1166.0,1311.0,1.056,1.08,22491,1432.0,1311.0,1.068,1.086
64,2020-04-08,Belgium,23588.0,1480.0,1361.0,1.067,1.077,23906,1415.0,1361.0,1.063,1.08
65,2020-04-09,Belgium,25035.0,1447.0,1381.0,1.061,1.072,25296,1390.0,1381.0,1.058,1.074
66,2020-04-10,Belgium,26500.0,1465.0,1373.0,1.0590000000000002,1.0659999999999998,26657,1361.0,1373.0,1.054,1.069
67,2020-04-11,Belgium,28157.0,1657.0,1418.0,1.063,1.064,27982,1325.0,1418.0,1.05,1.064
68,2020-04-12,Belgium,29303.0,1146.0,1383.0,1.041,1.0590000000000002,29268,1286.0,1383.0,1.046,1.059
69,2020-04-13,Belgium,30383.0,1080.0,1349.0,1.037,1.055,30510,1242.0,1349.0,1.042,1.054
70,2020-04-14,Belgium,32081.0,1698.0,1425.0,1.056,1.055,31706,1196.0,1425.0,1.039,1.05
71,2020-04-15,Belgium,33573.0,1492.0,1426.0,1.047,1.052,32854,1148.0,1426.0,1.036,1.046
72,2020-04-16,Belgium,,,,,,33952,1098.0,1274.0,1.033,1.043
73,2020-04-17,Belgium,,,,,,34999,1047.0,1214.0,1.031,1.04
74,2020-04-18,Belgium,,,,,,35995,996.0,1120.0,1.028,1.036
75,2020-04-19,Belgium,,,,,,36941,946.0,1091.0,1.026,1.034
76,2020-04-20,Belgium,,,,,,37836,895.0,1065.0,1.024,1.031
77,2020-04-21,Belgium,,,,,,38682,846.0,943.0,1.022,1.029
78,2020-04-22,Belgium,,,,,,39480,798.0,844.0,1.021,1.026
79,2020-04-23,Belgium,,,,,,40231,751.0,897.0,1.019,1.024
80,2020-04-24,Belgium,,,,,,40936,705.0,848.0,1.018,1.023
81,2020-04-25,Belgium,,,,,,41599,663.0,801.0,1.016,1.021
82,2020-04-26,Belgium,,,,,,42219,620.0,754.0,1.015,1.019
83,2020-04-27,Belgium,,,,,,42799,580.0,709.0,1.014,1.018
84,2020-04-28,Belgium,,,,,,43342,543.0,666.0,1.013,1.017
85,2020-04-29,Belgium,,,,,,43848,506.0,624.0,1.012,1.015
86,2020-04-30,Belgium,,,,,,44321,473.0,584.0,1.011,1.014
87,2020-05-01,Belgium,,,,,,44761,440.0,546.0,1.01,1.013
88,2020-05-02,Belgium,,,,,,45170,409.0,510.0,1.009,1.012
89,2020-05-03,Belgium,,,,,,45551,381.0,476.0,1.008,1.011
90,2020-05-04,Belgium,,,,,,45905,354.0,444.0,1.008,1.01
91,2020-05-05,Belgium,,,,,,46234,329.0,413.0,1.007,1.009
92,2020-05-06,Belgium,,,,,,46539,305.0,384.0,1.007,1.009
93,2020-05-07,Belgium,,,,,,46822,283.0,357.0,1.006,1.008
94,2020-05-08,Belgium,,,,,,47084,262.0,332.0,1.006,1.007
95,2020-05-09,Belgium,,,,,,47327,243.0,308.0,1.005,1.007
96,2020-05-10,Belgium,,,,,,47553,226.0,286.0,1.005,1.006
97,2020-05-11,Belgium,,,,,,47761,208.0,265.0,1.004,1.006
98,2020-05-12,Belgium,,,,,,47954,193.0,246.0,1.004,1.005
