,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-02-19,Iran,2.0,2.0,,0.0,1.0,0,,,1.0,
1,2020-02-20,Iran,5.0,3.0,,2.5,1.145,0,0.0,,0.0,
2,2020-02-21,Iran,18.0,13.0,,3.6,1.5030000000000001,0,0.0,,0.0,
3,2020-02-22,Iran,28.0,10.0,,1.556,1.565,0,0.0,,0.0,
4,2020-02-23,Iran,43.0,15.0,,1.536,1.625,0,0.0,,0.0,
5,2020-02-24,Iran,61.0,18.0,,1.419,1.671,0,0.0,,0.0,
6,2020-02-25,Iran,95.0,34.0,14.0,1.557,1.7380000000000002,4,4.0,,0.0,1.0
7,2020-02-26,Iran,139.0,44.0,20.0,1.463,1.9469999999999998,323,319.0,20.0,80.75,11.536
8,2020-02-27,Iran,245.0,106.0,34.0,1.7630000000000001,1.8419999999999999,664,341.0,34.0,2.056,11.829
9,2020-02-28,Iran,388.0,143.0,53.0,1.584,1.554,1027,363.0,53.0,1.547,12.05
10,2020-02-29,Iran,593.0,205.0,81.0,1.528,1.55,1415,388.0,81.0,1.378,12.247
11,2020-03-01,Iran,978.0,385.0,134.0,1.649,1.5659999999999998,1828,413.0,134.0,1.292,12.432
12,2020-03-02,Iran,1501.0,523.0,206.0,1.535,1.5830000000000002,2269,441.0,206.0,1.241,12.609
13,2020-03-03,Iran,2336.0,835.0,320.0,1.556,1.5830000000000002,2740,471.0,320.0,1.208,12.782
14,2020-03-04,Iran,2922.0,586.0,398.0,1.251,1.5519999999999998,3242,502.0,398.0,1.183,1.415
15,2020-03-05,Iran,3513.0,591.0,467.0,1.202,1.472,3778,536.0,467.0,1.165,1.288
16,2020-03-06,Iran,4747.0,1234.0,623.0,1.351,1.439,4349,571.0,623.0,1.151,1.231
17,2020-03-07,Iran,5823.0,1076.0,747.0,1.227,1.396,4959,610.0,747.0,1.14,1.197
18,2020-03-08,Iran,6566.0,743.0,798.0,1.128,1.321,5609,650.0,798.0,1.131,1.174
19,2020-03-09,Iran,7304.0,738.0,829.0,1.112,1.261,6303,694.0,829.0,1.124,1.157
20,2020-03-10,Iran,8042.0,738.0,815.0,1.101,1.196,7042,739.0,815.0,1.117,1.144
21,2020-03-11,Iran,9000.0,958.0,868.0,1.119,1.177,7831,789.0,868.0,1.112,1.134
22,2020-03-12,Iran,10075.0,1075.0,937.0,1.119,1.165,8673,842.0,937.0,1.108,1.126
23,2020-03-13,Iran,11364.0,1289.0,945.0,1.128,1.133,9570,897.0,945.0,1.103,1.119
24,2020-03-14,Iran,12729.0,1365.0,987.0,1.12,1.1179999999999999,10527,957.0,987.0,1.1,1.114
25,2020-03-15,Iran,13860.0,1131.0,1042.0,1.089,1.113,11547,1020.0,1042.0,1.097,1.109
26,2020-03-16,Iran,15053.0,1193.0,1107.0,1.0859999999999999,1.109,12636,1089.0,1107.0,1.094,1.104
27,2020-03-17,Iran,16176.0,1123.0,1162.0,1.075,1.105,13796,1160.0,1162.0,1.092,1.101
28,2020-03-18,Iran,17288.0,1112.0,1184.0,1.069,1.0979999999999999,15034,1238.0,1184.0,1.09,1.098
29,2020-03-19,Iran,18502.0,1214.0,1204.0,1.07,1.091,16353,1319.0,1204.0,1.088,1.095
30,2020-03-20,Iran,19508.0,1006.0,1163.0,1.054,1.08,17760,1407.0,1163.0,1.086,1.092
31,2020-03-21,Iran,20641.0,1133.0,1130.0,1.058,1.072,19260,1500.0,1130.0,1.084,1.09
32,2020-03-22,Iran,21829.0,1188.0,1138.0,1.058,1.067,20859,1599.0,1138.0,1.083,1.088
33,2020-03-23,Iran,23224.0,1395.0,1167.0,1.064,1.064,22563,1704.0,1167.0,1.082,1.086
34,2020-03-24,Iran,25033.0,1809.0,1265.0,1.078,1.064,24381,1818.0,1265.0,1.081,1.085
35,2020-03-25,Iran,27108.0,2075.0,1403.0,1.083,1.0659999999999998,26319,1938.0,1403.0,1.079,1.083
36,2020-03-26,Iran,29674.0,2566.0,1596.0,1.095,1.07,28384,2065.0,1596.0,1.078,1.082
37,2020-03-27,Iran,32407.0,2733.0,1843.0,1.092,1.075,30586,2202.0,1843.0,1.078,1.081
38,2020-03-28,Iran,35320.0,2913.0,2097.0,1.09,1.08,32933,2347.0,2097.0,1.077,1.08
39,2020-03-29,Iran,38451.0,3131.0,2375.0,1.089,1.084,35434,2501.0,2375.0,1.076,1.079
40,2020-03-30,Iran,41457.0,3006.0,2605.0,1.078,1.0859999999999999,38101,2667.0,2605.0,1.075,1.078
41,2020-03-31,Iran,44544.0,3087.0,2787.0,1.074,1.0859999999999999,40943,2842.0,2787.0,1.075,1.077
42,2020-04-01,Iran,47536.0,2992.0,2918.0,1.067,1.084,43972,3029.0,2918.0,1.074,1.076
43,2020-04-02,Iran,50388.0,2852.0,2959.0,1.06,1.079,47200,3228.0,2959.0,1.073,1.075
44,2020-04-03,Iran,53105.0,2717.0,2957.0,1.054,1.073,50641,3441.0,2957.0,1.073,1.075
45,2020-04-04,Iran,55704.0,2599.0,2912.0,1.0490000000000002,1.067,54307,3666.0,2912.0,1.072,1.074
46,2020-04-05,Iran,58226.0,2522.0,2825.0,1.045,1.061,58214,3907.0,2825.0,1.072,1.073
47,2020-04-06,Iran,,,,,,62378,4164.0,2989.0,1.072,1.073
48,2020-04-07,Iran,,,,,,66814,4436.0,3181.0,1.071,1.072
49,2020-04-08,Iran,,,,,,71542,4728.0,3429.0,1.071,1.072
50,2020-04-09,Iran,,,,,,76579,5037.0,3742.0,1.07,1.072
51,2020-04-10,Iran,,,,,,81946,5367.0,4120.0,1.07,1.071
52,2020-04-11,Iran,,,,,,87664,5718.0,4566.0,1.07,1.071
53,2020-04-12,Iran,,,,,,93756,6092.0,5076.0,1.069,1.07
54,2020-04-13,Iran,,,,,,100246,6490.0,5410.0,1.069,1.07
55,2020-04-14,Iran,,,,,,107161,6915.0,5764.0,1.069,1.07
56,2020-04-15,Iran,,,,,,114526,7365.0,6141.0,1.069,1.069
57,2020-04-16,Iran,,,,,,122373,7847.0,6542.0,1.069,1.069
58,2020-04-17,Iran,,,,,,130731,8358.0,6969.0,1.068,1.069
59,2020-04-18,Iran,,,,,,139635,8904.0,7424.0,1.068,1.069
