,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-31,Italy,2.0,2.0,,0.0,1.0,118,,,1.0,
1,2020-02-01,Italy,2.0,0.0,,1.0,1.0,118,0.0,,1.0,
2,2020-02-02,Italy,2.0,0.0,,1.0,1.0,118,0.0,,1.0,
3,2020-02-03,Italy,2.0,0.0,,1.0,1.0,118,0.0,,1.0,
4,2020-02-04,Italy,2.0,0.0,,1.0,1.0,118,0.0,,1.0,
5,2020-02-05,Italy,2.0,0.0,,1.0,1.0,118,0.0,,1.0,
6,2020-02-06,Italy,2.0,0.0,0.0,1.0,1.0,118,0.0,,1.0,1.0
7,2020-02-07,Italy,3.0,1.0,0.0,1.5,1.071,118,0.0,0.0,1.0,1.0
8,2020-02-08,Italy,3.0,0.0,0.0,1.0,1.071,118,0.0,0.0,1.0,1.0
9,2020-02-09,Italy,3.0,0.0,0.0,1.0,1.071,118,0.0,0.0,1.0,1.0
10,2020-02-10,Italy,3.0,0.0,0.0,1.0,1.071,118,0.0,0.0,1.0,1.0
11,2020-02-11,Italy,3.0,0.0,0.0,1.0,1.071,119,1.0,0.0,1.008,1.001
12,2020-02-12,Italy,3.0,0.0,0.0,1.0,1.071,119,0.0,0.0,1.0,1.001
13,2020-02-13,Italy,3.0,0.0,0.0,1.0,1.071,120,1.0,0.0,1.008,1.002
14,2020-02-14,Italy,3.0,0.0,0.0,1.0,1.0,121,1.0,0.0,1.008,1.003
15,2020-02-15,Italy,3.0,0.0,0.0,1.0,1.0,122,1.0,0.0,1.008,1.005
16,2020-02-16,Italy,3.0,0.0,0.0,1.0,1.0,124,2.0,0.0,1.016,1.007
17,2020-02-17,Italy,3.0,0.0,0.0,1.0,1.0,127,3.0,0.0,1.024,1.01
18,2020-02-18,Italy,3.0,0.0,0.0,1.0,1.0,132,5.0,0.0,1.039,1.015
19,2020-02-19,Italy,3.0,0.0,0.0,1.0,1.0,140,8.0,0.0,1.061,1.023
20,2020-02-20,Italy,11.0,8.0,1.0,3.667,1.381,150,10.0,1.0,1.071,1.032
21,2020-02-21,Italy,20.0,9.0,2.0,1.818,1.4980000000000002,166,16.0,2.0,1.107,1.047
22,2020-02-22,Italy,62.0,42.0,8.0,3.1,1.798,188,22.0,8.0,1.133,1.064
23,2020-02-23,Italy,155.0,93.0,22.0,2.5,2.012,221,33.0,22.0,1.176,1.087
24,2020-02-24,Italy,229.0,74.0,32.0,1.4769999999999999,2.08,267,46.0,32.0,1.208,1.114
25,2020-02-25,Italy,322.0,93.0,46.0,1.406,2.138,331,64.0,46.0,1.24,1.142
26,2020-02-26,Italy,453.0,131.0,64.0,1.4069999999999998,2.1959999999999997,419,88.0,64.0,1.266,1.172
27,2020-02-27,Italy,655.0,202.0,92.0,1.446,1.879,541,122.0,92.0,1.291,1.203
28,2020-02-28,Italy,888.0,233.0,124.0,1.3559999999999999,1.8130000000000002,705,164.0,124.0,1.303,1.231
29,2020-02-29,Italy,1128.0,240.0,152.0,1.27,1.5519999999999998,924,219.0,152.0,1.311,1.256
30,2020-03-01,Italy,1694.0,566.0,220.0,1.5019999999999998,1.409,1213,289.0,220.0,1.313,1.276
31,2020-03-02,Italy,2036.0,342.0,258.0,1.202,1.37,1590,377.0,258.0,1.311,1.291
32,2020-03-03,Italy,2502.0,466.0,311.0,1.229,1.345,2074,484.0,311.0,1.304,1.3
33,2020-03-04,Italy,3089.0,587.0,377.0,1.235,1.32,2687,613.0,377.0,1.296,1.304
34,2020-03-05,Italy,3858.0,769.0,458.0,1.249,1.2919999999999998,3455,768.0,458.0,1.286,1.303
35,2020-03-06,Italy,4636.0,778.0,535.0,1.202,1.27,4404,949.0,535.0,1.275,1.299
36,2020-03-07,Italy,5883.0,1247.0,679.0,1.2690000000000001,1.27,5560,1156.0,679.0,1.262,1.292
37,2020-03-08,Italy,7375.0,1492.0,812.0,1.254,1.234,6951,1391.0,812.0,1.25,1.283
38,2020-03-09,Italy,9172.0,1797.0,1019.0,1.244,1.24,8603,1652.0,1019.0,1.238,1.273
39,2020-03-10,Italy,10817.0,1645.0,1188.0,1.179,1.2329999999999999,10539,1936.0,1188.0,1.225,1.262
40,2020-03-11,Italy,12462.0,1645.0,1339.0,1.1520000000000001,1.2209999999999999,12780,2241.0,1339.0,1.213,1.25
41,2020-03-12,Italy,15061.0,2599.0,1600.0,1.209,1.216,15342,2562.0,1600.0,1.2,1.238
42,2020-03-13,Italy,17660.0,2599.0,1861.0,1.173,1.2109999999999999,18234,2892.0,1861.0,1.189,1.225
43,2020-03-14,Italy,21157.0,3497.0,2182.0,1.198,1.2009999999999998,21463,3229.0,2182.0,1.177,1.213
44,2020-03-15,Italy,24747.0,3590.0,2482.0,1.17,1.189,25025,3562.0,2482.0,1.166,1.201
45,2020-03-16,Italy,27980.0,3233.0,2687.0,1.131,1.173,28912,3887.0,2687.0,1.155,1.189
46,2020-03-17,Italy,31506.0,3526.0,2956.0,1.126,1.166,33108,4196.0,2956.0,1.145,1.178
47,2020-03-18,Italy,35713.0,4207.0,3322.0,1.1340000000000001,1.163,37592,4484.0,3322.0,1.135,1.167
48,2020-03-19,Italy,41035.0,5322.0,3711.0,1.149,1.1540000000000001,42335,4743.0,3711.0,1.126,1.156
49,2020-03-20,Italy,47021.0,5986.0,4194.0,1.146,1.151,47308,4973.0,4194.0,1.117,1.146
50,2020-03-21,Italy,53578.0,6557.0,4632.0,1.139,1.1420000000000001,52474,5166.0,4632.0,1.109,1.136
51,2020-03-22,Italy,58752.0,5174.0,4858.0,1.097,1.1320000000000001,57795,5321.0,4858.0,1.101,1.127
52,2020-03-23,Italy,64157.0,5405.0,5168.0,1.092,1.126,63231,5436.0,5168.0,1.094,1.118
53,2020-03-24,Italy,69156.0,4999.0,5379.0,1.078,1.119,68745,5514.0,5379.0,1.087,1.11
54,2020-03-25,Italy,74882.0,5726.0,5596.0,1.083,1.112,74295,5550.0,5596.0,1.081,1.102
55,2020-03-26,Italy,80442.0,5560.0,5630.0,1.074,1.101,79845,5550.0,5630.0,1.075,1.095
56,2020-03-27,Italy,86530.0,6088.0,5644.0,1.0759999999999998,1.091,85360,5515.0,5644.0,1.069,1.088
57,2020-03-28,Italy,92093.0,5563.0,5502.0,1.064,1.081,90808,5448.0,5502.0,1.064,1.082
58,2020-03-29,Italy,97105.0,5012.0,5479.0,1.054,1.074,96158,5350.0,5479.0,1.059,1.076
59,2020-03-30,Italy,101740.0,4635.0,5369.0,1.048,1.068,101386,5228.0,5369.0,1.054,1.07
60,2020-03-31,Italy,106156.0,4416.0,5286.0,1.043,1.063,106470,5084.0,5286.0,1.05,1.065
61,2020-04-01,Italy,110517.0,4361.0,5091.0,1.041,1.057,111391,4921.0,5091.0,1.046,1.06
62,2020-04-02,Italy,115200.0,4683.0,4965.0,1.042,1.053,116134,4743.0,4965.0,1.043,1.055
63,2020-04-03,Italy,119937.0,4737.0,4772.0,1.041,1.048,120687,4553.0,4772.0,1.039,1.051
64,2020-04-04,Italy,124387.0,4450.0,4613.0,1.037,1.044,125043,4356.0,4613.0,1.036,1.047
65,2020-04-05,Italy,128589.0,4202.0,4498.0,1.034,1.041,129196,4153.0,4498.0,1.033,1.043
66,2020-04-06,Italy,132267.0,3678.0,4361.0,1.0290000000000001,1.038,133142,3946.0,4361.0,1.031,1.04
67,2020-04-07,Italy,135984.0,3717.0,4261.0,1.028,1.036,136882,3740.0,4261.0,1.028,1.037
68,2020-04-08,Italy,139606.0,3622.0,4156.0,1.0270000000000001,1.034,140416,3534.0,4156.0,1.026,1.034
69,2020-04-09,Italy,143499.0,3893.0,4043.0,1.028,1.032,143748,3332.0,4043.0,1.024,1.031
70,2020-04-10,Italy,147948.0,4449.0,4002.0,1.031,1.031,146882,3134.0,4002.0,1.022,1.029
71,2020-04-11,Italy,151970.0,4022.0,3940.0,1.0270000000000001,1.0290000000000001,149823,2941.0,3940.0,1.02,1.026
72,2020-04-12,Italy,156363.0,4393.0,3968.0,1.0290000000000001,1.028,152578,2755.0,3968.0,1.018,1.024
73,2020-04-13,Italy,,,,,,155154,2576.0,3270.0,1.017,1.022
74,2020-04-14,Italy,,,,,,157559,2405.0,3082.0,1.016,1.02
75,2020-04-15,Italy,,,,,,159801,2242.0,2885.0,1.014,1.019
76,2020-04-16,Italy,,,,,,161887,2086.0,2627.0,1.013,1.017
77,2020-04-17,Italy,,,,,,163826,1939.0,2268.0,1.012,1.016
78,2020-04-18,Italy,,,,,,165626,1800.0,1951.0,1.011,1.014
79,2020-04-19,Italy,,,,,,167296,1670.0,1562.0,1.01,1.013
80,2020-04-20,Italy,,,,,,168843,1547.0,1956.0,1.009,1.012
81,2020-04-21,Italy,,,,,,170275,1432.0,1817.0,1.008,1.011
82,2020-04-22,Italy,,,,,,171599,1324.0,1685.0,1.008,1.01
83,2020-04-23,Italy,,,,,,172822,1223.0,1562.0,1.007,1.009
84,2020-04-24,Italy,,,,,,173952,1130.0,1447.0,1.007,1.009
85,2020-04-25,Italy,,,,,,174995,1043.0,1338.0,1.006,1.008
86,2020-04-26,Italy,,,,,,175957,962.0,1237.0,1.005,1.007
87,2020-04-27,Italy,,,,,,176843,886.0,1143.0,1.005,1.007
88,2020-04-28,Italy,,,,,,177660,817.0,1055.0,1.005,1.006
89,2020-04-29,Italy,,,,,,178412,752.0,973.0,1.004,1.006
90,2020-04-30,Italy,,,,,,179104,692.0,897.0,1.004,1.005
91,2020-05-01,Italy,,,,,,179741,637.0,827.0,1.004,1.005
92,2020-05-02,Italy,,,,,,180327,586.0,762.0,1.003,1.004
93,2020-05-03,Italy,,,,,,180866,539.0,701.0,1.003,1.004
94,2020-05-04,Italy,,,,,,181361,495.0,645.0,1.003,1.004
95,2020-05-05,Italy,,,,,,181816,455.0,594.0,1.003,1.003
96,2020-05-06,Italy,,,,,,182234,418.0,546.0,1.002,1.003
97,2020-05-07,Italy,,,,,,182618,384.0,502.0,1.002,1.003
98,2020-05-08,Italy,,,,,,182970,352.0,461.0,1.002,1.003
99,2020-05-09,Italy,,,,,,183294,324.0,424.0,1.002,1.002
100,2020-05-10,Italy,,,,,,183591,297.0,389.0,1.002,1.002
101,2020-05-11,Italy,,,,,,183863,272.0,357.0,1.001,1.002
102,2020-05-12,Italy,,,,,,184114,251.0,328.0,1.001,1.002
103,2020-05-13,Italy,,,,,,184343,229.0,301.0,1.001,1.002
104,2020-05-14,Italy,,,,,,184554,211.0,277.0,1.001,1.001
105,2020-05-15,Italy,,,,,,184747,193.0,254.0,1.001,1.001
106,2020-05-16,Italy,,,,,,184924,177.0,233.0,1.001,1.001
107,2020-05-17,Italy,,,,,,185087,163.0,214.0,1.001,1.001
108,2020-05-18,Italy,,,,,,185236,149.0,196.0,1.001,1.001
109,2020-05-19,Italy,,,,,,185372,136.0,180.0,1.001,1.001
110,2020-05-20,Italy,,,,,,185497,125.0,165.0,1.001,1.001
111,2020-05-21,Italy,,,,,,185612,115.0,151.0,1.001,1.001
112,2020-05-22,Italy,,,,,,185718,106.0,139.0,1.001,1.001
113,2020-05-23,Italy,,,,,,185814,96.0,127.0,1.001,1.001
114,2020-05-24,Italy,,,,,,185903,89.0,117.0,1.0,1.001
115,2020-05-25,Italy,,,,,,185984,81.0,107.0,1.0,1.001
116,2020-05-26,Italy,,,,,,186058,74.0,98.0,1.0,1.001
117,2020-05-27,Italy,,,,,,186126,68.0,90.0,1.0,1.0
118,2020-05-28,Italy,,,,,,186188,62.0,82.0,1.0,1.0
119,2020-05-29,Italy,,,,,,186246,58.0,75.0,1.0,1.0
120,2020-05-30,Italy,,,,,,186298,52.0,69.0,1.0,1.0
121,2020-05-31,Italy,,,,,,186346,48.0,63.0,1.0,1.0
122,2020-06-01,Italy,,,,,,186390,44.0,58.0,1.0,1.0
123,2020-06-02,Italy,,,,,,186431,41.0,53.0,1.0,1.0
124,2020-06-03,Italy,,,,,,186467,36.0,49.0,1.0,1.0
125,2020-06-04,Italy,,,,,,186501,34.0,45.0,1.0,1.0
126,2020-06-05,Italy,,,,,,186532,31.0,41.0,1.0,1.0
