,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-23,Singapore,1.0,1.0,,0.0,1.0,30,,,1.0,
1,2020-01-24,Singapore,3.0,2.0,,3.0,1.1520000000000001,30,0.0,,1.0,
2,2020-01-25,Singapore,3.0,0.0,,1.0,1.15,31,1.0,,1.033,
3,2020-01-26,Singapore,4.0,1.0,,1.3330000000000002,1.196,31,0.0,,1.0,
4,2020-01-27,Singapore,5.0,1.0,,1.25,1.23,31,0.0,,1.0,
5,2020-01-28,Singapore,7.0,2.0,,1.4,1.285,32,1.0,,1.032,
6,2020-01-29,Singapore,8.0,1.0,1.0,1.143,1.304,32,0.0,,1.0,1.009
7,2020-01-30,Singapore,10.0,2.0,1.0,1.25,1.482,33,1.0,1.0,1.031,1.014
8,2020-01-31,Singapore,13.0,3.0,1.0,1.3,1.239,33,0.0,1.0,1.0,1.014
9,2020-02-01,Singapore,16.0,3.0,2.0,1.2309999999999999,1.272,34,1.0,2.0,1.03,1.013
10,2020-02-02,Singapore,18.0,2.0,2.0,1.125,1.2429999999999999,34,0.0,2.0,1.0,1.013
11,2020-02-03,Singapore,21.0,3.0,2.0,1.167,1.2309999999999999,35,1.0,2.0,1.029,1.017
12,2020-02-04,Singapore,24.0,3.0,2.0,1.143,1.194,35,0.0,2.0,1.0,1.013
13,2020-02-05,Singapore,28.0,4.0,3.0,1.167,1.198,36,1.0,3.0,1.029,1.017
14,2020-02-06,Singapore,29.0,1.0,3.0,1.036,1.167,37,1.0,3.0,1.028,1.017
15,2020-02-07,Singapore,30.0,1.0,2.0,1.034,1.129,38,1.0,2.0,1.027,1.02
16,2020-02-08,Singapore,35.0,5.0,3.0,1.167,1.12,39,1.0,3.0,1.026,1.02
17,2020-02-09,Singapore,40.0,5.0,3.0,1.143,1.122,40,1.0,3.0,1.026,1.024
18,2020-02-10,Singapore,45.0,5.0,3.0,1.125,1.1159999999999999,41,1.0,3.0,1.025,1.023
19,2020-02-11,Singapore,47.0,2.0,3.0,1.044,1.102,42,1.0,3.0,1.024,1.026
20,2020-02-12,Singapore,52.0,5.0,3.0,1.1059999999999999,1.094,43,1.0,3.0,1.024,1.026
21,2020-02-13,Singapore,58.0,6.0,4.0,1.115,1.105,45,2.0,4.0,1.047,1.028
22,2020-02-14,Singapore,67.0,9.0,5.0,1.155,1.122,46,1.0,5.0,1.022,1.028
23,2020-02-15,Singapore,71.0,4.0,5.0,1.06,1.107,48,2.0,5.0,1.043,1.03
24,2020-02-16,Singapore,74.0,3.0,5.0,1.042,1.092,50,2.0,5.0,1.042,1.032
25,2020-02-17,Singapore,78.0,4.0,5.0,1.054,1.082,52,2.0,5.0,1.04,1.035
26,2020-02-18,Singapore,80.0,2.0,5.0,1.026,1.08,54,2.0,5.0,1.038,1.037
27,2020-02-19,Singapore,82.0,2.0,4.0,1.025,1.068,56,2.0,4.0,1.037,1.038
28,2020-02-20,Singapore,84.0,2.0,4.0,1.024,1.055,59,3.0,4.0,1.054,1.039
29,2020-02-21,Singapore,84.0,0.0,2.0,1.0,1.033,62,3.0,2.0,1.051,1.044
30,2020-02-22,Singapore,87.0,3.0,2.0,1.036,1.03,65,3.0,2.0,1.048,1.044
31,2020-02-23,Singapore,87.0,0.0,2.0,1.0,1.024,69,4.0,2.0,1.062,1.047
32,2020-02-24,Singapore,90.0,3.0,2.0,1.034,1.021,72,3.0,2.0,1.043,1.048
33,2020-02-25,Singapore,91.0,1.0,2.0,1.011,1.0190000000000001,76,4.0,2.0,1.056,1.05
34,2020-02-26,Singapore,92.0,1.0,1.0,1.011,1.0170000000000001,81,5.0,1.0,1.066,1.054
35,2020-02-27,Singapore,93.0,1.0,1.0,1.011,1.015,86,5.0,1.0,1.062,1.055
36,2020-02-28,Singapore,97.0,4.0,2.0,1.043,1.021,91,5.0,2.0,1.058,1.056
37,2020-02-29,Singapore,99.0,2.0,2.0,1.021,1.0190000000000001,97,6.0,2.0,1.066,1.059
38,2020-03-01,Singapore,105.0,6.0,3.0,1.061,1.0270000000000001,103,6.0,3.0,1.062,1.059
39,2020-03-02,Singapore,108.0,3.0,3.0,1.0290000000000001,1.0270000000000001,110,7.0,3.0,1.068,1.063
40,2020-03-03,Singapore,109.0,1.0,3.0,1.0090000000000001,1.026,117,7.0,3.0,1.064,1.064
41,2020-03-04,Singapore,113.0,4.0,3.0,1.037,1.03,125,8.0,3.0,1.068,1.064
42,2020-03-05,Singapore,120.0,7.0,4.0,1.062,1.037,134,9.0,4.0,1.072,1.065
43,2020-03-06,Singapore,130.0,10.0,5.0,1.083,1.043,144,10.0,5.0,1.075,1.068
44,2020-03-07,Singapore,140.0,10.0,6.0,1.077,1.051,154,10.0,6.0,1.069,1.068
45,2020-03-08,Singapore,144.0,4.0,6.0,1.0290000000000001,1.047,166,12.0,6.0,1.078,1.071
46,2020-03-09,Singapore,155.0,11.0,7.0,1.0759999999999998,1.053,178,12.0,7.0,1.072,1.071
47,2020-03-10,Singapore,164.0,9.0,8.0,1.058,1.06,192,14.0,8.0,1.079,1.073
48,2020-03-11,Singapore,178.0,14.0,9.0,1.085,1.067,206,14.0,9.0,1.073,1.074
49,2020-03-12,Singapore,189.0,11.0,10.0,1.062,1.067,222,16.0,10.0,1.078,1.075
50,2020-03-13,Singapore,200.0,11.0,10.0,1.058,1.064,239,17.0,10.0,1.077,1.075
51,2020-03-14,Singapore,213.0,13.0,10.0,1.065,1.062,258,19.0,10.0,1.079,1.077
52,2020-03-15,Singapore,227.0,14.0,12.0,1.0659999999999998,1.067,279,21.0,12.0,1.081,1.077
53,2020-03-16,Singapore,246.0,19.0,13.0,1.084,1.068,301,22.0,13.0,1.079,1.078
54,2020-03-17,Singapore,278.0,32.0,16.0,1.13,1.079,325,24.0,16.0,1.08,1.078
55,2020-03-18,Singapore,313.0,35.0,19.0,1.126,1.084,351,26.0,19.0,1.08,1.079
56,2020-03-19,Singapore,349.0,36.0,23.0,1.115,1.092,379,28.0,23.0,1.08,1.079
57,2020-03-20,Singapore,385.0,36.0,26.0,1.103,1.0979999999999999,410,31.0,26.0,1.082,1.08
58,2020-03-21,Singapore,432.0,47.0,31.0,1.122,1.107,443,33.0,31.0,1.08,1.08
59,2020-03-22,Singapore,470.0,38.0,35.0,1.088,1.11,479,36.0,35.0,1.081,1.08
