,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-31,Sweden,1.0,1.0,,0.0,1.0,0,,,1.0,
1,2020-02-01,Sweden,1.0,0.0,,1.0,1.0,0,0.0,,0.0,
2,2020-02-02,Sweden,1.0,0.0,,1.0,1.0,0,0.0,,0.0,
3,2020-02-03,Sweden,1.0,0.0,,1.0,1.0,0,0.0,,0.0,
4,2020-02-04,Sweden,1.0,0.0,,1.0,1.0,0,0.0,,0.0,
5,2020-02-05,Sweden,1.0,0.0,,1.0,1.0,0,0.0,,0.0,
6,2020-02-06,Sweden,1.0,0.0,0.0,1.0,1.0,0,0.0,,0.0,1.0
7,2020-02-07,Sweden,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0
8,2020-02-08,Sweden,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0
9,2020-02-09,Sweden,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0
10,2020-02-10,Sweden,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0
11,2020-02-11,Sweden,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0
12,2020-02-12,Sweden,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0
13,2020-02-13,Sweden,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0
14,2020-02-14,Sweden,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0
15,2020-02-15,Sweden,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0
16,2020-02-16,Sweden,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0
17,2020-02-17,Sweden,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0
18,2020-02-18,Sweden,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0
19,2020-02-19,Sweden,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0
20,2020-02-20,Sweden,1.0,0.0,0.0,1.0,1.0,2,2.0,0.0,0.0,1.0
21,2020-02-21,Sweden,1.0,0.0,0.0,1.0,1.0,9,7.0,0.0,4.5,1.0
22,2020-02-22,Sweden,1.0,0.0,0.0,1.0,1.0,18,9.0,0.0,2.0,1.0
23,2020-02-23,Sweden,1.0,0.0,0.0,1.0,1.0,28,10.0,0.0,1.556,1.151
24,2020-02-24,Sweden,1.0,0.0,0.0,1.0,1.0,40,12.0,0.0,1.429,1.355
25,2020-02-25,Sweden,1.0,0.0,0.0,1.0,1.0,52,12.0,0.0,1.3,1.541
26,2020-02-26,Sweden,2.0,1.0,0.0,2.0,1.143,66,14.0,0.0,1.269,1.722
27,2020-02-27,Sweden,7.0,5.0,1.0,3.5,1.5,82,16.0,1.0,1.242,1.899
28,2020-02-28,Sweden,9.0,2.0,1.0,1.286,1.541,100,18.0,1.0,1.22,1.431
29,2020-02-29,Sweden,12.0,3.0,2.0,1.3330000000000002,1.588,120,20.0,2.0,1.2,1.317
30,2020-03-01,Sweden,14.0,2.0,2.0,1.167,1.6119999999999999,143,23.0,2.0,1.192,1.265
31,2020-03-02,Sweden,17.0,3.0,2.0,1.214,1.643,168,25.0,2.0,1.175,1.228
32,2020-03-03,Sweden,21.0,4.0,3.0,1.235,1.676,196,28.0,3.0,1.167,1.209
33,2020-03-04,Sweden,35.0,14.0,5.0,1.6669999999999998,1.629,228,32.0,5.0,1.163,1.194
34,2020-03-05,Sweden,94.0,59.0,12.0,2.6860000000000004,1.5130000000000001,264,36.0,12.0,1.158,1.182
35,2020-03-06,Sweden,127.0,33.0,17.0,1.351,1.5219999999999998,304,40.0,17.0,1.152,1.172
36,2020-03-07,Sweden,161.0,34.0,21.0,1.268,1.5130000000000001,349,45.0,21.0,1.148,1.165
37,2020-03-08,Sweden,203.0,42.0,27.0,1.261,1.526,399,50.0,27.0,1.143,1.158
38,2020-03-09,Sweden,248.0,45.0,33.0,1.222,1.527,455,56.0,33.0,1.14,1.153
39,2020-03-10,Sweden,355.0,107.0,48.0,1.431,1.555,517,62.0,48.0,1.136,1.149
40,2020-03-11,Sweden,500.0,145.0,66.0,1.4080000000000001,1.518,587,70.0,66.0,1.135,1.145
41,2020-03-12,Sweden,599.0,99.0,72.0,1.198,1.306,665,78.0,72.0,1.133,1.141
42,2020-03-13,Sweden,814.0,215.0,98.0,1.359,1.307,752,87.0,98.0,1.131,1.138
43,2020-03-14,Sweden,961.0,147.0,114.0,1.181,1.294,849,97.0,114.0,1.129,1.135
44,2020-03-15,Sweden,1032.0,71.0,118.0,1.074,1.268,956,107.0,118.0,1.126,1.133
45,2020-03-16,Sweden,1106.0,74.0,123.0,1.072,1.246,1075,119.0,123.0,1.124,1.131
46,2020-03-17,Sweden,1191.0,85.0,119.0,1.077,1.196,1207,132.0,119.0,1.123,1.129
47,2020-03-18,Sweden,1314.0,123.0,116.0,1.103,1.1520000000000001,1353,146.0,116.0,1.121,1.127
48,2020-03-19,Sweden,1439.0,125.0,120.0,1.095,1.137,1515,162.0,120.0,1.12,1.125
49,2020-03-20,Sweden,1639.0,200.0,118.0,1.139,1.1059999999999999,1692,177.0,118.0,1.117,1.123
50,2020-03-21,Sweden,1786.0,147.0,118.0,1.09,1.093,1887,195.0,118.0,1.115,1.121
51,2020-03-22,Sweden,1904.0,118.0,125.0,1.0659999999999998,1.092,2101,214.0,125.0,1.113,1.119
52,2020-03-23,Sweden,2110.0,206.0,143.0,1.1079999999999999,1.097,2335,234.0,143.0,1.111,1.117
53,2020-03-24,Sweden,2286.0,176.0,156.0,1.083,1.0979999999999999,2590,255.0,156.0,1.109,1.115
54,2020-03-25,Sweden,2563.0,277.0,178.0,1.121,1.1,2866,276.0,178.0,1.107,1.113
55,2020-03-26,Sweden,2840.0,277.0,200.0,1.1079999999999999,1.102,3166,300.0,200.0,1.105,1.111
56,2020-03-27,Sweden,3143.0,303.0,215.0,1.107,1.0979999999999999,3488,322.0,215.0,1.102,1.109
57,2020-03-28,Sweden,3447.0,304.0,237.0,1.097,1.099,3834,346.0,237.0,1.099,1.107
58,2020-03-29,Sweden,3737.0,290.0,262.0,1.084,1.101,4204,370.0,262.0,1.097,1.104
59,2020-03-30,Sweden,4067.0,330.0,280.0,1.088,1.0979999999999999,4598,394.0,280.0,1.094,1.102
60,2020-03-31,Sweden,4487.0,420.0,314.0,1.103,1.101,5014,416.0,314.0,1.09,1.099
61,2020-04-01,Sweden,4947.0,460.0,341.0,1.103,1.099,5452,438.0,341.0,1.087,1.096
62,2020-04-02,Sweden,5568.0,621.0,390.0,1.126,1.101,5910,458.0,390.0,1.084,1.093
63,2020-04-03,Sweden,6005.0,437.0,409.0,1.078,1.097,6386,476.0,409.0,1.081,1.09
64,2020-04-04,Sweden,6480.0,475.0,433.0,1.079,1.094,6879,493.0,433.0,1.077,1.087
65,2020-04-05,Sweden,6824.0,344.0,441.0,1.053,1.09,7385,506.0,441.0,1.074,1.084
66,2020-04-06,Sweden,7261.0,437.0,456.0,1.064,1.087,7902,517.0,456.0,1.07,1.08
67,2020-04-07,Sweden,7812.0,551.0,475.0,1.0759999999999998,1.083,8426,524.0,475.0,1.066,1.077
68,2020-04-08,Sweden,8417.0,605.0,496.0,1.077,1.079,8954,528.0,496.0,1.063,1.074
69,2020-04-09,Sweden,9052.0,635.0,498.0,1.075,1.072,9482,528.0,498.0,1.059,1.07
70,2020-04-10,Sweden,9646.0,594.0,520.0,1.0659999999999998,1.07,10007,525.0,520.0,1.055,1.066
71,2020-04-11,Sweden,10084.0,438.0,515.0,1.045,1.065,10525,518.0,515.0,1.052,1.063
72,2020-04-12,Sweden,10549.0,465.0,532.0,1.046,1.064,11034,509.0,532.0,1.048,1.059
73,2020-04-13,Sweden,10964.0,415.0,529.0,1.0390000000000001,1.061,11529,495.0,529.0,1.045,1.055
74,2020-04-14,Sweden,11445.0,481.0,519.0,1.044,1.056,12009,480.0,519.0,1.042,1.052
75,2020-04-15,Sweden,,,,,,12472,463.0,579.0,1.039,1.049
76,2020-04-16,Sweden,,,,,,12914,442.0,552.0,1.035,1.045
77,2020-04-17,Sweden,,,,,,13335,421.0,527.0,1.033,1.042
78,2020-04-18,Sweden,,,,,,13734,399.0,521.0,1.03,1.039
79,2020-04-19,Sweden,,,,,,14110,376.0,509.0,1.027,1.036
80,2020-04-20,Sweden,,,,,,14462,352.0,500.0,1.025,1.033
81,2020-04-21,Sweden,,,,,,14791,329.0,478.0,1.023,1.03
82,2020-04-22,Sweden,,,,,,15097,306.0,375.0,1.021,1.028
83,2020-04-23,Sweden,,,,,,15381,284.0,352.0,1.019,1.025
84,2020-04-24,Sweden,,,,,,15642,261.0,330.0,1.017,1.023
85,2020-04-25,Sweden,,,,,,15883,241.0,307.0,1.015,1.021
86,2020-04-26,Sweden,,,,,,16104,221.0,285.0,1.014,1.019
87,2020-04-27,Sweden,,,,,,16305,201.0,263.0,1.012,1.017
88,2020-04-28,Sweden,,,,,,16490,185.0,243.0,1.011,1.016
89,2020-04-29,Sweden,,,,,,16657,167.0,223.0,1.01,1.014
90,2020-04-30,Sweden,,,,,,16810,153.0,204.0,1.009,1.013
91,2020-05-01,Sweden,,,,,,16948,138.0,187.0,1.008,1.011
