,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-02-25,Switzerland,1.0,1.0,,0.0,1.0,98,,,1.0,
1,2020-02-26,Switzerland,4.0,3.0,,4.0,1.31,98,0.0,,1.0,
2,2020-02-27,Switzerland,8.0,4.0,,2.0,1.445,98,0.0,,1.0,
3,2020-02-28,Switzerland,13.0,5.0,,1.625,1.5319999999999998,98,0.0,,1.0,
4,2020-02-29,Switzerland,18.0,5.0,,1.385,1.58,98,0.0,,1.0,
5,2020-03-01,Switzerland,27.0,9.0,,1.5,1.649,98,0.0,,1.0,
6,2020-03-02,Switzerland,42.0,15.0,6.0,1.556,1.724,99,1.0,,1.01,1.001
7,2020-03-03,Switzerland,56.0,14.0,8.0,1.3330000000000002,1.9140000000000001,101,2.0,8.0,1.02,1.004
8,2020-03-04,Switzerland,90.0,34.0,12.0,1.607,1.5719999999999998,104,3.0,12.0,1.03,1.009
9,2020-03-05,Switzerland,114.0,24.0,15.0,1.2670000000000001,1.4680000000000002,111,7.0,15.0,1.067,1.018
10,2020-03-06,Switzerland,214.0,100.0,29.0,1.8769999999999998,1.504,123,12.0,29.0,1.108,1.034
11,2020-03-07,Switzerland,268.0,54.0,36.0,1.252,1.485,143,20.0,36.0,1.163,1.057
12,2020-03-08,Switzerland,337.0,69.0,44.0,1.2570000000000001,1.45,177,34.0,44.0,1.238,1.091
13,2020-03-09,Switzerland,414.0,77.0,53.0,1.228,1.403,230,53.0,53.0,1.299,1.132
14,2020-03-10,Switzerland,491.0,77.0,62.0,1.186,1.382,309,79.0,62.0,1.343,1.178
15,2020-03-11,Switzerland,652.0,161.0,80.0,1.328,1.3419999999999999,425,116.0,80.0,1.375,1.228
16,2020-03-12,Switzerland,895.0,243.0,112.0,1.3730000000000002,1.357,586,161.0,112.0,1.379,1.272
17,2020-03-13,Switzerland,1139.0,244.0,132.0,1.273,1.271,803,217.0,132.0,1.37,1.31
18,2020-03-14,Switzerland,1359.0,220.0,156.0,1.193,1.263,1086,283.0,156.0,1.352,1.337
19,2020-03-15,Switzerland,2200.0,841.0,266.0,1.619,1.314,1444,358.0,266.0,1.33,1.35
20,2020-03-16,Switzerland,2450.0,250.0,291.0,1.114,1.298,1886,442.0,291.0,1.306,1.351
21,2020-03-17,Switzerland,2700.0,250.0,316.0,1.102,1.286,2415,529.0,316.0,1.28,1.342
22,2020-03-18,Switzerland,3028.0,328.0,339.0,1.121,1.256,3035,620.0,339.0,1.257,1.325
23,2020-03-19,Switzerland,4075.0,1047.0,454.0,1.3459999999999999,1.253,3744,709.0,454.0,1.234,1.304
24,2020-03-20,Switzerland,5294.0,1219.0,594.0,1.2990000000000002,1.256,4540,796.0,594.0,1.213,1.282
25,2020-03-21,Switzerland,6575.0,1281.0,745.0,1.242,1.263,5417,877.0,745.0,1.193,1.259
26,2020-03-22,Switzerland,7685.0,1110.0,784.0,1.169,1.199,6365,948.0,784.0,1.175,1.237
27,2020-03-23,Switzerland,8795.0,1110.0,906.0,1.1440000000000001,1.203,7374,1009.0,906.0,1.159,1.216
28,2020-03-24,Switzerland,9877.0,1082.0,1025.0,1.123,1.206,8433,1059.0,1025.0,1.144,1.196
29,2020-03-25,Switzerland,10844.0,967.0,1117.0,1.0979999999999999,1.203,9530,1097.0,1117.0,1.13,1.178
30,2020-03-26,Switzerland,11912.0,1068.0,1120.0,1.0979999999999999,1.168,10652,1122.0,1120.0,1.118,1.162
31,2020-03-27,Switzerland,12943.0,1031.0,1093.0,1.087,1.137,11787,1135.0,1093.0,1.107,1.147
32,2020-03-28,Switzerland,13878.0,935.0,1043.0,1.072,1.113,12924,1137.0,1043.0,1.096,1.133
33,2020-03-29,Switzerland,14999.0,1121.0,1045.0,1.081,1.1,14051,1127.0,1045.0,1.087,1.12
34,2020-03-30,Switzerland,15717.0,718.0,989.0,1.048,1.087,15161,1110.0,989.0,1.079,1.109
35,2020-03-31,Switzerland,16845.0,1128.0,995.0,1.072,1.079,16243,1082.0,995.0,1.071,1.098
36,2020-04-01,Switzerland,17716.0,871.0,982.0,1.052,1.073,17293,1050.0,982.0,1.065,1.089
37,2020-04-02,Switzerland,18687.0,971.0,968.0,1.055,1.067,18303,1010.0,968.0,1.058,1.08
38,2020-04-03,Switzerland,19666.0,979.0,960.0,1.052,1.062,19271,968.0,960.0,1.053,1.073
39,2020-04-04,Switzerland,20353.0,687.0,925.0,1.035,1.056,20193,922.0,925.0,1.048,1.066
40,2020-04-05,Switzerland,21081.0,728.0,869.0,1.036,1.05,21067,874.0,869.0,1.043,1.06
41,2020-04-06,Switzerland,21676.0,595.0,851.0,1.028,1.047,21892,825.0,851.0,1.039,1.054
42,2020-04-07,Switzerland,22468.0,792.0,803.0,1.037,1.042,22667,775.0,803.0,1.035,1.049
43,2020-04-08,Switzerland,23152.0,684.0,777.0,1.03,1.0390000000000001,23394,727.0,777.0,1.032,1.044
44,2020-04-09,Switzerland,23915.0,763.0,747.0,1.033,1.036,24072,678.0,747.0,1.029,1.04
45,2020-04-10,Switzerland,24579.0,664.0,702.0,1.028,1.032,24703,631.0,702.0,1.026,1.036
46,2020-04-11,Switzerland,24983.0,404.0,661.0,1.016,1.03,25290,587.0,661.0,1.024,1.033
47,2020-04-12,Switzerland,25397.0,414.0,617.0,1.0170000000000001,1.0270000000000001,25833,543.0,617.0,1.021,1.029
48,2020-04-13,Switzerland,25675.0,278.0,571.0,1.011,1.025,26334,501.0,571.0,1.019,1.027
49,2020-04-14,Switzerland,26012.0,337.0,506.0,1.013,1.021,26797,463.0,506.0,1.018,1.024
50,2020-04-15,Switzerland,26334.0,322.0,455.0,1.012,1.0190000000000001,27223,426.0,455.0,1.016,1.022
51,2020-04-16,Switzerland,26707.0,373.0,399.0,1.014,1.016,27615,392.0,399.0,1.014,1.02
