,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-03-11,Turkey,1.0,1.0,,0.0,1.0,,,,,
1,2020-03-12,Turkey,3.0,2.0,,3.0,1.158,,,,,
2,2020-03-13,Turkey,5.0,2.0,,1.6669999999999998,1.248,,,,,
3,2020-03-14,Turkey,5.0,0.0,,1.0,1.245,,,,,
4,2020-03-15,Turkey,6.0,1.0,,1.2,1.272,,,,,
5,2020-03-16,Turkey,18.0,12.0,,3.0,1.555,,,,,
6,2020-03-17,Turkey,47.0,29.0,7.0,2.611,1.7830000000000001,,,,,
7,2020-03-18,Turkey,98.0,51.0,14.0,2.085,2.08,,,14.0,,
8,2020-03-19,Turkey,192.0,94.0,27.0,1.959,1.932,,,27.0,,
9,2020-03-20,Turkey,359.0,167.0,51.0,1.87,1.9609999999999999,,,51.0,,
10,2020-03-21,Turkey,670.0,311.0,95.0,1.8659999999999999,2.084,,,95.0,,
11,2020-03-22,Turkey,1236.0,566.0,176.0,1.845,2.177,,,176.0,,
12,2020-03-23,Turkey,1529.0,293.0,216.0,1.237,1.925,,,216.0,,
13,2020-03-24,Turkey,1872.0,343.0,261.0,1.224,1.7269999999999999,,,261.0,,
14,2020-03-25,Turkey,2433.0,561.0,334.0,1.3,1.614,,,334.0,,
15,2020-03-26,Turkey,3629.0,1196.0,491.0,1.492,1.548,,,491.0,,
16,2020-03-27,Turkey,5698.0,2069.0,763.0,1.57,1.505,,,763.0,,
17,2020-03-28,Turkey,7402.0,1704.0,962.0,1.2990000000000002,1.4240000000000002,,,962.0,,
18,2020-03-29,Turkey,9217.0,1815.0,1140.0,1.245,1.338,,,1140.0,,
19,2020-03-30,Turkey,10827.0,1610.0,1328.0,1.175,1.329,,,1328.0,,
20,2020-03-31,Turkey,13531.0,2704.0,1666.0,1.25,1.3330000000000002,,,1666.0,,
21,2020-04-01,Turkey,15679.0,2148.0,1892.0,1.159,1.3130000000000002,18888.0,,1892.0,,
22,2020-04-02,Turkey,18135.0,2456.0,2072.0,1.157,1.265,21101.0,2213.0,2072.0,1.117,
23,2020-04-03,Turkey,20921.0,2786.0,2175.0,1.1540000000000001,1.206,23751.0,2650.0,2175.0,1.126,
24,2020-04-04,Turkey,23934.0,3013.0,2362.0,1.1440000000000001,1.183,26837.0,3086.0,2362.0,1.13,
25,2020-04-05,Turkey,27069.0,3135.0,2550.0,1.131,1.167,30334.0,3497.0,2550.0,1.13,
26,2020-04-06,Turkey,30217.0,3148.0,2770.0,1.1159999999999999,1.159,34190.0,3856.0,2770.0,1.127,
27,2020-04-07,Turkey,34109.0,3892.0,2940.0,1.129,1.141,38336.0,4146.0,2940.0,1.121,
28,2020-04-08,Turkey,38226.0,4117.0,3221.0,1.121,1.136,42696.0,4360.0,3221.0,1.114,1.124
29,2020-04-09,Turkey,42627.0,4401.0,3499.0,1.115,1.13,47195.0,4499.0,3499.0,1.105,1.122
30,2020-04-10,Turkey,47029.0,4402.0,3730.0,1.103,1.123,51764.0,4569.0,3730.0,1.097,1.118
31,2020-04-11,Turkey,51992.0,4963.0,4008.0,1.1059999999999999,1.117,56348.0,4584.0,4008.0,1.089,1.112
32,2020-04-12,Turkey,56608.0,4616.0,4220.0,1.089,1.111,60901.0,4553.0,4220.0,1.081,1.105
33,2020-04-13,Turkey,61033.0,4425.0,4402.0,1.078,1.1059999999999999,65389.0,4488.0,4402.0,1.074,1.097
34,2020-04-14,Turkey,65220.0,4187.0,4444.0,1.069,1.097,69789.0,4400.0,4444.0,1.067,1.09
35,2020-04-15,Turkey,69652.0,4432.0,4489.0,1.068,1.09,74082.0,4293.0,4489.0,1.062,1.082
36,2020-04-16,Turkey,73969.0,4317.0,4477.0,1.062,1.082,78259.0,4177.0,4477.0,1.056,1.075
37,2020-04-17,Turkey,78261.0,4292.0,4462.0,1.058,1.0759999999999998,82313.0,4054.0,4462.0,1.052,1.069
38,2020-04-18,Turkey,82426.0,4165.0,4348.0,1.053,1.068,86241.0,3928.0,4348.0,1.048,1.063
39,2020-04-19,Turkey,86306.0,3880.0,4243.0,1.047,1.062,90042.0,3801.0,4243.0,1.044,1.058
40,2020-04-20,Turkey,,,,,,93715.0,3673.0,4669.0,1.041,1.053
41,2020-04-21,Turkey,,,,,,97265.0,3550.0,4578.0,1.038,1.049
42,2020-04-22,Turkey,,,,,,100692.0,3427.0,4434.0,1.035,1.045
43,2020-04-23,Turkey,,,,,,103999.0,3307.0,4290.0,1.033,1.042
44,2020-04-24,Turkey,,,,,,107191.0,3192.0,4133.0,1.031,1.039
45,2020-04-25,Turkey,,,,,,110270.0,3079.0,3978.0,1.029,1.036
46,2020-04-26,Turkey,,,,,,113240.0,2970.0,3848.0,1.027,1.033
47,2020-04-27,Turkey,,,,,,116105.0,2865.0,3199.0,1.025,1.031
48,2020-04-28,Turkey,,,,,,118868.0,2763.0,3086.0,1.024,1.029
49,2020-04-29,Turkey,,,,,,121532.0,2664.0,2977.0,1.022,1.027
50,2020-04-30,Turkey,,,,,,124102.0,2570.0,2872.0,1.021,1.026
51,2020-05-01,Turkey,,,,,,126580.0,2478.0,2770.0,1.02,1.024
52,2020-05-02,Turkey,,,,,,128969.0,2389.0,2671.0,1.019,1.023
53,2020-05-03,Turkey,,,,,,131273.0,2304.0,2576.0,1.018,1.021
54,2020-05-04,Turkey,,,,,,133495.0,2222.0,2484.0,1.017,1.02
55,2020-05-05,Turkey,,,,,,135638.0,2143.0,2396.0,1.016,1.019
56,2020-05-06,Turkey,,,,,,137703.0,2065.0,2310.0,1.015,1.018
57,2020-05-07,Turkey,,,,,,139695.0,1992.0,2228.0,1.014,1.017
58,2020-05-08,Turkey,,,,,,141616.0,1921.0,2148.0,1.014,1.016
59,2020-05-09,Turkey,,,,,,143468.0,1852.0,2071.0,1.013,1.015
60,2020-05-10,Turkey,,,,,,145254.0,1786.0,1997.0,1.012,1.014
61,2020-05-11,Turkey,,,,,,146976.0,1722.0,1926.0,1.012,1.014
62,2020-05-12,Turkey,,,,,,148637.0,1661.0,1857.0,1.011,1.013
63,2020-05-13,Turkey,,,,,,150238.0,1601.0,1791.0,1.011,1.012
64,2020-05-14,Turkey,,,,,,151782.0,1544.0,1727.0,1.01,1.012
65,2020-05-15,Turkey,,,,,,153270.0,1488.0,1665.0,1.01,1.011
66,2020-05-16,Turkey,,,,,,154706.0,1436.0,1605.0,1.009,1.011
67,2020-05-17,Turkey,,,,,,156090.0,1384.0,1548.0,1.009,1.01
