,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-31,United Kingdom,2.0,2.0,,0.0,1.0,25,,,1.0,
1,2020-02-01,United Kingdom,2.0,0.0,,1.0,1.0,25,0.0,,1.0,
2,2020-02-02,United Kingdom,2.0,0.0,,1.0,1.0,25,0.0,,1.0,
3,2020-02-03,United Kingdom,2.0,0.0,,1.0,1.0,25,0.0,,1.0,
4,2020-02-04,United Kingdom,2.0,0.0,,1.0,1.0,25,0.0,,1.0,
5,2020-02-05,United Kingdom,2.0,0.0,,1.0,1.0,25,0.0,,1.0,
6,2020-02-06,United Kingdom,2.0,0.0,0.0,1.0,1.0,25,0.0,,1.0,1.0
7,2020-02-07,United Kingdom,3.0,1.0,0.0,1.5,1.071,25,0.0,0.0,1.0,1.0
8,2020-02-08,United Kingdom,3.0,0.0,0.0,1.0,1.071,25,0.0,0.0,1.0,1.0
9,2020-02-09,United Kingdom,5.0,2.0,0.0,1.6669999999999998,1.167,25,0.0,0.0,1.0,1.0
10,2020-02-10,United Kingdom,8.0,3.0,1.0,1.6,1.252,25,0.0,1.0,1.0,1.0
11,2020-02-11,United Kingdom,8.0,0.0,1.0,1.0,1.252,25,0.0,1.0,1.0,1.0
12,2020-02-12,United Kingdom,9.0,1.0,1.0,1.125,1.27,25,0.0,1.0,1.0,1.0
13,2020-02-13,United Kingdom,9.0,0.0,1.0,1.0,1.27,25,0.0,1.0,1.0,1.0
14,2020-02-14,United Kingdom,9.0,0.0,1.0,1.0,1.199,25,0.0,1.0,1.0,1.0
15,2020-02-15,United Kingdom,9.0,0.0,1.0,1.0,1.199,25,0.0,1.0,1.0,1.0
16,2020-02-16,United Kingdom,9.0,0.0,1.0,1.0,1.104,25,0.0,1.0,1.0,1.0
17,2020-02-17,United Kingdom,9.0,0.0,0.0,1.0,1.018,25,0.0,0.0,1.0,1.0
18,2020-02-18,United Kingdom,9.0,0.0,0.0,1.0,1.018,25,0.0,0.0,1.0,1.0
19,2020-02-19,United Kingdom,9.0,0.0,0.0,1.0,1.0,26,1.0,0.0,1.04,1.006
20,2020-02-20,United Kingdom,9.0,0.0,0.0,1.0,1.0,26,0.0,0.0,1.0,1.006
21,2020-02-21,United Kingdom,9.0,0.0,0.0,1.0,1.0,26,0.0,0.0,1.0,1.006
22,2020-02-22,United Kingdom,9.0,0.0,0.0,1.0,1.0,27,1.0,0.0,1.038,1.011
23,2020-02-23,United Kingdom,11.0,2.0,0.0,1.222,1.032,28,1.0,0.0,1.037,1.016
24,2020-02-24,United Kingdom,13.0,2.0,1.0,1.182,1.058,29,1.0,1.0,1.036,1.022
25,2020-02-25,United Kingdom,13.0,0.0,1.0,1.0,1.058,31,2.0,1.0,1.069,1.031
26,2020-02-26,United Kingdom,14.0,1.0,1.0,1.077,1.069,33,2.0,1.0,1.065,1.035
27,2020-02-27,United Kingdom,15.0,1.0,1.0,1.071,1.079,36,3.0,1.0,1.091,1.048
28,2020-02-28,United Kingdom,20.0,5.0,2.0,1.3330000000000002,1.126,40,4.0,2.0,1.111,1.064
29,2020-02-29,United Kingdom,23.0,3.0,2.0,1.15,1.148,46,6.0,2.0,1.15,1.08
30,2020-03-01,United Kingdom,36.0,13.0,4.0,1.565,1.197,53,7.0,4.0,1.152,1.096
31,2020-03-02,United Kingdom,40.0,4.0,4.0,1.111,1.187,64,11.0,4.0,1.208,1.121
32,2020-03-03,United Kingdom,51.0,11.0,5.0,1.275,1.226,77,13.0,5.0,1.203,1.14
33,2020-03-04,United Kingdom,85.0,34.0,10.0,1.6669999999999998,1.31,95,18.0,10.0,1.234,1.164
34,2020-03-05,United Kingdom,115.0,30.0,14.0,1.3530000000000002,1.351,119,24.0,14.0,1.253,1.187
35,2020-03-06,United Kingdom,163.0,48.0,20.0,1.4169999999999998,1.3630000000000002,150,31.0,20.0,1.261,1.209
36,2020-03-07,United Kingdom,206.0,43.0,26.0,1.264,1.379,191,41.0,26.0,1.273,1.226
37,2020-03-08,United Kingdom,273.0,67.0,34.0,1.325,1.345,245,54.0,34.0,1.283,1.245
38,2020-03-09,United Kingdom,321.0,48.0,40.0,1.176,1.354,314,69.0,40.0,1.282,1.256
39,2020-03-10,United Kingdom,382.0,61.0,47.0,1.19,1.3419999999999999,404,90.0,47.0,1.287,1.268
40,2020-03-11,United Kingdom,456.0,74.0,53.0,1.194,1.274,520,116.0,53.0,1.287,1.275
41,2020-03-12,United Kingdom,627.0,171.0,73.0,1.375,1.2770000000000001,667,147.0,73.0,1.283,1.279
42,2020-03-13,United Kingdom,798.0,171.0,91.0,1.273,1.2570000000000001,854,187.0,91.0,1.28,1.282
43,2020-03-14,United Kingdom,1140.0,342.0,133.0,1.429,1.28,1090,236.0,133.0,1.276,1.283
44,2020-03-15,United Kingdom,1341.0,201.0,153.0,1.176,1.2590000000000001,1386,296.0,153.0,1.272,1.281
45,2020-03-16,United Kingdom,1543.0,202.0,175.0,1.151,1.255,1753,367.0,175.0,1.265,1.279
46,2020-03-17,United Kingdom,1950.0,407.0,224.0,1.264,1.266,2207,454.0,224.0,1.259,1.275
47,2020-03-18,United Kingdom,2627.0,677.0,310.0,1.347,1.288,2761,554.0,310.0,1.251,1.269
48,2020-03-19,United Kingdom,3307.0,680.0,383.0,1.2590000000000001,1.271,3435,674.0,383.0,1.244,1.264
49,2020-03-20,United Kingdom,3987.0,680.0,456.0,1.206,1.262,4247,812.0,456.0,1.236,1.258
50,2020-03-21,United Kingdom,5024.0,1037.0,555.0,1.26,1.238,5216,969.0,555.0,1.228,1.251
51,2020-03-22,United Kingdom,5693.0,669.0,622.0,1.133,1.2309999999999999,6365,1149.0,622.0,1.22,1.243
52,2020-03-23,United Kingdom,6670.0,977.0,732.0,1.172,1.234,7712,1347.0,732.0,1.212,1.236
53,2020-03-24,United Kingdom,8107.0,1437.0,880.0,1.215,1.227,9281,1569.0,880.0,1.203,1.228
54,2020-03-25,United Kingdom,9563.0,1456.0,991.0,1.18,1.204,11089,1808.0,991.0,1.195,1.22
55,2020-03-26,United Kingdom,11704.0,2141.0,1200.0,1.224,1.199,13156,2067.0,1200.0,1.186,1.211
56,2020-03-27,United Kingdom,14594.0,2890.0,1515.0,1.247,1.204,15497,2341.0,1515.0,1.178,1.203
57,2020-03-28,United Kingdom,17156.0,2562.0,1733.0,1.176,1.192,18125,2628.0,1733.0,1.17,1.195
58,2020-03-29,United Kingdom,19599.0,2443.0,1987.0,1.1420000000000001,1.194,21047,2922.0,1987.0,1.161,1.186
59,2020-03-30,United Kingdom,22231.0,2632.0,2223.0,1.1340000000000001,1.188,24268,3221.0,2223.0,1.153,1.178
60,2020-03-31,United Kingdom,25257.0,3026.0,2450.0,1.136,1.177,27788,3520.0,2450.0,1.145,1.17
61,2020-04-01,United Kingdom,29591.0,4334.0,2861.0,1.172,1.176,31600,3812.0,2861.0,1.137,1.161
62,2020-04-02,United Kingdom,33862.0,4271.0,3165.0,1.1440000000000001,1.1640000000000001,35694,4094.0,3165.0,1.13,1.153
63,2020-04-03,United Kingdom,38334.0,4472.0,3391.0,1.1320000000000001,1.148,40054,4360.0,3391.0,1.122,1.145
64,2020-04-04,United Kingdom,43161.0,4827.0,3715.0,1.126,1.141,44660,4606.0,3715.0,1.115,1.138
65,2020-04-05,United Kingdom,47995.0,4834.0,4057.0,1.112,1.137,49487,4827.0,4057.0,1.108,1.13
66,2020-04-06,United Kingdom,51723.0,3728.0,4213.0,1.078,1.129,54507,5020.0,4213.0,1.101,1.123
67,2020-04-07,United Kingdom,56382.0,4661.0,4447.0,1.09,1.122,59689,5182.0,4446.0,1.095,1.115
68,2020-04-08,United Kingdom,60400.0,4018.0,4402.0,1.071,1.1079999999999999,64999,5310.0,4401.0,1.089,1.109
69,2020-04-09,United Kingdom,67511.0,7111.0,4807.0,1.1179999999999999,1.104,70406,5407.0,4807.0,1.083,1.102
70,2020-04-10,United Kingdom,74042.0,6531.0,5101.0,1.097,1.099,75873,5467.0,5101.0,1.078,1.096
71,2020-04-11,United Kingdom,79324.0,5282.0,5166.0,1.071,1.091,81367,5494.0,5166.0,1.072,1.089
72,2020-04-12,United Kingdom,84127.0,4803.0,5162.0,1.061,1.084,86855,5488.0,5162.0,1.067,1.084
73,2020-04-13,United Kingdom,88952.0,4825.0,5319.0,1.057,1.081,92307,5452.0,5318.0,1.063,1.078
74,2020-04-14,United Kingdom,,,,,,97694,5387.0,5902.0,1.058,1.073
75,2020-04-15,United Kingdom,,,,,,102989,5295.0,6084.0,1.054,1.068
76,2020-04-16,United Kingdom,,,,,,108169,5180.0,5808.0,1.05,1.063
77,2020-04-17,United Kingdom,,,,,,113214,5045.0,5596.0,1.047,1.059
78,2020-04-18,United Kingdom,,,,,,118106,4892.0,5540.0,1.043,1.055
79,2020-04-19,United Kingdom,,,,,,122832,4726.0,5529.0,1.04,1.051
80,2020-04-20,United Kingdom,,,,,,127379,4547.0,5490.0,1.037,1.047
81,2020-04-21,United Kingdom,,,,,,131740,4361.0,4864.0,1.034,1.044
82,2020-04-22,United Kingdom,,,,,,135908,4168.0,4703.0,1.032,1.04
83,2020-04-23,United Kingdom,,,,,,139880,3972.0,4530.0,1.029,1.037
84,2020-04-24,United Kingdom,,,,,,143654,3774.0,4349.0,1.027,1.035
85,2020-04-25,United Kingdom,,,,,,147230,3576.0,4161.0,1.025,1.032
86,2020-04-26,United Kingdom,,,,,,150611,3381.0,3968.0,1.023,1.03
87,2020-04-27,United Kingdom,,,,,,153801,3190.0,3775.0,1.021,1.027
88,2020-04-28,United Kingdom,,,,,,156802,3001.0,3580.0,1.02,1.025
89,2020-04-29,United Kingdom,,,,,,159622,2820.0,3388.0,1.018,1.023
90,2020-04-30,United Kingdom,,,,,,162266,2644.0,3198.0,1.017,1.022
91,2020-05-01,United Kingdom,,,,,,164741,2475.0,3012.0,1.015,1.02
92,2020-05-02,United Kingdom,,,,,,167054,2313.0,2832.0,1.014,1.018
93,2020-05-03,United Kingdom,,,,,,169213,2159.0,2657.0,1.013,1.017
94,2020-05-04,United Kingdom,,,,,,171225,2012.0,2489.0,1.012,1.016
95,2020-05-05,United Kingdom,,,,,,173099,1874.0,2328.0,1.011,1.014
96,2020-05-06,United Kingdom,,,,,,174840,1741.0,2174.0,1.01,1.013
97,2020-05-07,United Kingdom,,,,,,176458,1618.0,2027.0,1.009,1.012
98,2020-05-08,United Kingdom,,,,,,177959,1501.0,1888.0,1.009,1.011
